cheveu chauve
esprit stupide
pouvoir incapable
conscient inconscient
connaître inconnu
efficace effectivement
international internationalement
physique physiquement
pratique pratiquement
important significativement
fort fortement
unique uniquement
peindre repeindre
jeter renverser
tourner renverser
conscient conscience
chaud chaleur
innovant innovation
situer situation
connaître reconnaître
distribuer redistribuer
grandir repousser
envoyer renvoyer
adapter adaptable
offrir abordable
contenir contenu
disposer jetable
gonfler gonflable
renouveler renouvelable
soutenir durable
varier variable
consommer consommateur
combattre concurrent
manger mangeur
promouvoir promoteur
apporter fournisseur
souffrir victime
enseigner prof
autoriser autorisation
civiliser civilisation
calculer calcul
consulter consultation
imaginer imagination
installer installation
moderniser modernisation
obliger obligation
occuper occupation
optimiser optimisation
organiser organisation
privatiser privatisation
restaurer restauration
utiliser utilisation
attribuer mission
engager engagement
encourager encouragement
inscrire inscription
investir investissement
impliquer participation
rembourser remboursement
remplacer remplacement
exiger exigence
