model;dim;corr_p;corr_s;stress;time
cbow;1;0.7711420022586004;0.7616471645817563;785015499993.5609;7379.033549308777
cbow;2;0.8662115251052495;0.8622910416467242;321199895627.4389;9370.286809444427
cbow;3;0.9131079990859982;0.9072023610907711;172614273580.9145;9391.945430517197
cbow;4;0.9379474267752897;0.9331321618391715;109569855151.90913;5244.459272384644
cbow;5;0.9577978326693481;0.9541070704412363;69839870347.87471;3088.873667240143
cbow;20;0.990642414754596;0.9905189533895553;12185751439.911499;9703.651286840439
cbow;50;0.9944003563690531;0.994508397398078;7091252547.751115;9966.541913986206
cbow;100;0.9954598093853227;0.9955590438776286;5733556096.250507;10244.440508365631
cbow;200;0.9959208221666576;0.9959999519755023;5154978270.136843;10528.147114038467
cbow;300;0.9960774014390957;0.9961646343044851;4960294423.337354;10636.003651380539
cbow;500;0.9961902693510065;0.9962661987599963;4820510389.349355;10762.687315225601
cbow;1000;0.9962772951521076;0.9963552869866457;4713033474.718492;11198.680210113525
