model;dim;corr_p;corr_s;stress;time
glove;1;0.16355243040049897;0.21842399126860906;27283235884211.26;7262.9230189323425
glove;2;0.14710510155612208;0.16547666891880494;14507294320053.006;9256.901753425598
glove;3;0.0660148375694554;0.07815416968695803;9268442394306.465;1945.7054505348206
glove;4;0.08245195086520554;0.0675148847322455;6474559716868.357;9251.827258348465
glove;5;0.11039383726491583;0.07719540173914628;4936860523216.146;9328.279693841934
glove;20;0.19180040406185786;0.11656553075528026;1110301508515.6592;9585.17887043953
glove;50;0.2706672720431233;0.16030916180451135;465886793769.75366;9602.55389046669
glove;100;0.34813500714165163;0.20377751972849456;263354060428.66544;10071.229849338531
glove;200;0.43435481763352557;0.26184446144523116;165785547814.10455;10077.136528491974
glove;300;0.48454112015974465;0.2989326278198435;134375962780.86794;10260.913712501526
glove;500;0.5496629667302071;0.3514399202974651;109073207281.45235;10360.804138422012
glove;1000;0.6204106699622767;0.4286148065327933;90689917701.24907;10709.153809785843
glove;1500;0.650671715836355;0.4729018384704047;84765285685.24615;5369.263669729233
glove;2000;0.6682284392566258;0.5032816625044417;81731808233.29822;6910.945177793503
glove;2500;0.6795781137433416;0.5246897950111731;79894851783.30853;8430.534267663956
glove;3000;0.6874053239823606;0.541860678351511;78665952754.36148;11331.882924079895
glove;10000;0.7168008586460073;0.6211988359763746;74537489490.29771;31549.470169067383
glove;11000;0.717897728810778;0.6254111371445545;74398376263.49623;34995.77838754654
glove2;1;0.1991605873524138;0.248956210435376;25536897434208.387;5848.0411858558655
glove2;2;0.17008856189707044;0.19574680919569096;13591428064652.002;7546.112550973892
glove2;3;0.08566899093492637;0.10373267548224668;8705464575231.121;1637.4929504394531
glove2;4;0.11254756029798735;0.10041066365521577;6061753367197.771;7602.843518972397
glove2;5;0.13124273573349593;0.10500960852483879;4633511019373.993;7571.9352395534515
glove2;20;0.2242215160696745;0.16310422869476465;1041421361095.098;7733.825543642044
glove2;50;0.3011912450001157;0.21941532017307874;443702382637.7615;7864.573037624359
glove2;100;0.3789631044227246;0.27987597268717074;255224676586.72757;8249.1789457798
glove2;200;0.4714971513514736;0.3567090995441488;163051278651.72284;8294.909192085266
glove2;300;0.5228335593860576;0.40622693062969306;133543460816.89285;8329.14241886139
glove2;500;0.5836663591001815;0.4702499686661586;109931074004.54631;8558.379957914352
glove2;1500;0.6743213888687593;0.5920349374400536;86947765920.40361;42414.99525856972
glove2;2000;0.6884979169024306;0.616773236855556;84253010381.11478;44722.04748725891
glove2;2500;0.698328044681671;0.6341196999803296;82453380312.96739;46716.6633374691
glove2;3000;0.7049588303100808;0.6461371754896115;81266913097.23705;48786.385486125946
glove2;3500;0.7089849123506455;0.6553460361981875;80604043466.29213;50429.142105579376
glove2;4000;0.7125256591313243;0.6629253384998023;80023023090.51385;53228.541591882706
glove2;4500;0.7155630690892409;0.6691261474892896;79496354041.01329;54512.18277978897
glove2;5000;0.7179749363685822;0.6743378205650676;79116509561.29184;55817.984603405
glove2;5500;0.7199152436732967;0.6784186348474142;78806077918.17625;57788.63382482529
glove2;6000;0.7209486288350108;0.6816560177710168;78660329793.37611;59322.37373018265
glove2;6500;0.7225531275777849;0.6848678710893997;78397459256.60115;60769.739610672
glove2;7000;0.723703178366393;0.6874823853404237;78206260628.31857;62335.055508852005
glove2;7500;0.7245783443745977;0.6894641078152977;78074830741.43866;63031.91013789177
glove2;8000;0.7256532914083236;0.6921435572995364;77910621310.20639;64103.591222047806
glove2;8500;0.726251312184327;0.6936221068290918;77816099049.80736;65158.213782310486
glove2;9000;0.7268438243467864;0.6953667204254009;77752712114.55978;65919.8488907814
glove2;9500;0.7276417454008132;0.697263550888766;77604855616.55356;66546.50980567932
glove2;10000;0.7281556638614954;0.6983063253079506;77526548679.33157;66866.33271980286
