model;dim;corr_p;corr_s;stress;time
cbow;1;0.7710980892123172;0.761570115582477;784859819663.5162;5410.552609682083
cbow;2;0.8668904967578828;0.8627333234002723;320122266196.09406;6758.731436729431
cbow;3;0.9129710250274361;0.9072024226014103;172858334145.50366;6655.6570909023285
cbow;4;0.9411724446129243;0.9359330070401326;104687675549.75682;6026.049409866333
cbow;5;0.8818208179505566;0.8813574408996422;185852069274.48282;80.24407458305359
cbow;20;0.9907772087178358;0.9905417026971244;12013013722.678213;2611.9115805625916
cbow;50;0.9943780362762713;0.9944481654522299;7119733949.149548;2109.8861060142517
cbow;100;0.9954720774950953;0.9955549476829848;5718435211.699784;2179.7164781093597
cbow;200;0.9959225118936568;0.9960191105509987;5153059529.42689;2431.492056131363
cbow;300;0.9960748893992407;0.9961586423016072;4963451474.183279;2664.62003493309
cbow;500;0.9961899606009568;0.9962682335538708;4820948017.764261;3148.38130402565
cbow;1000;0.9962728542331285;0.996348617012283;4718582750.38779;4542.936136960983
skipgram;1;0.7141495273848514;0.6884051572657452;1024976342091.6067;1547.3063881397247
skipgram;2;0.8839032698006427;0.8415035771205407;327872441495.19006;1970.7427792549133
skipgram;3;0.9290525811573971;0.8999591615514101;159005201817.57318;1973.2854182720184
skipgram;4;0.9466826562350135;0.9215112010699259;101296633853.76266;2011.15527009964
skipgram;5;0.9598423555912442;0.9382446927453729;68662168497.23471;1999.6135668754578
skipgram;20;0.9896602079957746;0.9818521371211757;12897385500.767601;2068.958557367325
skipgram;50;0.9939177786351566;0.9893087207570946;7304430255.292205;2115.807055950165
skipgram;100;0.9950548708344961;0.9913676108862618;5912527522.468756;2189.4929344654083
skipgram;200;0.9955545496561454;0.9922664595301858;5317367344.902606;2428.570964574814
skipgram;300;0.9957481240628404;0.992617979309164;5089297658.571809;2670.517536878586
skipgram;500;0.9958674854739276;0.9928358039074633;4949546527.444213;3159.2428658008575
skipgram;1000;0.9959468511077902;0.992987404847268;4857815123.213982;4413.5236740112305
glove;1;0.16299561134462065;0.21851184546537097;27285260232674.62;1551.4496057033539
glove;2;0.14762604979612806;0.1676306757143585;14506080245487.828;1969.7857372760773
glove;3;0.12045650978304316;0.11407393553433155;9142975314405.303;828.4622247219086
glove;4;0.09606416593897821;0.07139288043056008;6448725628267.581;2061.3988285064697
glove;5;0.09167957696549553;0.06295129216956787;4966616828645.009;2040.7543020248413
glove;20;0.18963771797538037;0.11536241614872901;1110611889666.6233;2067.9013934135437
glove;50;0.26942633115709963;0.15901590784611622;466225236633.78204;2106.9108188152313
glove;100;0.34844675775978723;0.20486522552861447;263067938277.4862;2184.128388404846
glove;200;0.43424795334415317;0.26096286864671103;165689963589.71555;2418.781930923462
glove;300;0.48712621390220046;0.2987789743053814;133860993057.80388;2655.598778963089
glove;500;0.5511250725352104;0.3520235215275025;108775751081.10857;3140.355668783188
glove;1000;0.6196950744367911;0.42829796321715385;90817876560.52077;4373.600138664246
