K;Solver;MinSilhouette;silhouette;Cal-Harabasz;DBCV;ANMI;perplexity;wordEmbedding;docEmbedding;docEmbedding2;listClustering
2;mcla;-1;0.5045977015152491;12342.867253795212;-0.7502995586443559;0.489563637572943;200;cbow;Moyenne;TF;kmeans-gmm
2;mcla;0;0.5045882702971785;12342.063139327685;-0.75028409384052;0.48952098249860626;200;cbow;Moyenne;TF;kmeans-gmm
2;mcla;0.45;0.5053465656148516;12352.54048371738;-0.6983826445174395;0.6226715555124722;200;cbow;Moyenne;TF;kmeans-gmm
3;mcla;-1;0.4937528146891379;14736.701765825224;-0.5025665690869344;0.6192715178883511;200;cbow;Moyenne;TF;kmeans-gmm
3;mcla;0;0.49381890235685494;14740.111749909436;-0.5438986238088324;0.6192689701471084;200;cbow;Moyenne;TF;kmeans-gmm
3;mcla;0.45;0.4956353823831161;15028.184922834185;-0.5992918895975011;0.6681375699154936;200;cbow;Moyenne;TF;kmeans-gmm
4;mcla;-1;0.45588509934612914;16457.48721874726;-0.693047421393713;0.6597022353885941;200;cbow;Moyenne;TF;kmeans-gmm
4;mcla;0;0.455913826896508;16458.25868183365;-0.6927978789215847;0.659717592745847;200;cbow;Moyenne;TF;kmeans-gmm
4;mcla;0.45;0.47027018464448206;17077.14938353422;-0.6509277913072496;0.6784057956877115;200;cbow;Moyenne;TF;kmeans-gmm
5;mcla;-1;0.4414719137945238;17908.663364819055;-0.685232197153088;0.68863124639162;200;cbow;Moyenne;TF;kmeans-gmm
5;mcla;0;0.44153905011807365;17912.46939303064;-0.6939310276488;0.6887534621890031;200;cbow;Moyenne;TF;kmeans-gmm
5;mcla;0.45;0.45618522990483595;18288.067769637473;-0.7037460240818292;0.682319442877643;200;cbow;Moyenne;TF;kmeans-gmm
6;mcla;-1;0.42490678687847483;18618.23762865808;-0.6971410994345071;0.7190237810951449;200;cbow;Moyenne;TF;kmeans-gmm
6;mcla;0;0.4248664212982251;18617.807710444733;-0.6897842288052772;0.7189017325525899;200;cbow;Moyenne;TF;kmeans-gmm
6;mcla;0.45;0.4105663157515147;17404.033870930092;-0.6434923779254069;0.6683459425273067;200;cbow;Moyenne;TF;kmeans-gmm
7;mcla;-1;0.37919729429584736;17007.214958741963;-0.5007936779977913;0.6999673494115982;200;cbow;Moyenne;TF;kmeans-gmm
7;mcla;0;0.37922492546640196;17011.167629626863;-0.5007773016871107;0.6999379314256785;200;cbow;Moyenne;TF;kmeans-gmm
7;mcla;0.45;0.2828124768476103;14545.753839930981;-0.7412556244920271;0.6591435224725462;200;cbow;Moyenne;TF;kmeans-gmm
8;mcla;-1;0.38229583979603843;18009.738022181104;-0.6202926758158583;0.718765477498428;200;cbow;Moyenne;TF;kmeans-gmm
8;mcla;0;0.382436260270401;18017.263671474488;-0.6209991602042607;0.71865588231565;200;cbow;Moyenne;TF;kmeans-gmm
8;mcla;0.45;0.16577464768130554;11286.246215983603;-0.7118655781434972;0.6261007847788336;200;cbow;Moyenne;TF;kmeans-gmm
9;mcla;-1;0.38241872969660634;18488.72458225156;-0.614981646461629;0.7289647923906357;200;cbow;Moyenne;TF;kmeans-gmm
9;mcla;0;0.382324139416513;18484.177825642615;-0.6119840334132082;0.7287343998352538;200;cbow;Moyenne;TF;kmeans-gmm
8;mcla;0.45;0.2596948031691709;12206.972225394773;-0.7582228882924575;0.635063325148781;200;cbow;Moyenne;TF;kmeans-gmm
10;mcla;-1;0.39032796189438473;19267.549207538104;-0.6376724037815023;0.7282232755083672;200;cbow;Moyenne;TF;kmeans-gmm
10;mcla;0;0.39051950747401176;19276.29251883029;-0.6376682523626358;0.7280522341106659;200;cbow;Moyenne;TF;kmeans-gmm
9;mcla;0.45;0.11128386031691123;10991.384641447725;-0.7934231905316679;0.6323933856548003;200;cbow;Moyenne;TF;kmeans-gmm
11;mcla;-1;0.34879653848029424;17020.862161494082;-0.5884818413520284;0.7155581798879869;200;cbow;Moyenne;TF;kmeans-gmm
11;mcla;0;0.34913940515236497;17028.32088823463;-0.5699091955978718;0.715615817857426;200;cbow;Moyenne;TF;kmeans-gmm
9;mcla;0.45;0.16747728013656749;10907.396581391855;-0.8189352665200602;0.5955262595459443;200;cbow;Moyenne;TF;kmeans-gmm
11;mcla;-1;0.37606574300429524;17323.675601753916;-0.6425872482058399;0.7258459140735786;200;cbow;Moyenne;TF;kmeans-gmm
11;mcla;0;0.375975770749583;17317.941681714467;-0.6224217222127534;0.7258486432244033;200;cbow;Moyenne;TF;kmeans-gmm
10;mcla;0.45;0.0015373965248142191;8672.595895944729;-0.8796702934886833;0.5805044576722374;200;cbow;Moyenne;TF;kmeans-gmm
13;mcla;-1;0.3680819737446693;18767.73039483562;-0.543798990098341;0.7121463905842024;200;cbow;Moyenne;TF;kmeans-gmm
13;mcla;0;0.36784375723665824;18758.29701635107;-0.5429189268186344;0.7121711008953319;200;cbow;Moyenne;TF;kmeans-gmm
13;mcla;0.45;-0.025733578130053614;6385.423021939648;-0.7723046059958107;0.5677747195564796;200;cbow;Moyenne;TF;kmeans-gmm
14;mcla;-1;0.3855124713421066;19927.202714949744;-0.5285168650859423;0.7165114766537426;200;cbow;Moyenne;TF;kmeans-gmm
14;mcla;0;0.3851184757207465;19881.40795190176;-0.5341866328547682;0.7165288735447051;200;cbow;Moyenne;TF;kmeans-gmm
10;mcla;0.45;0.04033741917437458;5996.053123301836;-0.8819913878846835;0.5491100661830274;200;cbow;Moyenne;TF;kmeans-gmm
