K;Solver;MinSilhouette;silhouette;Cal-Harabasz;DBCV;ANMI;perplexity;wordEmbedding;docEmbedding;docEmbedding2;listClustering
2;mcla;-1;0.4943073850027808;10914.901102162663;-0.8053596977312611;0.47480502851109563;200;cbow;Moyenne;TFIDF;kmeans-gmm
2;mcla;0;0.4943553723230214;10917.58835157551;-0.805374846911892;0.4747724478295097;200;cbow;Moyenne;TFIDF;kmeans-gmm
2;mcla;0.45;0.49166613319044367;10628.237724162656;-0.5906803905509742;0.5570498567104072;200;cbow;Moyenne;TFIDF;kmeans-gmm
3;mcla;-1;0.49593269240611815;13816.86852796682;-0.6018645196223738;0.5943482529778371;200;cbow;Moyenne;TFIDF;kmeans-gmm
3;mcla;0;0.49572695185790666;13807.207845611785;-0.6004983298913401;0.5943402805728587;200;cbow;Moyenne;TFIDF;kmeans-gmm
3;mcla;0.45;0.5116108995801495;14225.521139207081;-0.563334255814435;0.6574465628358692;200;cbow;Moyenne;TFIDF;kmeans-gmm
4;mcla;-1;0.5014792902892334;17493.78325350404;-0.6732991066331863;0.6627852727062383;200;cbow;Moyenne;TFIDF;kmeans-gmm
4;mcla;0;0.5017111499750373;17505.704980990762;-0.6723258604313754;0.6628919867794324;200;cbow;Moyenne;TFIDF;kmeans-gmm
4;mcla;0.45;0.5067526012503846;17630.781849623803;-0.6910419926809711;0.6887647115139066;200;cbow;Moyenne;TFIDF;kmeans-gmm
5;mcla;-1;0.48385297086859974;19646.015408156134;-0.6837034037596902;0.7022539932731815;200;cbow;Moyenne;TFIDF;kmeans-gmm
5;mcla;0;0.48392852008975606;19651.032505570332;-0.6589726036545238;0.7022825706474441;200;cbow;Moyenne;TFIDF;kmeans-gmm
5;mcla;0.45;0.4928684438117686;20204.069777430734;-0.664899688869294;0.7034304376395617;200;cbow;Moyenne;TFIDF;kmeans-gmm
6;mcla;-1;0.4456466033127273;19949.883721661437;-0.6034978390042567;0.7012492175582166;200;cbow;Moyenne;TFIDF;kmeans-gmm
6;mcla;0;0.4455282447136221;19948.458583121374;-0.6038998939822052;0.7013440612342022;200;cbow;Moyenne;TFIDF;kmeans-gmm
6;mcla;0.45;0.4737589371426826;21136.273457695785;-0.6279086032372242;0.7093306394036851;200;cbow;Moyenne;TFIDF;kmeans-gmm
7;mcla;-1;0.4473298423323722;22192.074101140297;-0.7117755414031939;0.7268038921624521;200;cbow;Moyenne;TFIDF;kmeans-gmm
7;mcla;0;0.4473664928208292;22192.570096786116;-0.7161724392778379;0.7268041126338443;200;cbow;Moyenne;TFIDF;kmeans-gmm
7;mcla;0.45;0.45298134157105174;22734.524029497472;-0.6516471389009951;0.6938609691235779;200;cbow;Moyenne;TFIDF;kmeans-gmm
8;mcla;-1;0.4176770536240682;22203.795457625936;-0.6788105179149723;0.716684083595489;200;cbow;Moyenne;TFIDF;kmeans-gmm
8;mcla;0;0.4177545079232771;22209.728753226762;-0.6592596342450345;0.7167503664986621;200;cbow;Moyenne;TFIDF;kmeans-gmm
8;mcla;0.45;0.39060515076834046;20631.215668745128;-0.6579038809911453;0.6880190757470512;200;cbow;Moyenne;TFIDF;kmeans-gmm
9;mcla;-1;0.41009325060643936;22643.890846443966;-0.5459341748884574;0.7274155797796056;200;cbow;Moyenne;TFIDF;kmeans-gmm
9;mcla;0;0.4102986974712164;22654.98275008098;-0.5431237761680582;0.7273574033004533;200;cbow;Moyenne;TFIDF;kmeans-gmm
9;mcla;0.45;0.35180966220044807;19973.440540791664;-0.6583213471192293;0.6672845289909397;200;cbow;Moyenne;TFIDF;kmeans-gmm
10;mcla;-1;0.40118099211121905;23227.745075570172;-0.5973909280946064;0.7342674592382626;200;cbow;Moyenne;TFIDF;kmeans-gmm
10;mcla;0;0.4010604314837203;23218.30556400047;-0.6185700827804169;0.734217387680519;200;cbow;Moyenne;TFIDF;kmeans-gmm
9;mcla;0.45;0.15755618973410687;8564.902591817725;-0.8032637981722284;0.6259455259691415;200;cbow;Moyenne;TFIDF;kmeans-gmm
11;mcla;-1;0.38783002326520977;22857.78982712127;-0.5267046942594088;0.7378972183163334;200;cbow;Moyenne;TFIDF;kmeans-gmm
11;mcla;0;0.38803324843461723;22868.286100149962;-0.5339671954537734;0.7378732792937718;200;cbow;Moyenne;TFIDF;kmeans-gmm
9;mcla;0.45;0.3207896702173651;15515.25021377102;-0.738144183595334;0.6600770666146688;200;cbow;Moyenne;TFIDF;kmeans-gmm
12;mcla;-1;0.3691065554147622;22503.217417569827;-0.5460109131140326;0.7202860579436053;200;cbow;Moyenne;TFIDF;kmeans-gmm
12;mcla;0;0.3690524799056238;22486.901307147764;-0.5585758542761982;0.7200808929591901;200;cbow;Moyenne;TFIDF;kmeans-gmm
11;mcla;0.45;0.1264954589798135;12832.230953876855;-0.7218850937267687;0.657549661691413;200;cbow;Moyenne;TFIDF;kmeans-gmm
