K;Solver;MinSilhouette;silhouette;Cal-Harabasz;DBCV;ANMI;perplexity;wordEmbedding;docEmbedding;docEmbedding2;listClustering
2;mcla;-1;0.3066484869020022;4263.703170641246;-0.8540400414904454;0.3344893094955482;200;glove;Moyenne;TF;kmeans-gmm
2;mcla;0;0.30682002243024564;4270.4805839463215;-0.8540329258877268;0.3345453095167719;200;glove;Moyenne;TF;kmeans-gmm
3;mcla;-1;0.3229742445896297;5554.944340457597;-0.8371905643386177;0.476097660812117;200;glove;Moyenne;TF;kmeans-gmm
3;mcla;0;0.3229314909257785;5556.148527344064;-0.8371670136097932;0.47598523597311837;200;glove;Moyenne;TF;kmeans-gmm
4;mcla;-1;0.32058231911047114;6191.363090006664;-0.858045659332291;0.5416528561073715;200;glove;Moyenne;TF;kmeans-gmm
4;mcla;0;0.32047535138653127;6191.1763476497445;-0.8580539914715251;0.541388561050087;200;glove;Moyenne;TF;kmeans-gmm
5;mcla;-1;0.32464570520836256;6417.144637240604;-0.8333368856973168;0.6061565211145636;200;glove;Moyenne;TF;kmeans-gmm
5;mcla;0;0.32466082613015557;6415.747153815661;-0.8237598250727226;0.6063177898386002;200;glove;Moyenne;TF;kmeans-gmm
6;mcla;-1;0.3429871379408187;6794.23512477025;-0.7969240857722742;0.6174078263795413;200;glove;Moyenne;TF;kmeans-gmm
6;mcla;0;0.343191527369767;6798.939975230431;-0.7969583179198115;0.6175781951374211;200;glove;Moyenne;TF;kmeans-gmm
7;mcla;-1;0.3337965618233499;6601.375490923797;-0.7846437890067282;0.6327134124635471;200;glove;Moyenne;TF;kmeans-gmm
7;mcla;0;0.3340273042158088;6602.042047911857;-0.7835865357248146;0.6325154948926189;200;glove;Moyenne;TF;kmeans-gmm
8;mcla;-1;0.3036095128933347;6209.677525197117;-0.8196316861388957;0.6165574685130322;200;glove;Moyenne;TF;kmeans-gmm
8;mcla;0;0.3024328295927739;6190.63766486228;-0.8004973957225365;0.6164609858955838;200;glove;Moyenne;TF;kmeans-gmm
9;mcla;-1;0.33591712090286513;6835.18755734448;-0.7425860260373514;0.6523801898655837;200;glove;Moyenne;TF;kmeans-gmm
9;mcla;0;0.3358284202684975;6830.094404567695;-0.745323446653821;0.6522408409499122;200;glove;Moyenne;TF;kmeans-gmm
10;mcla;-1;0.3203819811756332;6350.982185869159;-0.7548838069077549;0.6390525663654234;200;glove;Moyenne;TF;kmeans-gmm
10;mcla;0;0.32032176972699644;6351.575978885691;-0.7478884658029687;0.6391526851909585;200;glove;Moyenne;TF;kmeans-gmm
11;mcla;-1;0.3147695376923348;6192.002748139166;-0.7594349268121622;0.6474415572490422;200;glove;Moyenne;TF;kmeans-gmm
11;mcla;0;0.3146785804296714;6189.786590473871;-0.7561783820701491;0.6474857715156875;200;glove;Moyenne;TF;kmeans-gmm
12;mcla;-1;0.31819051110449387;6296.6810286465925;-0.7711710959807953;0.6469347966778459;200;glove;Moyenne;TF;kmeans-gmm
12;mcla;0;0.3181531668939205;6293.958850602194;-0.7711075703546907;0.646994787973488;200;glove;Moyenne;TF;kmeans-gmm
13;mcla;-1;0.2778658767095982;5756.664695621587;-0.7722131462853562;0.6424474500692404;200;glove;Moyenne;TF;kmeans-gmm
13;mcla;0;0.2783234365619628;5768.647528842608;-0.7285614338405395;0.6428019535305517;200;glove;Moyenne;TF;kmeans-gmm
14;mcla;-1;0.24742872817184447;5289.299020586894;-0.72919309338767;0.6300875151361277;200;glove;Moyenne;TF;kmeans-gmm
14;mcla;0;0.247346486208354;5294.5638625797565;-0.7363747909006723;0.6303121303387528;200;glove;Moyenne;TF;kmeans-gmm
