K;Solver;MinSilhouette;silhouette;Cal-Harabasz;DBCV;ANMI;perplexity;wordEmbedding;docEmbedding;docEmbedding2;listClustering
2;mcla;-1;0.2711425665801058;3434.4211343217617;-0.8577107866226115;0.2977027141798807;200;glove;Moyenne;TFIDF;kmeans-gmm
2;mcla;0;0.27060725844685124;3421.27984319014;-0.8576859271165718;0.29773089563233907;200;glove;Moyenne;TFIDF;kmeans-gmm
3;mcla;-1;0.292406890756624;4302.415175937844;-0.8233007796090455;0.4707828485144786;200;glove;Moyenne;TFIDF;kmeans-gmm
3;mcla;0;0.2921833085657289;4298.109376856127;-0.8232954477697885;0.47098152034536905;200;glove;Moyenne;TFIDF;kmeans-gmm
4;mcla;-1;0.3196314141781933;5250.1872114766;-0.7615093058284044;0.5283360258591641;200;glove;Moyenne;TFIDF;kmeans-gmm
4;mcla;0;0.319593851049314;5251.477649416372;-0.7380607758638755;0.5281403528664057;200;glove;Moyenne;TFIDF;kmeans-gmm
5;mcla;-1;0.33624484541069394;5529.341350147459;-0.7530566890105108;0.5648277651549568;200;glove;Moyenne;TFIDF;kmeans-gmm
5;mcla;0;0.33614215338290154;5527.351827479319;-0.7531917860643323;0.5646902319744724;200;glove;Moyenne;TFIDF;kmeans-gmm
6;mcla;-1;0.3513584001722321;6072.53288663166;-0.7586369556227772;0.5902587735366381;200;glove;Moyenne;TFIDF;kmeans-gmm
6;mcla;0;0.3511998904697923;6069.185592975992;-0.7530029409378494;0.5901549213407417;200;glove;Moyenne;TFIDF;kmeans-gmm
7;mcla;-1;0.34492500515581537;5991.889548611447;-0.7791015880490202;0.6231948360512428;200;glove;Moyenne;TFIDF;kmeans-gmm
7;mcla;0;0.34503785172822093;5993.846606196008;-0.7801661944526426;0.6231326324354548;200;glove;Moyenne;TFIDF;kmeans-gmm
8;mcla;-1;0.32992598906240866;5799.363811344315;-0.6949515283056263;0.6261112167072106;200;glove;Moyenne;TFIDF;kmeans-gmm
8;mcla;0;0.329845391201365;5795.759152802578;-0.6949485619074853;0.626081150602408;200;glove;Moyenne;TFIDF;kmeans-gmm
9;mcla;-1;0.2858483474708978;5732.215360182927;-0.7342568684693273;0.626146510094551;200;glove;Moyenne;TFIDF;kmeans-gmm
9;mcla;0;0.28589149090264826;5738.2373180989525;-0.7395373077118017;0.6260609642247892;200;glove;Moyenne;TFIDF;kmeans-gmm
10;mcla;-1;0.29263246801106135;5705.545502716643;-0.7069066289469524;0.6236930283089327;200;glove;Moyenne;TFIDF;kmeans-gmm
10;mcla;0;0.2923303422836223;5697.432382524605;-0.715299893686833;0.6237195860111643;200;glove;Moyenne;TFIDF;kmeans-gmm
11;mcla;-1;0.26039474740478513;5489.163093709195;-0.685408249028295;0.6237128201036726;200;glove;Moyenne;TFIDF;kmeans-gmm
11;mcla;0;0.2606187951769563;5491.87117189392;-0.7025799320395102;0.6236393690146668;200;glove;Moyenne;TFIDF;kmeans-gmm
12;mcla;-1;0.2710061498214513;5405.940430118543;-0.7424957801468525;0.6160205967227748;200;glove;Moyenne;TFIDF;kmeans-gmm
12;mcla;0;0.2707404755002061;5406.661147876239;-0.731654165743263;0.6160554821446286;200;glove;Moyenne;TFIDF;kmeans-gmm
13;mcla;-1;0.2367403234672199;5118.681498797889;-0.7257784431091054;0.613778339609783;200;glove;Moyenne;TFIDF;kmeans-gmm
13;mcla;0;0.2369572467383127;5123.213199050104;-0.6997585054953667;0.613617189744459;200;glove;Moyenne;TFIDF;kmeans-gmm
14;mcla;-1;0.23267701741339392;5025.978932336062;-0.6693309806538372;0.6208473516977604;200;glove;Moyenne;TFIDF;kmeans-gmm
14;mcla;0;0.2319988057291776;5022.652321336971;-0.6762303843231225;0.6207437069593679;200;glove;Moyenne;TFIDF;kmeans-gmm
