K;Solver;silhouette;Cal-Harabasz;DBCV;ANMI;perplexity;wordEmbedding;docEmbedding;docEmbedding2;listClustering
2;mcla;0.42235801869017353;9441.38283268813;-0.8903421563358314;0.43558829162831075;200;skipgram;WMD;Distance;gmm
3;mcla;0.3306972473167721;6797.565399107015;-0.7814712195659856;0.5219124991433204;200;skipgram;WMD;Distance;gmm
4;mcla;0.3750106325373565;9235.0509247778;-0.8396969658047859;0.6053999374797134;200;skipgram;WMD;Distance;gmm
5;mcla;0.29349528174571743;7177.887764252138;-0.7948855001568264;0.616540743249479;200;skipgram;WMD;Distance;gmm
6;mcla;0.32076773371520756;8002.80311813273;-0.8151766136185961;0.6445905555177762;200;skipgram;WMD;Distance;gmm
7;mcla;0.34203098721554537;8297.677265461041;-0.7882747156787885;0.6413582704663023;200;skipgram;WMD;Distance;gmm
8;mcla;0.3462412043001823;9126.822683443117;-0.7306336168262155;0.6625856965235533;200;skipgram;WMD;Distance;gmm
9;mcla;0.3748486322856213;9876.721774114305;-0.6942554353334869;0.6959210493525377;200;skipgram;WMD;Distance;gmm
10;mcla;0.3630519818251223;9555.05703358445;-0.7454672112262626;0.6887975581322164;200;skipgram;WMD;Distance;gmm
11;mcla;0.3339730014968274;8963.058073528973;-0.7180806212565496;0.680710203373433;200;skipgram;WMD;Distance;gmm
12;mcla;0.31533525769110304;8689.842236906241;-0.7234867867969572;0.6765104544121662;200;skipgram;WMD;Distance;gmm
13;mcla;0.3385721170762815;8681.002623154043;-0.7655433202456159;0.6758171774450032;200;skipgram;WMD;Distance;gmm
14;mcla;0.2990475959257801;7836.332949954539;;0.6679053040801997;200;skipgram;WMD;Distance;gmm
