K;covariance;silhouette;Cal-Harabasz;BIC;DBCV;perplexity;wordEmbedding;docEmbedding;docEmbedding2
14;spherical;0.33593471051039187;8960.064340240442;186375.25275902433;-0.7221719935034275;50;cbow;WMD;Distance
13;spherical;0.3409266510719414;9014.603211098567;186380.23105005472;-0.714434278243252;50;cbow;WMD;Distance
12;full;0.35090637961458493;8964.15288877148;186382.66353631375;-0.7535392074402306;50;cbow;WMD;Distance
14;tied;0.3366334481938456;8902.196671784584;186399.42558789352;-0.7000723445325338;50;cbow;WMD;Distance
12;diag;0.3514649105468938;9055.707285662416;186407.3311705687;-0.7087218074446962;50;cbow;WMD;Distance
13;tied;0.3381929243643938;8982.334876005123;186411.0126888547;-0.7415547412349301;50;cbow;WMD;Distance
13;diag;0.3445919092828217;8915.705843678039;186411.36359537445;-0.7220369788120596;50;cbow;WMD;Distance
13;full;0.33917976461514393;8812.674164655447;186416.10625578;-0.7328700333995337;50;cbow;WMD;Distance
8;full;0.38526508194372944;8964.99778435855;186417.1237907223;-0.7773863922445958;50;cbow;WMD;Distance
12;spherical;0.3511913448187529;9104.623579661666;186420.56357389645;-0.7357247765752901;50;cbow;WMD;Distance
11;full;0.36923719784154996;8971.868360117027;186422.68780043384;-0.7485524714982212;50;cbow;WMD;Distance
14;diag;0.3477026955765354;8948.702639169564;186432.81127058165;-0.7171205443097916;50;cbow;WMD;Distance
11;spherical;0.3448781923543289;9041.670520890357;186436.66207768928;-0.7162088195991678;50;cbow;WMD;Distance
14;full;0.3495786768363462;8888.1705362438;186438.1224904872;-0.7203138660713334;50;cbow;WMD;Distance
9;full;0.3637204015604145;8733.85132612413;186445.92271387015;-0.7838797238181577;50;cbow;WMD;Distance
11;diag;0.3443198104163516;8990.074888966019;186465.11687200825;-0.7089962539424739;50;cbow;WMD;Distance
10;full;0.3678943264419457;8993.913631217858;186466.82192287594;-0.7484468262978731;50;cbow;WMD;Distance
10;spherical;0.35435815960232414;9117.978437767875;186470.9213445634;-0.7597148762862547;50;cbow;WMD;Distance
12;tied;0.35158319807559135;9169.317366769692;186475.89352254765;-0.7073036628340559;50;cbow;WMD;Distance
7;full;0.387356563931071;9165.287507215757;186523.56501820902;-0.7588096154998022;50;cbow;WMD;Distance
10;diag;0.35452223556794205;9098.696433030784;186524.51883542168;-0.7613679760709555;50;cbow;WMD;Distance
11;tied;0.34398797271542925;9055.562492436587;186534.91078591792;-0.7022713444957255;50;cbow;WMD;Distance
9;diag;0.36858476600602913;9138.233430734048;186579.04814597554;-0.7447748538601072;50;cbow;WMD;Distance
6;full;0.3908049129653515;8806.384848811082;186589.31792534573;-0.7833456189141139;50;cbow;WMD;Distance
