K;covariance;silhouette;Cal-Harabasz;BIC;DBCV;perplexity;wordEmbedding;docEmbedding;docEmbedding2
8;full;-0.11089435622492558;269.9821373782516;1861912.7129363413;-0.490757056951833;;cbow;WMD;MDS
7;full;-0.11441657350455778;306.0499377944772;1861947.9742661084;-0.49024156662117424;;cbow;WMD;MDS
9;full;-0.11529034857069322;251.08124755326716;1862006.3236622808;-0.4854382068578225;;cbow;WMD;MDS
10;full;-0.12263721819712618;224.10435226180283;1862634.7824401327;-0.5091507129313979;;cbow;WMD;MDS
6;full;-0.09408757738168903;358.4143734474425;1862793.1553640745;-0.49890243280806457;;cbow;WMD;MDS
11;full;-0.12039120704047261;219.66409061055091;1863696.0770072194;-0.5033134970189727;;cbow;WMD;MDS
12;full;-0.11303215422172921;198.61770728682984;1865383.5123962641;-0.48373938890323026;;cbow;WMD;MDS
5;full;-0.09770638718807016;355.58923572813853;1865678.327467905;-0.5378897332435918;;cbow;WMD;MDS
13;full;-0.11742265866475438;193.15013028175755;1865960.9311626847;-0.4787823445821935;;cbow;WMD;MDS
14;full;-0.12260564588364076;186.5437023646661;1867556.8305517798;-0.5023259277844954;;cbow;WMD;MDS
4;full;-0.07831101145372146;421.37570447469085;1868525.7710686647;-0.6248141398871713;;cbow;WMD;MDS
3;full;-0.019486893840593468;549.6488047138886;1875983.7343509132;-0.5627764119481935;;cbow;WMD;MDS
14;diag;-0.06382101230194656;276.1952478066514;1886361.288681441;-0.5522377742792045;;cbow;WMD;MDS
13;diag;-0.0634239125205902;285.50348685269523;1887207.449860556;-0.5610194038723161;;cbow;WMD;MDS
12;diag;-0.06892802775415155;295.63436821240276;1888027.4637102298;-0.5559994166430304;;cbow;WMD;MDS
11;diag;-0.06902410396325157;298.8040589358494;1889095.1965005456;-0.5733960564715911;;cbow;WMD;MDS
14;spherical;-0.04871425326575033;293.6571972670047;1889824.8951986588;-0.5680485906690417;;cbow;WMD;MDS
10;diag;-0.07349919516226666;321.74729413580405;1890401.0564854194;-0.5875200012224532;;cbow;WMD;MDS
13;spherical;-0.05844637924408977;294.35959154433766;1890823.3154748802;-0.6045492279733761;;cbow;WMD;MDS
12;spherical;-0.060026506890616955;317.323467088735;1892139.4599415509;-0.5742267703683068;;cbow;WMD;MDS
9;diag;-0.07039166883242869;346.57085620522986;1892511.0132291396;-0.6006124660505558;;cbow;WMD;MDS
11;spherical;-0.06374048265546027;325.88623810052036;1893319.414518395;-0.5850282828589242;;cbow;WMD;MDS
8;diag;-0.06167072971430926;378.27636760194423;1894127.2544168574;-0.6025953783111817;;cbow;WMD;MDS
2;full;0.12326968101666089;759.6813083442912;1895371.201009255;-0.5348872121525723;;cbow;WMD;MDS
7;diag;-0.07030669853634082;397.6899532232363;1895745.3201123537;-0.6060452186719156;;cbow;WMD;MDS
9;spherical;-0.07087349820339946;354.81206695765167;1896082.9914844853;-0.5952297270266462;;cbow;WMD;MDS
10;spherical;-0.06036908861429159;354.80989434177525;1896487.0672852055;-0.5757032505704338;;cbow;WMD;MDS
6;diag;-0.0841799834025488;396.4874229242099;1897374.8949342414;-0.6200517126675249;;cbow;WMD;MDS
8;spherical;-0.055831974029720795;384.86252921184433;1899372.868198907;-0.6247971117612139;;cbow;WMD;MDS
7;spherical;-0.0589471802834971;414.67259498369475;1901067.7547867869;-0.6258305349404498;;cbow;WMD;MDS
5;diag;-0.03708749798152288;468.0793307894909;1902191.7666760855;-0.6513368460959578;;cbow;WMD;MDS
6;spherical;-0.07238266570732757;403.2668282717368;1902797.7297007865;-0.6234359903808352;;cbow;WMD;MDS
4;diag;0.008182868882917419;575.6843104224755;1907336.1258999028;-0.6981149548846142;;cbow;WMD;MDS
5;spherical;-0.03745491024187807;472.3352804628396;1908717.024769373;-0.6877356819647933;;cbow;WMD;MDS
4;spherical;0.015565606304753066;583.5053190722679;1913624.7837371042;-0.7210826222940571;;cbow;WMD;MDS
3;diag;-0.01789513437765518;534.0201565839182;1917992.8768616847;-0.714329685905571;;cbow;WMD;MDS
3;spherical;-0.015673050233166973;512.4595033592968;1924658.6434595129;-0.8423283323863084;;cbow;WMD;MDS
2;diag;0.14873636504269078;702.2246802757161;1933723.0022958035;-0.779305075132098;;cbow;WMD;MDS
2;spherical;0.1467686421783649;687.0164548042098;1939453.8855562762;-0.7917847637451794;;cbow;WMD;MDS
14;tied;0.21634298753179065;323.0779348276327;1953950.181884021;-0.7548822246711623;;cbow;WMD;MDS
13;tied;0.22436939745272197;327.16205241923365;1954226.0202648486;-0.7540165693367729;;cbow;WMD;MDS
11;tied;0.22167212093192584;335.90484494089117;1954520.0610270791;-0.7764525673852432;;cbow;WMD;MDS
12;tied;0.22298901352769304;357.3990922500128;1954831.104541014;-0.7558967884308423;;cbow;WMD;MDS
10;tied;0.2225347555502986;385.096470161731;1955293.0660173479;-0.7657266225142537;;cbow;WMD;MDS
9;tied;0.22456149037358653;404.0462530749941;1955885.7262135437;-0.7804021572995514;;cbow;WMD;MDS
8;tied;0.2290096378326133;434.40128673622763;1956415.999195586;-0.7620017970036304;;cbow;WMD;MDS
7;tied;0.22970698584614196;460.9712880678882;1957240.113766031;-0.7786320903701908;;cbow;WMD;MDS
6;tied;0.23669919707065756;524.0248027770681;1958097.8882729087;-0.8117999612363818;;cbow;WMD;MDS
5;tied;0.23789698124863262;581.5963721569047;1959119.429838274;-0.8181532074552559;;cbow;WMD;MDS
4;tied;0.23688920280896836;704.2541509159829;1960281.6891831926;-0.8277770682344625;;cbow;WMD;MDS
3;tied;0.29396856617895945;719.3419126306882;1961707.1247592003;-0.6422142561984957;;cbow;WMD;MDS
2;tied;0.3096616898614445;978.3474151000687;1963594.8764385667;-0.6261097053468685;;cbow;WMD;MDS
14;full;0.3597936755544466;9154.3866740714;178552.77536167612;-0.7050808089094881;50;cbow;WMD;MDS
14;spherical;0.3615346222843972;9446.251551697133;178577.01412456005;-0.7008793104930384;50;cbow;WMD;MDS
12;full;0.36768446430806656;9179.538129597438;178577.58437551907;-0.6890564655549021;50;cbow;WMD;MDS
13;full;0.362831720491758;9286.601796021954;178597.2107452334;-0.6861545279517912;50;cbow;WMD;MDS
14;tied;0.3600066952738677;9445.924108839854;178597.41544945302;-0.7036531783579871;50;cbow;WMD;MDS
13;spherical;0.3544536084304795;9196.484938975285;178615.5463319284;-0.710387080819527;50;cbow;WMD;MDS
14;diag;0.35525431183501377;9257.316230349925;178621.28837627842;-0.6848732092810618;50;cbow;WMD;MDS
11;full;0.35791375249309476;9073.349607794238;178646.0458705977;-0.7014163687350802;50;cbow;WMD;MDS
12;spherical;0.3669887448518292;9488.669279244868;178659.9985046668;-0.6978862083501236;50;cbow;WMD;MDS
13;tied;0.3627242945497875;9449.271148880356;178660.70705113615;-0.694722784533054;50;cbow;WMD;MDS
10;full;0.363479973255601;9138.762970879336;178661.26985236327;-0.7043348255623397;50;cbow;WMD;MDS
9;full;0.37548090934794903;8915.102450684175;178682.2435584223;-0.7739717163808824;50;cbow;WMD;MDS
13;diag;0.3545476303670524;9210.137908224693;178682.30071751657;-0.7318567293575409;50;cbow;WMD;MDS
11;spherical;0.3488452960149011;8983.711087300884;178687.10334109145;-0.7103604756042519;50;cbow;WMD;MDS
12;tied;0.3641706969382017;9459.921534677964;178700.024657127;-0.7086590675254901;50;cbow;WMD;MDS
12;diag;0.36459051578494467;9461.036474628145;178722.08298766092;-0.711823464656329;50;cbow;WMD;MDS
8;full;0.38287917421246714;9089.152889999788;178739.7795092462;-0.7409320001275459;50;cbow;WMD;MDS
11;diag;0.3561175260720729;9149.201440149043;178759.1200257751;-0.6916552152143303;50;cbow;WMD;MDS
10;spherical;0.3672221440367927;9405.796761537405;178814.8715502586;-0.6837072546040069;50;cbow;WMD;MDS
10;diag;0.3665080051343562;8968.177552765126;178824.77728091707;-0.7656435353469766;50;cbow;WMD;MDS
7;full;0.3815941519732446;8782.711358722136;178828.85353554977;-0.7179448064465522;50;cbow;WMD;MDS
11;tied;0.37237670552977203;9546.478756620852;178832.3259869413;-0.6977502539009627;50;cbow;WMD;MDS
9;diag;0.36490907449642024;8851.765151769934;178863.9238156086;-0.7415754157133388;50;cbow;WMD;MDS
9;spherical;0.36978514736698626;9233.844568600425;178887.25057077367;-0.7000974125434077;50;cbow;WMD;MDS
10;tied;0.3646317359943357;9369.09155839835;178923.50325420543;-0.715781496552936;50;cbow;WMD;MDS
8;diag;0.3802621884929;9031.596151918777;178939.89207460533;-0.7536583724599909;50;cbow;WMD;MDS
6;full;0.39746778443926895;8799.840682928829;178993.66121641206;-0.7219078640394399;50;cbow;WMD;MDS
8;spherical;0.3758990418163427;9070.859693829156;179046.05217185305;-0.7242873424743986;50;cbow;WMD;MDS
7;diag;0.38816711939984505;9262.763542560495;179060.8704131961;-0.7582234924114106;50;cbow;WMD;MDS
9;tied;0.37695355334801056;9127.033737392054;179096.78328540048;-0.730112781490697;50;cbow;WMD;MDS
8;tied;0.37893989466386574;9322.065955288223;179150.08325175318;-0.7470772159354885;50;cbow;WMD;MDS
6;diag;0.3994800350258295;8913.41943074602;179157.57935293354;-0.7424861971842902;50;cbow;WMD;MDS
7;spherical;0.3944773505148296;9510.273004748997;179230.41511779264;-0.7694356203093327;50;cbow;WMD;MDS
7;tied;0.395360726702449;9563.354584710527;179243.76711543108;-0.7909743480661989;50;cbow;WMD;MDS
5;full;0.3613011300553587;7771.076319397115;179313.91707386667;-0.7948814598265597;50;cbow;WMD;MDS
