K;covariance;silhouette;Cal-Harabasz;BIC;DBCV;perplexity;wordEmbedding;docEmbedding;docEmbedding2
5;spherical;0.1258378527880434;100.77805289357576;-33356197.27601356;-0.7124743190995058;;glove;Moyenne;TF
7;spherical;0.12837092039229472;80.74676303581388;-33355506.370643605;-0.7093328403119056;;glove;Moyenne;TF
9;spherical;0.029264249043651495;79.99353418789188;-33355075.06471761;-0.6957850099076677;;glove;Moyenne;TF
6;spherical;0.039459807690921014;91.70373108560139;-33354173.53935899;-0.8089384542045004;;glove;Moyenne;TF
8;spherical;0.14480386602741901;72.1467056230334;-33353941.56168915;-0.8144537805725789;;glove;Moyenne;TF
4;spherical;0.1766513747836742;100.09827023024914;-33353018.69875807;-0.8223079984030311;;glove;Moyenne;TF
10;spherical;0.03163365538051314;71.30126300020835;-33352190.11335534;-0.7013832860366663;;glove;Moyenne;TF
3;spherical;0.18002467047541504;117.73860282609013;-33351886.948850565;-0.8243276293320286;;glove;Moyenne;TF
2;spherical;0.1770840262605819;171.3078057663667;-33350243.78642991;-0.8253119760193413;;glove;Moyenne;TF
11;spherical;0.034475236894575705;81.7866084909179;-33350077.9811208;-0.6986765531325089;;glove;Moyenne;TF
12;spherical;0.034375897483917596;61.77087836664295;-33348953.709857028;-0.7007951377553432;;glove;Moyenne;TF
13;spherical;0.027637330514737;62.83618334667465;-33346377.520134706;;;glove;Moyenne;TF
2;diag;0.17544415873020852;172.72917808969825;-33345354.10614068;-0.8252841352454091;;glove;Moyenne;TF
14;spherical;0.03439645355351364;65.01942340911698;-33344902.56307589;-0.7375701452503648;;glove;Moyenne;TF
3;diag;0.178877654123669;118.81888102233324;-33344351.19165849;-0.8242328785025705;;glove;Moyenne;TF
5;diag;0.12507451453615975;101.18146888850305;-33342975.836946834;-0.712345473678288;;glove;Moyenne;TF
4;diag;0.1753025590912095;100.77850583865961;-33342826.21352415;-0.8221696755958711;;glove;Moyenne;TF
6;diag;0.04212259591494246;92.07617101140666;-33338467.55960642;-0.8099724419229984;;glove;Moyenne;TF
7;diag;0.12749954481009634;82.20253168693863;-33337165.868351497;-0.7086703784598238;;glove;Moyenne;TF
9;diag;0.022735229600252437;80.68502499829914;-33331622.149156224;-0.7182325698688027;;glove;Moyenne;TF
8;diag;0.12712251999568808;82.00379211260876;-33331618.2239875;-0.708744078365191;;glove;Moyenne;TF
10;diag;0.029909191717987064;74.1492716475725;-33326793.4785451;-0.6929247783691503;;glove;Moyenne;TF
11;diag;0.03009935225091915;82.50183423814958;-33320812.178510293;-0.6976016916915755;;glove;Moyenne;TF
12;diag;0.03647476239317679;63.92258901138148;-33318005.749781765;-0.6993187778565905;;glove;Moyenne;TF
13;diag;0.02279534553393945;62.86787346067783;-33311861.765600108;-0.7167733877805228;;glove;Moyenne;TF
14;diag;0.03230382438774577;64.2003974479399;-33307043.938319255;-0.6945866317132016;;glove;Moyenne;TF
2;tied;0.1568037587359844;191.3113509099;-32987983.133412424;-0.7178533453597686;;glove;Moyenne;TF
5;tied;0.15844211673322378;90.1469655182603;-32987740.617154572;-0.6603338086900998;;glove;Moyenne;TF
3;tied;0.160271246854065;135.74638321106332;-32987441.15130566;-0.7157539673115181;;glove;Moyenne;TF
6;tied;0.14957040706607713;81.50434159150393;-32986472.881772544;-0.6569402215651905;;glove;Moyenne;TF
4;tied;0.15929206418911326;107.18565719260263;-32986459.121157106;-0.7153989710554332;;glove;Moyenne;TF
7;tied;0.09923443993925397;83.05417124401691;-32985012.203688085;-0.6639842721379706;;glove;Moyenne;TF
8;tied;0.06337349942067093;78.03188055837255;-32982319.759788398;-0.6823255171240524;;glove;Moyenne;TF
9;tied;0.08937286147010093;75.7657784880094;-32982151.219893586;;;glove;Moyenne;TF
10;tied;0.08728096660020236;67.17228373994209;-32980167.893898513;-0.650034200113473;;glove;Moyenne;TF
11;tied;0.09689311820096776;74.0541882594433;-32977773.563088875;-0.6568046058919937;;glove;Moyenne;TF
12;tied;0.06701501258257281;82.18291244411718;-32976594.843262374;-0.7147280616980102;;glove;Moyenne;TF
13;tied;0.0706657671662449;63.83041858363549;-32975001.972456165;-0.6297336846737701;;glove;Moyenne;TF
14;tied;0.06511539064176497;65.01165438762767;-32973390.7414267;-0.6499245561748906;;glove;Moyenne;TF
2;full;0.15479420105572866;178.96519779297702;-32593315.517012153;-0.7198433175005403;;glove;Moyenne;TF
3;full;0.14801807986029808;108.59998722631839;-32190017.389276657;-0.7209416407057341;;glove;Moyenne;TF
4;full;0.10823812135859731;95.73702819375399;-31782474.397311777;-0.5468233232717635;;glove;Moyenne;TF
5;full;0.13275303908823402;79.84183990727101;-31374201.05413561;-0.5851933628936878;;glove;Moyenne;TF
6;full;0.13820068070497663;72.47772902056958;-30962833.129075073;-0.5519535019369796;;glove;Moyenne;TF
7;full;0.08929203657328731;64.80593870201346;-30552158.005824275;-0.5658008765180667;;glove;Moyenne;TF
8;full;0.09964424840351717;60.67351513892697;-30140540.72483741;-0.5882832500144041;;glove;Moyenne;TF
9;full;0.07697137355154253;55.84249797092836;-29728899.029027734;-0.5712981308257519;;glove;Moyenne;TF
10;full;0.08831709271113848;56.54323663866384;-29316283.75472549;-0.5346015753942696;;glove;Moyenne;TF
11;full;0.07155486015142005;53.72538464163651;-28903793.12679165;-0.5995325272789932;;glove;Moyenne;TF
12;full;0.07708228430486912;52.93368658120781;-28490701.110808518;-0.6242486010157493;;glove;Moyenne;TF
13;full;0.07570659118423925;52.09292927248272;-28077027.14486689;-0.5169158647792258;;glove;Moyenne;TF
14;full;0.06030201424645857;51.38890687301944;-27664333.86775119;-0.5528241322545325;;glove;Moyenne;TF
12;spherical;0.324607904122409;7244.081871385357;184221.6230989884;-0.7687043536875877;50;glove;Moyenne;TF
13;spherical;0.3223771867328295;7371.834200820559;184240.6784843018;-0.7731555836551173;50;glove;Moyenne;TF
14;spherical;0.34715299563364105;7888.126603108023;184364.2743372055;-0.7818485028583154;50;glove;Moyenne;TF
7;full;0.35224628264657587;7340.146448949683;184381.0185674428;-0.8009089038488544;50;glove;Moyenne;TF
12;full;0.3242806633185163;7277.803431241333;184420.0736358463;-0.7620306008914128;50;glove;Moyenne;TF
14;full;0.34252812109694125;7688.642905674072;184425.59903600888;-0.7633788480431252;50;glove;Moyenne;TF
8;full;0.3379420989768925;7106.172779237866;184431.64686917496;-0.7985294902936684;50;glove;Moyenne;TF
14;diag;0.34149050706194517;7728.837363626771;184431.68164680107;-0.7611898237928968;50;glove;Moyenne;TF
