K;covariance;silhouette;Cal-Harabasz;BIC;DBCV;perplexity;wordEmbedding;docEmbedding;docEmbedding2
14;spherical;0.3342681823971127;7883.152640146562;189848.528704577;-0.7501220345558745;50;glove;WMD;Distance
14;diag;0.33930346279750945;7872.535152441028;189858.56024331044;-0.7710451317867779;50;glove;WMD;Distance
14;full;0.3410043882930587;7897.826590755014;189862.28646103846;-0.770369623929966;50;glove;WMD;Distance
12;full;0.3448825302199393;7911.608383166923;189920.87267780915;-0.7688612155379445;50;glove;WMD;Distance
13;diag;0.3344428136382753;7898.340248833637;189944.8647997578;-0.7737546458399964;50;glove;WMD;Distance
13;full;0.3473358648351753;8122.653160761364;189988.90504610987;-0.739813849505838;50;glove;WMD;Distance
12;diag;0.35475437708380814;8339.881500404403;190094.22017263368;-0.7857880049369231;50;glove;WMD;Distance
9;full;0.3580124897845736;8066.357889118056;190120.19151296423;-0.8237775431385153;50;glove;WMD;Distance
10;full;0.3573588632693532;8407.913809649674;190126.63297644648;-0.7635812975112656;50;glove;WMD;Distance
11;full;0.3543714170023693;8321.881350417705;190134.45418981236;-0.7712772918212615;50;glove;WMD;Distance
14;tied;0.3508933701858903;8511.102941321265;190228.52723068435;-0.7879590767574872;50;glove;WMD;Distance
13;spherical;0.3390344248156619;8206.990084547753;190238.8114393512;-0.7548581831771926;50;glove;WMD;Distance
11;diag;0.3546413424312102;8708.63272219895;190242.64539012252;-0.7893563641746439;50;glove;WMD;Distance
13;tied;0.3397478076206936;8343.273608938574;190257.06403853945;-0.7964477337111431;50;glove;WMD;Distance
10;diag;0.3642200899561637;8592.131751834013;190279.2095370387;-0.8050770407823139;50;glove;WMD;Distance
12;tied;0.3516011289192295;8722.515496810378;190287.60350053594;-0.8033942206729643;50;glove;WMD;Distance
11;spherical;0.3578742033720199;8515.876872326166;190302.1023622539;-0.7922258415860765;50;glove;WMD;Distance
12;spherical;0.35935799497742116;8625.718165079614;190303.70843922577;-0.7804844785873415;50;glove;WMD;Distance
11;tied;0.3559928309897564;8838.334204468181;190328.2126287943;-0.7904981841053202;50;glove;WMD;Distance
8;full;0.3705534242607837;8112.596735174689;190348.1346502682;-0.7953256454767321;50;glove;WMD;Distance
9;diag;0.3373970866748484;8003.448183743081;190405.7032346308;-0.8167656656221138;50;glove;WMD;Distance
10;tied;0.37144125938049516;8948.81107323732;190409.97563944655;-0.7881492375681354;50;glove;WMD;Distance
10;spherical;0.3719059521965193;8947.886082786728;190432.94031752853;-0.7753413905214248;50;glove;WMD;Distance
8;diag;0.3661151499278568;8088.808663799268;190485.21075940315;-0.8315089197155471;50;glove;WMD;Distance
9;spherical;0.36294839669550183;8603.640480606304;190521.25108805933;-0.7880685880873164;50;glove;WMD;Distance
9;tied;0.3493353527580497;8415.598669933685;190535.49219474083;-0.7927996958052212;50;glove;WMD;Distance
7;full;0.354152223678823;7908.1883462738;190551.53991557506;-0.8001053926491466;50;glove;WMD;Distance
8;tied;0.35983818004600093;8565.216334117644;190575.36617979154;-0.8140651053720317;50;glove;WMD;Distance
8;spherical;0.35926027874088046;8557.550612534005;190612.66915781525;-0.8224297358271813;50;glove;WMD;Distance
7;diag;0.3677299740419378;8250.503764294437;190645.38446101578;-0.8357408777498225;50;glove;WMD;Distance
6;full;0.379238138648589;8338.98590801058;190656.85646598943;-0.8470628148443355;50;glove;WMD;Distance
7;spherical;0.36590753802212483;8205.63839644601;190819.89232512773;-0.7989468811753795;50;glove;WMD;Distance
