K;covariance;silhouette;Cal-Harabasz;BIC;DBCV;perplexity;wordEmbedding;docEmbedding;docEmbedding2
13;full;0.04242953622822024;1588.1491151930722;-68753.9315451439;-0.7136165746169951;;skipgram;Moyenne;TF
12;full;0.05912983458489053;1707.492691008302;-68620.48379857605;-0.7146661357452428;;skipgram;Moyenne;TF
14;full;0.03411472120077257;1642.8041280786792;-68591.58196442704;-0.7116302553614904;;skipgram;Moyenne;TF
11;full;0.08328740676956585;1900.8698708543504;-68516.41285472465;-0.7404624088328227;;skipgram;Moyenne;TF
10;full;0.07952822590922387;1875.4721150478085;-68261.1780468115;-0.7481425664390909;;skipgram;Moyenne;TF
9;full;0.05223333702455894;1699.030340012007;-68105.60935006598;-0.7187113586924192;;skipgram;Moyenne;TF
8;full;0.06765303727229882;2002.8574603725363;-67425.05871434222;-0.7390431302990377;;skipgram;Moyenne;TF
7;full;0.10257098448421205;2287.5573788608135;-67033.65205214795;-0.7630779993390882;;skipgram;Moyenne;TF
6;full;0.09041801056620874;2289.9832578516293;-66413.81085472519;-0.7375978302824034;;skipgram;Moyenne;TF
5;full;0.15242977361984553;2591.990085123754;-65682.35062436148;-0.7440848374214696;;skipgram;Moyenne;TF
4;full;0.15217010264836955;2921.232933884611;-64450.297936263654;-0.7632309110174453;;skipgram;Moyenne;TF
3;full;0.16964672324755484;3164.0959997796813;-63212.51200835414;-0.7585175119607208;;skipgram;Moyenne;TF
14;diag;0.15709009389789394;2527.600287478172;-62099.37165669101;-0.6740850469081725;;skipgram;Moyenne;TF
14;tied;0.16254778442969625;2116.690467513036;-62068.3518053314;-0.6535513675035847;;skipgram;Moyenne;TF
13;tied;0.1637788937133844;2185.763143205584;-62011.65981956457;-0.6683518091054436;;skipgram;Moyenne;TF
13;diag;0.17140567313834854;2579.729520260253;-61805.712786376745;-0.7031560407057241;;skipgram;Moyenne;TF
12;diag;0.17070528124388254;2736.3792986880208;-61456.79596510263;-0.6988314404530478;;skipgram;Moyenne;TF
12;tied;0.20024613978311173;2358.040022428189;-61426.16640856776;-0.6829583601016174;;skipgram;Moyenne;TF
11;tied;0.14528210809637007;2006.0921345842858;-61195.06867451346;-0.7019050274855418;;skipgram;Moyenne;TF
11;diag;0.1666741255614859;2866.625130693146;-60971.048786493586;-0.7229132063105681;;skipgram;Moyenne;TF
10;diag;0.1625192798847416;2881.776920904526;-60481.281473560484;-0.6998974688287793;;skipgram;Moyenne;TF
9;diag;0.15623290862119152;2887.3332348092113;-60181.94549349256;-0.7081551261972178;;skipgram;Moyenne;TF
14;spherical;0.18997446465995493;2949.9924263718694;-59497.22595875686;-0.6653530188599245;;skipgram;Moyenne;TF
10;tied;0.20968751543007064;2651.312793236518;-59213.9706817198;-0.7245311260971089;;skipgram;Moyenne;TF
8;diag;0.206142950441203;3116.34365939253;-59170.5416423672;-0.7053090411211658;;skipgram;Moyenne;TF
13;spherical;0.20486936900380615;3116.844495889519;-58991.980615095585;-0.6572083265080653;;skipgram;Moyenne;TF
2;full;0.4002995925536715;3270.1490691259896;-58953.23380132508;-0.7941659681829434;;skipgram;Moyenne;TF
12;spherical;0.1967157909619992;3188.504871838879;-58560.27911685485;-0.6996984324616726;;skipgram;Moyenne;TF
9;tied;0.1981683998156319;2815.776294053572;-58478.477975275666;-0.7452309537683794;;skipgram;Moyenne;TF
7;diag;0.19914964509242167;3103.565176844243;-58458.5217856348;-0.7071125499335692;;skipgram;Moyenne;TF
11;spherical;0.18421242012398475;3080.1296674302257;-58190.579299160076;-0.6790583060544878;;skipgram;Moyenne;TF
8;tied;0.22746220383943516;3100.166751000015;-57879.20570081142;-0.7620850633290315;;skipgram;Moyenne;TF
6;diag;0.19784548002496544;3361.6272392974274;-57553.61624596864;-0.7045019147076789;;skipgram;Moyenne;TF
7;tied;0.16376785452047965;2604.5064935275923;-57410.593220644085;-0.8197146890276621;;skipgram;Moyenne;TF
10;spherical;0.1835063559453303;3109.599874273219;-57388.62879183982;-0.6846036000830228;;skipgram;Moyenne;TF
9;spherical;0.182908960665688;3331.497475047957;-56286.87650473847;-0.6965036608614368;;skipgram;Moyenne;TF
6;tied;0.21244551758779023;3295.824763654316;-55686.515221597874;-0.7637422722199131;;skipgram;Moyenne;TF
5;tied;0.2820861149673026;3373.1561622589434;-55647.56967855837;-0.8321858225372465;;skipgram;Moyenne;TF
5;diag;0.18763153907690042;3387.563558233099;-55555.43002331212;-0.7398150715845292;;skipgram;Moyenne;TF
8;spherical;0.1900940533847311;2852.4234344688434;-55284.522437913365;-0.7138148456171701;;skipgram;Moyenne;TF
7;spherical;0.20885974481840713;3104.38077132611;-54215.94569364247;-0.724415345517687;;skipgram;Moyenne;TF
4;diag;0.25088379367674485;4215.266896565346;-52751.94304703608;-0.7761190069112152;;skipgram;Moyenne;TF
6;spherical;0.2022411458440282;2967.6088668533407;-52263.742384796475;-0.7190276843183734;;skipgram;Moyenne;TF
4;tied;0.27563003522125923;3939.3284270637173;-51944.38447141627;-0.8341737429264804;;skipgram;Moyenne;TF
5;spherical;0.20706238417206507;2755.590348561617;-51182.60888697218;-0.742469915946286;;skipgram;Moyenne;TF
3;diag;0.26347687413604765;4024.6119887677423;-49450.56664984914;-0.8235513482353004;;skipgram;Moyenne;TF
3;tied;0.23791946377831985;3204.6958454602386;-48163.190226128485;-0.8553416677966234;;skipgram;Moyenne;TF
2;tied;0.6583953194295471;2984.1951361843817;-47777.58788600521;-0.7869420103746876;;skipgram;Moyenne;TF
4;spherical;0.27199145099742705;2889.3825173534997;-47541.86162364885;-0.740975800876587;;skipgram;Moyenne;TF
3;spherical;0.27306194579761023;3643.595967435297;-44526.75581958239;-0.7659246205351946;;skipgram;Moyenne;TF
2;diag;0.4745489475965628;4553.467273678112;-41017.74664447084;-0.6543586695572597;;skipgram;Moyenne;TF
2;spherical;0.5241548152114901;4338.687634121239;-34519.8608707873;-0.6539655542412259;;skipgram;Moyenne;TF
14;full;0.31850539637753256;8034.097830834067;186906.20785190995;-0.5794084780448742;50;skipgram;Moyenne;TF
13;full;0.3483986340863435;9032.409095261677;187317.5453252197;-0.6060496006796;50;skipgram;Moyenne;TF
12;full;0.35289038253515304;9080.875881094611;187420.5196368532;-0.6490339405271246;50;skipgram;Moyenne;TF
11;full;0.3217356749565209;8037.506397925126;187434.51306023038;-0.6489983377628844;50;skipgram;Moyenne;TF
14;diag;0.3319410888479334;8933.295021510972;187522.03790908869;-0.5380058896482823;50;skipgram;Moyenne;TF
10;full;0.33053021771502356;8471.70630956113;187542.98520866543;-0.6577261968054193;50;skipgram;Moyenne;TF
13;diag;0.3474488473821231;9175.97348564706;187685.54100619492;-0.5751693117797697;50;skipgram;Moyenne;TF
14;spherical;0.35493121370443415;9738.530120636942;187720.0634122008;-0.641231223715293;50;skipgram;Moyenne;TF
9;full;0.3355557112636328;8401.46372063304;187743.2949193954;-0.6270505900004795;50;skipgram;Moyenne;TF
13;spherical;0.35379080557713805;9664.456035686942;187819.8626961297;-0.6213319101427434;50;skipgram;Moyenne;TF
12;diag;0.350069609270579;9443.300322088095;187920.62033369843;-0.6059860612426747;50;skipgram;Moyenne;TF
14;tied;0.36739247637335437;10210.858420931245;187974.67328878512;-0.6278358427228775;50;skipgram;Moyenne;TF
12;spherical;0.3513186248844184;9675.405387716335;188003.22071740445;-0.6147680945597979;50;skipgram;Moyenne;TF
10;diag;0.33888966167402396;8834.810279016929;188056.03118105858;-0.6470919843374238;50;skipgram;Moyenne;TF
8;full;0.3550885325325371;8261.26717025771;188092.08862797098;-0.6926397768339038;50;skipgram;Moyenne;TF
13;tied;0.36517921082334176;10024.918296275853;188095.87831812425;-0.6486363267357231;50;skipgram;Moyenne;TF
11;spherical;0.35983490722240413;9829.730796081963;188106.9881057897;-0.6268227954983442;50;skipgram;Moyenne;TF
11;diag;0.37624162801690403;9698.982104096489;188120.68514484054;-0.609577174209663;50;skipgram;Moyenne;TF
12;tied;0.35690333395404433;9640.66410138141;188204.7012900368;-0.6135587692441231;50;skipgram;Moyenne;TF
9;diag;0.36630015577932556;9340.748933067125;188306.7782944378;-0.6751018340253879;50;skipgram;Moyenne;TF
10;spherical;0.3720182761741722;9913.137025726408;188318.58427874587;-0.7059430763228947;50;skipgram;Moyenne;TF
11;tied;0.3765941932962306;10006.530423314427;188337.64963314857;-0.6672322494990309;50;skipgram;Moyenne;TF
10;tied;0.37275607568701585;10053.70943015638;188444.833806032;-0.6420790447787761;50;skipgram;Moyenne;TF
8;diag;0.3730756392359598;9623.750636894913;188471.84016569756;-0.6226986302880887;50;skipgram;Moyenne;TF
9;spherical;0.36636231252287066;9461.835336767212;188490.91494763378;-0.702461328936141;50;skipgram;Moyenne;TF
7;diag;0.36375387729987396;9329.109115238116;188577.73565846685;-0.6962420811151819;50;skipgram;Moyenne;TF
7;full;0.362114599255605;9281.508621225104;188584.87370617807;-0.6868117466708742;50;skipgram;Moyenne;TF
6;full;0.338093505975027;8084.417092621927;188672.184418896;-0.7647627635779364;50;skipgram;Moyenne;TF
9;tied;0.3774355397666992;10033.418184005905;188676.7591792991;-0.6580448028772788;50;skipgram;Moyenne;TF
8;spherical;0.3375895682549061;8803.772113416906;188775.79072357187;-0.6116411555098827;50;skipgram;Moyenne;TF
8;tied;0.37075480908312314;9686.912115984158;188792.39757138168;-0.6666161683296947;50;skipgram;Moyenne;TF
7;spherical;0.3670833254565791;9566.577109292288;188857.26351244043;-0.6340357352643657;50;skipgram;Moyenne;TF
6;diag;0.38538483737217294;9382.644909006463;188857.6355190763;-0.6663061673742257;50;skipgram;Moyenne;TF
7;tied;0.3679278846035718;9677.328222453029;188957.79517293465;-0.697134793275355;50;skipgram;Moyenne;TF
5;full;0.40026297703343044;9627.038615111522;189049.4965426233;-0.6861776846798493;50;skipgram;Moyenne;TF
6;tied;0.38293270297532017;9574.120859273873;189168.6392697969;-0.6732058346671809;50;skipgram;Moyenne;TF
6;spherical;0.3907782332788324;9698.341328504244;189278.7067095205;-0.6816576047169712;50;skipgram;Moyenne;TF
5;tied;0.38656293596405034;9449.41767111142;189341.56041627692;-0.7514299930796279;50;skipgram;Moyenne;TF
5;diag;0.39798101522389884;9592.406175474845;189360.2384918348;-0.7145912851496179;50;skipgram;Moyenne;TF
5;spherical;0.3683063938484679;8805.266283836405;189505.35564646925;-0.7031792124040037;50;skipgram;Moyenne;TF
4;full;0.4064447086968349;9487.37619084729;189597.65968045735;-0.7012355616156256;50;skipgram;Moyenne;TF
4;diag;0.40527503694275174;9338.581052446885;189617.34082554808;-0.6816044992234016;50;skipgram;Moyenne;TF
