voisinage;min_cluster_size;distance;K;silhouette;Cal-Harabasz;DBCV;non_classes;perplexity;wordEmbedding;docEmbedding;docEmbedding2
17;11;euclidean;3;-0.14078071874321435;976.8351637407707;0.10713975943501086;5641;;cbow;Moyenne;TFIDF
17;10;euclidean;3;-0.14078071874321435;976.8351637407707;0.10713975943501086;5641;;cbow;Moyenne;TFIDF
17;12;euclidean;3;-0.14078071874321435;976.8351637407707;0.10713975943501086;5641;;cbow;Moyenne;TFIDF
17;13;euclidean;3;-0.14078071874321435;976.8351637407707;0.10713975943501086;5641;;cbow;Moyenne;TFIDF
28;14;euclidean;3;-0.3488780018604685;422.4586464193073;0.09419891311669347;7714;;cbow;Moyenne;TFIDF
28;13;euclidean;3;-0.3488780018604685;422.4586464193073;0.09419891311669347;7714;;cbow;Moyenne;TFIDF
28;12;euclidean;3;-0.3488780018604685;422.4586464193073;0.09419891311669347;7714;;cbow;Moyenne;TFIDF
28;11;euclidean;3;-0.3488780018604685;422.4586464193073;0.09419891311669347;7714;;cbow;Moyenne;TFIDF
28;10;euclidean;3;-0.3488780018604685;422.4586464193073;0.09419891311669347;7714;;cbow;Moyenne;TFIDF
29;11;euclidean;3;-0.3545712002407538;412.3498422301862;0.08647475788991714;7774;;cbow;Moyenne;TFIDF
29;10;euclidean;3;-0.3545712002407538;412.3498422301862;0.08647475788991714;7774;;cbow;Moyenne;TFIDF
26;10;euclidean;3;-0.3673041714839603;378.6917480669797;0.08384110858332916;7913;;cbow;Moyenne;TFIDF
13;10;euclidean;3;0.5115090581357984;618.62689616687;0.07228313093717355;223;;cbow;Moyenne;TFIDF
15;10;euclidean;3;-0.128074023807768;1010.1806061073863;0.06803115550978293;5489;;cbow;Moyenne;TFIDF
15;11;euclidean;3;-0.128074023807768;1010.1806061073863;0.06803115550978293;5489;;cbow;Moyenne;TFIDF
15;13;euclidean;3;-0.128074023807768;1010.1806061073863;0.06803115550978293;5489;;cbow;Moyenne;TFIDF
15;12;euclidean;3;-0.128074023807768;1010.1806061073863;0.06803115550978293;5489;;cbow;Moyenne;TFIDF
15;14;euclidean;3;-0.128074023807768;1010.1806061073863;0.06803115550978293;5489;;cbow;Moyenne;TFIDF
16;10;euclidean;3;-0.1324220308188881;994.3038998464073;0.06550974794303287;5562;;cbow;Moyenne;TFIDF
16;11;euclidean;3;-0.1324220308188881;994.3038998464073;0.06550974794303287;5562;;cbow;Moyenne;TFIDF
16;12;euclidean;3;-0.1324220308188881;994.3038998464073;0.06550974794303287;5562;;cbow;Moyenne;TFIDF
16;13;euclidean;3;-0.1324220308188881;994.3038998464073;0.06550974794303287;5562;;cbow;Moyenne;TFIDF
16;14;euclidean;3;-0.1324220308188881;994.3038998464073;0.06550974794303287;5562;;cbow;Moyenne;TFIDF
38;13;euclidean;3;-0.34733513745975747;430.99688270932154;0.06533541198829283;7700;;cbow;Moyenne;TFIDF
38;14;euclidean;3;-0.34733513745975747;430.99688270932154;0.06533541198829283;7700;;cbow;Moyenne;TFIDF
38;10;euclidean;3;-0.34733513745975747;430.99688270932154;0.06533541198829283;7700;;cbow;Moyenne;TFIDF
38;12;euclidean;3;-0.34733513745975747;430.99688270932154;0.06533541198829283;7700;;cbow;Moyenne;TFIDF
38;11;euclidean;3;-0.34733513745975747;430.99688270932154;0.06533541198829283;7700;;cbow;Moyenne;TFIDF
12;11;euclidean;3;0.5115905816670855;591.2655789109762;0.06483216338427124;210;;cbow;Moyenne;TFIDF
12;10;euclidean;3;0.5115905816670855;591.2655789109762;0.06483216338427124;210;;cbow;Moyenne;TFIDF
12;14;euclidean;3;0.5115905816670855;591.2655789109762;0.06483216338427124;210;;cbow;Moyenne;TFIDF
12;13;euclidean;3;0.5115905816670855;591.2655789109762;0.06483216338427124;210;;cbow;Moyenne;TFIDF
12;12;euclidean;3;0.5115905816670855;591.2655789109762;0.06483216338427124;210;;cbow;Moyenne;TFIDF
39;10;euclidean;3;-0.35238130901019016;420.77478752104474;0.06420153018779581;7748;;cbow;Moyenne;TFIDF
39;12;euclidean;3;-0.35238130901019016;420.77478752104474;0.06420153018779581;7748;;cbow;Moyenne;TFIDF
39;11;euclidean;3;-0.35238130901019016;420.77478752104474;0.06420153018779581;7748;;cbow;Moyenne;TFIDF
33;10;euclidean;3;-0.35596661675570807;414.3678898896291;0.05520387318501173;7789;;cbow;Moyenne;TFIDF
35;10;euclidean;3;-0.3493546446968274;427.5948992563673;0.05306379021213673;7716;;cbow;Moyenne;TFIDF
35;11;euclidean;3;-0.3493546446968274;427.5948992563673;0.05306379021213673;7716;;cbow;Moyenne;TFIDF
35;12;euclidean;3;-0.3493546446968274;427.5948992563673;0.05306379021213673;7716;;cbow;Moyenne;TFIDF
35;13;euclidean;3;-0.3493546446968274;427.5948992563673;0.05306379021213673;7716;;cbow;Moyenne;TFIDF
36;14;euclidean;3;-0.3497461067873675;421.55085065944985;0.04922476877418576;7721;;cbow;Moyenne;TFIDF
36;13;euclidean;3;-0.3497461067873675;421.55085065944985;0.04922476877418576;7721;;cbow;Moyenne;TFIDF
36;10;euclidean;3;-0.3497461067873675;421.55085065944985;0.04922476877418576;7721;;cbow;Moyenne;TFIDF
36;11;euclidean;3;-0.3497461067873675;421.55085065944985;0.04922476877418576;7721;;cbow;Moyenne;TFIDF
36;12;euclidean;3;-0.3497461067873675;421.55085065944985;0.04922476877418576;7721;;cbow;Moyenne;TFIDF
34;10;euclidean;3;-0.34845362583982054;430.46516295085536;0.0486050526734023;7709;;cbow;Moyenne;TFIDF
34;11;euclidean;3;-0.34845362583982054;430.46516295085536;0.0486050526734023;7709;;cbow;Moyenne;TFIDF
31;11;euclidean;3;-0.3637133938530442;389.3705031393366;0.04479779480747737;7874;;cbow;Moyenne;TFIDF
31;10;euclidean;3;-0.3637133938530442;389.3705031393366;0.04479779480747737;7874;;cbow;Moyenne;TFIDF
6;14;euclidean;3;0.5024833966339071;641.8555356296852;0.04443735525116433;224;;cbow;Moyenne;TFIDF
32;10;euclidean;3;-0.36782198179447667;380.0682544965396;0.04383811806245696;7915;;cbow;Moyenne;TFIDF
7;14;euclidean;3;0.5041232711610907;667.9599110252483;0.04339104055874146;232;;cbow;Moyenne;TFIDF
8;14;euclidean;3;0.5073295086269658;634.5124932434741;0.04325355717698579;224;;cbow;Moyenne;TFIDF
8;13;euclidean;3;0.5073295086269658;634.5124932434741;0.04325355717698579;224;;cbow;Moyenne;TFIDF
8;12;euclidean;3;0.5073295086269658;634.5124932434741;0.04325355717698579;224;;cbow;Moyenne;TFIDF
20;14;euclidean;3;-0.3779357389448923;357.4481376072472;0.035828331881573666;8005;;cbow;Moyenne;TFIDF
20;11;euclidean;3;-0.3779357389448923;357.4481376072472;0.035828331881573666;8005;;cbow;Moyenne;TFIDF
20;12;euclidean;3;-0.3779357389448923;357.4481376072472;0.035828331881573666;8005;;cbow;Moyenne;TFIDF
20;13;euclidean;3;-0.3779357389448923;357.4481376072472;0.035828331881573666;8005;;cbow;Moyenne;TFIDF
17;14;euclidean;3;-0.36642429007320587;391.32060680429413;0.03296237163144117;7885;;cbow;Moyenne;TFIDF
49;13;euclidean;3;-0.4545805196096984;164.00018002342046;0.014485159608217401;8833;;cbow;Moyenne;TFIDF
49;10;euclidean;3;-0.4545805196096984;164.00018002342046;0.014485159608217401;8833;;cbow;Moyenne;TFIDF
49;11;euclidean;3;-0.4545805196096984;164.00018002342046;0.014485159608217401;8833;;cbow;Moyenne;TFIDF
49;12;euclidean;3;-0.4545805196096984;164.00018002342046;0.014485159608217401;8833;;cbow;Moyenne;TFIDF
49;14;euclidean;3;-0.4545805196096984;164.00018002342046;0.014485159608217401;8833;;cbow;Moyenne;TFIDF
48;10;euclidean;3;-0.45154616720853924;170.04079317028848;0.011601679428430108;8806;;cbow;Moyenne;TFIDF
48;12;euclidean;3;-0.45154616720853924;170.04079317028848;0.011601679428430108;8806;;cbow;Moyenne;TFIDF
48;14;euclidean;3;-0.45154616720853924;170.04079317028848;0.011601679428430108;8806;;cbow;Moyenne;TFIDF
48;13;euclidean;3;-0.45154616720853924;170.04079317028848;0.011601679428430108;8806;;cbow;Moyenne;TFIDF
48;11;euclidean;3;-0.45154616720853924;170.04079317028848;0.011601679428430108;8806;;cbow;Moyenne;TFIDF
37;10;euclidean;3;-0.3461876524402216;433.3452182567104;0.011425451841331495;7685;;cbow;Moyenne;TFIDF
37;14;euclidean;3;-0.3461876524402216;433.3452182567104;0.011425451841331495;7685;;cbow;Moyenne;TFIDF
37;13;euclidean;3;-0.3461876524402216;433.3452182567104;0.011425451841331495;7685;;cbow;Moyenne;TFIDF
37;12;euclidean;3;-0.3461876524402216;433.3452182567104;0.011425451841331495;7685;;cbow;Moyenne;TFIDF
37;11;euclidean;3;-0.3461876524402216;433.3452182567104;0.011425451841331495;7685;;cbow;Moyenne;TFIDF
150;14;euclidean;3;-0.4068802388785783;28.319494760559973;0.006555108810622662;9380;;cbow;Moyenne;TFIDF
150;10;euclidean;3;-0.4068802388785783;28.319494760559973;0.006555108810622662;9380;;cbow;Moyenne;TFIDF
150;11;euclidean;3;-0.4068802388785783;28.319494760559973;0.006555108810622662;9380;;cbow;Moyenne;TFIDF
150;12;euclidean;3;-0.4068802388785783;28.319494760559973;0.006555108810622662;9380;;cbow;Moyenne;TFIDF
150;13;euclidean;3;-0.4068802388785783;28.319494760559973;0.006555108810622662;9380;;cbow;Moyenne;TFIDF
200;13;euclidean;3;-0.41013207108003635;30.87923709520509;0.006510449558042906;9367;;cbow;Moyenne;TFIDF
200;12;euclidean;3;-0.41013207108003635;30.87923709520509;0.006510449558042906;9367;;cbow;Moyenne;TFIDF
200;14;euclidean;3;-0.41013207108003635;30.87923709520509;0.006510449558042906;9367;;cbow;Moyenne;TFIDF
200;11;euclidean;3;-0.41013207108003635;30.87923709520509;0.006510449558042906;9367;;cbow;Moyenne;TFIDF
200;10;euclidean;3;-0.41013207108003635;30.87923709520509;0.006510449558042906;9367;;cbow;Moyenne;TFIDF
13;150;euclidean;3;-0.328816451525849;108.82100493442071;0.005497960639672572;9099;;cbow;Moyenne;TFIDF
13;100;euclidean;3;-0.328816451525849;108.82100493442071;0.005497960639672572;9099;;cbow;Moyenne;TFIDF
100;14;euclidean;3;-0.41323550625411987;37.28782497633704;0.0054931018088751294;9348;;cbow;Moyenne;TFIDF
100;12;euclidean;3;-0.41323550625411987;37.28782497633704;0.0054931018088751294;9348;;cbow;Moyenne;TFIDF
100;13;euclidean;3;-0.41323550625411987;37.28782497633704;0.0054931018088751294;9348;;cbow;Moyenne;TFIDF
100;10;euclidean;3;-0.41323550625411987;37.28782497633704;0.0054931018088751294;9348;;cbow;Moyenne;TFIDF
100;11;euclidean;3;-0.41323550625411987;37.28782497633704;0.0054931018088751294;9348;;cbow;Moyenne;TFIDF
12;150;euclidean;3;-0.3240535845573754;126.93366537824538;0.005384120788861519;9035;;cbow;Moyenne;TFIDF
12;200;euclidean;3;-0.3240535845573754;126.93366537824538;0.005384120788861519;9035;;cbow;Moyenne;TFIDF
12;100;euclidean;3;-0.3240535845573754;126.93366537824538;0.005384120788861519;9035;;cbow;Moyenne;TFIDF
35;14;euclidean;5;-0.45499441335182966;16.162898975106142;0.005300588848430754;9381;;cbow;Moyenne;TFIDF
27;100;euclidean;3;-0.3419298999075826;59.52332710515303;0.005038087279738701;9276;;cbow;Moyenne;TFIDF
15;150;euclidean;3;-0.32807460282051826;107.99837218465984;0.0039896319012857765;9101;;cbow;Moyenne;TFIDF
15;100;euclidean;3;-0.32807460282051826;107.99837218465984;0.0039896319012857765;9101;;cbow;Moyenne;TFIDF
17;100;euclidean;3;-0.33698177421524633;86.24397798776155;0.0023039236413896096;9180;;cbow;Moyenne;TFIDF
20;100;euclidean;3;-0.3372446374782528;82.4141561972608;0.0022154312746866197;9184;;cbow;Moyenne;TFIDF
21;100;euclidean;3;-0.3338699904411577;74.19481124523439;0.001290960095329471;9231;;cbow;Moyenne;TFIDF
30;14;euclidean;3;-0.45006102047746976;165.52074750443154;0.0012289662702100915;8824;;cbow;Moyenne;TFIDF
30;13;euclidean;3;-0.45006102047746976;165.52074750443154;0.0012289662702100915;8824;;cbow;Moyenne;TFIDF
30;12;euclidean;3;-0.45006102047746976;165.52074750443154;0.0012289662702100915;8824;;cbow;Moyenne;TFIDF
30;11;euclidean;3;-0.45006102047746976;165.52074750443154;0.0012289662702100915;8824;;cbow;Moyenne;TFIDF
30;10;euclidean;3;-0.45006102047746976;165.52074750443154;0.0012289662702100915;8824;;cbow;Moyenne;TFIDF
22;100;euclidean;3;-0.33804994855670567;71.78314571968428;0.0011846994499322945;9237;;cbow;Moyenne;TFIDF
35;250;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
35;300;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
35;350;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
35;200;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
35;150;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
35;100;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
27;200;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
35;400;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
35;450;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
37;250;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
37;200;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
37;150;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
37;100;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
34;500;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
36;950;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
36;500;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
36;450;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
36;400;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
36;350;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
36;300;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
36;250;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
36;200;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
36;150;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
36;100;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
35;950;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
35;500;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
34;950;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
32;500;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
34;450;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
29;450;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
29;100;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
29;150;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
29;200;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
29;250;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
29;300;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
29;350;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
29;400;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
29;500;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
28;500;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
29;950;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
30;100;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
30;150;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
30;200;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
30;250;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
30;300;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
30;350;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
28;950;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
28;450;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
30;450;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
27;450;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
26;500;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
26;950;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
27;150;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
27;250;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
27;300;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
27;350;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
27;400;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
27;500;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
28;400;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
27;950;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
28;100;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
28;150;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
28;200;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
28;250;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
28;300;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
28;350;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
30;400;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
30;500;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
34;400;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
33;450;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
33;100;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
33;150;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
33;200;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
33;250;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
33;300;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
33;350;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
33;400;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
33;500;euclidean;1;;;0.0;9501;;cbow;Moyenne;TFIDF
