voisinage;min_cluster_size;distance;K;silhouette;Cal-Harabasz;DBCV;non_classes;perplexity;wordEmbedding;docEmbedding;docEmbedding2
44;10;precomputed;3;0.3686422428865878;;0.23079913431531396;474;;cbow;WMD;Distance
27;13;precomputed;3;0.3803727681891958;;0.2304285805837383;427;;cbow;WMD;Distance
27;14;precomputed;3;0.3803727681891958;;0.2304285805837383;427;;cbow;WMD;Distance
12;10;precomputed;3;0.37762978733643215;;0.1979341988176625;427;;cbow;WMD;Distance
8;10;precomputed;3;0.34748399423895027;;0.197649789794836;551;;cbow;WMD;Distance
32;12;precomputed;3;0.3716212552265076;;0.19170496019594827;435;;cbow;WMD;Distance
32;11;precomputed;4;0.36677577617288387;;0.19118526538138714;446;;cbow;WMD;Distance
38;10;precomputed;3;0.3743160399070012;;0.18330084066775426;368;;cbow;WMD;Distance
16;10;precomputed;3;0.36427824604502096;;0.18184275660357085;413;;cbow;WMD;Distance
44;11;precomputed;3;0.3336840104177015;;0.18110672840929418;640;;cbow;WMD;Distance
100;14;precomputed;3;0.3207618629948262;;0.1688377350326411;782;;cbow;WMD;Distance
100;13;precomputed;3;0.3207618629948262;;0.1688377350326411;782;;cbow;WMD;Distance
47;10;precomputed;4;0.3646229846943736;;0.16804513154350917;456;;cbow;WMD;Distance
150;12;precomputed;3;0.33705017141822396;;0.16447769521877656;676;;cbow;WMD;Distance
20;14;precomputed;4;0.3388503470632725;;0.1623883197218099;613;;cbow;WMD;Distance
49;11;precomputed;4;0.3770560094047441;;0.16164390564395312;413;;cbow;WMD;Distance
48;11;precomputed;3;0.38675876629170264;;0.15835353845744246;373;;cbow;WMD;Distance
17;10;precomputed;3;0.4484698805288256;;0.15834857796601057;218;;cbow;WMD;Distance
17;11;precomputed;3;0.4484698805288256;;0.15834857796601057;218;;cbow;WMD;Distance
48;10;precomputed;4;0.3663193463315814;;0.15699756245985655;456;;cbow;WMD;Distance
40;11;precomputed;3;0.31732879064560854;;0.15477077706479583;700;;cbow;WMD;Distance
11;12;precomputed;3;0.34156503180249503;;0.14877259492439013;594;;cbow;WMD;Distance
11;13;precomputed;3;0.34156503180249503;;0.14877259492439013;594;;cbow;WMD;Distance
45;12;precomputed;3;0.318276579601822;;0.1486442735649926;731;;cbow;WMD;Distance
25;10;precomputed;3;0.3651495878585353;;0.1476101237206447;548;;cbow;WMD;Distance
14;14;precomputed;5;0.28100824922578754;;0.14658228084073355;920;;cbow;WMD;Distance
29;10;precomputed;3;0.3744621656003774;;0.14644019864370797;469;;cbow;WMD;Distance
49;12;precomputed;5;0.338529486369295;;0.14521186145975104;623;;cbow;WMD;Distance
41;12;precomputed;3;0.34345649387003313;;0.14172064022489667;649;;cbow;WMD;Distance
41;11;precomputed;4;0.33886306659741416;;0.1416227217052266;638;;cbow;WMD;Distance
27;12;precomputed;4;0.35362586738730023;;0.13948562343314286;589;;cbow;WMD;Distance
150;10;precomputed;4;0.33238067037103897;;0.13777831511133065;665;;cbow;WMD;Distance
150;11;precomputed;4;0.33238067037103897;;0.13777831511133065;665;;cbow;WMD;Distance
10;11;precomputed;5;0.3456784998236026;;0.13763863567897844;590;;cbow;WMD;Distance
10;12;precomputed;5;0.3456784998236026;;0.13763863567897844;590;;cbow;WMD;Distance
13;13;precomputed;3;0.3346143054531829;;0.13455528537441774;600;;cbow;WMD;Distance
11;11;precomputed;5;0.32285172226356157;;0.1245242665582353;572;;cbow;WMD;Distance
24;12;precomputed;3;0.35850671749361207;;0.12370696155734946;541;;cbow;WMD;Distance
24;11;precomputed;3;0.35850671749361207;;0.12370696155734946;541;;cbow;WMD;Distance
24;10;precomputed;5;0.3402807245917284;;0.12282891000439371;588;;cbow;WMD;Distance
20;13;precomputed;5;0.32207291388199794;;0.11990441777476331;683;;cbow;WMD;Distance
20;11;precomputed;6;0.32191686198612585;;0.11980892317028699;671;;cbow;WMD;Distance
20;12;precomputed;6;0.32191686198612585;;0.11980892317028699;671;;cbow;WMD;Distance
12;13;precomputed;3;0.34497852543424706;;0.11939167059626359;584;;cbow;WMD;Distance
12;14;precomputed;3;0.34497852543424706;;0.11939167059626359;584;;cbow;WMD;Distance
21;12;precomputed;4;0.331728336496335;;0.11746264863429659;658;;cbow;WMD;Distance
21;13;precomputed;4;0.331728336496335;;0.11746264863429659;658;;cbow;WMD;Distance
21;14;precomputed;4;0.331728336496335;;0.11746264863429659;658;;cbow;WMD;Distance
9;10;precomputed;5;0.3217294143996046;;0.1169191980712425;607;;cbow;WMD;Distance
19;12;precomputed;4;0.33327252719949724;;0.11549544207335664;654;;cbow;WMD;Distance
19;11;precomputed;5;0.3173162740983099;;0.11486915508905103;690;;cbow;WMD;Distance
19;10;precomputed;6;0.31528277947018185;;0.11478767097121079;680;;cbow;WMD;Distance
19;13;precomputed;3;0.35521254642939687;;0.11475596047893834;529;;cbow;WMD;Distance
19;14;precomputed;3;0.35521254642939687;;0.11475596047893834;529;;cbow;WMD;Distance
24;13;precomputed;4;0.2836709833273507;;0.11387497011345547;1018;;cbow;WMD;Distance
24;14;precomputed;4;0.2836709833273507;;0.11387497011345547;1018;;cbow;WMD;Distance
33;13;precomputed;3;0.3552909538560529;;0.11324731880248383;547;;cbow;WMD;Distance
25;12;precomputed;4;0.3032262597237872;;0.10895093358911274;813;;cbow;WMD;Distance
25;13;precomputed;4;0.3032262597237872;;0.10895093358911274;813;;cbow;WMD;Distance
33;11;precomputed;4;0.3427615977975824;;0.10832904123221061;600;;cbow;WMD;Distance
10;10;precomputed;6;0.3405173646490147;;0.10820382029455942;580;;cbow;WMD;Distance
13;14;precomputed;3;0.28413726698387975;;0.10681520384586718;924;;cbow;WMD;Distance
22;14;precomputed;4;0.321088268748709;;0.1035716588959705;670;;cbow;WMD;Distance
42;11;precomputed;4;0.3389628412849452;;0.10297253865528637;629;;cbow;WMD;Distance
17;14;precomputed;3;0.35223418208119;;0.10265639983352273;538;;cbow;WMD;Distance
11;10;precomputed;3;0.4267464893811806;;0.1024971061238685;226;;cbow;WMD;Distance
4;12;precomputed;3;0.32525389036965524;;0.10135395300766428;588;;cbow;WMD;Distance
46;11;precomputed;3;0.36081164041046637;;0.10088032279810474;559;;cbow;WMD;Distance
46;10;precomputed;4;0.3348653963562559;;0.10049492401019477;601;;cbow;WMD;Distance
