voisinage;min_cluster_size;distance;K;silhouette;Cal-Harabasz;DBCV;non_classes;perplexity;wordEmbedding;docEmbedding;docEmbedding2
2;150;precomputed;1;;;0.0;9501;;glove;WMD;Distance
35;400;precomputed;1;;;0.0;9501;;glove;WMD;Distance
36;950;precomputed;1;;;0.0;9501;;glove;WMD;Distance
36;500;precomputed;1;;;0.0;9501;;glove;WMD;Distance
36;450;precomputed;1;;;0.0;9501;;glove;WMD;Distance
36;400;precomputed;1;;;0.0;9501;;glove;WMD;Distance
36;350;precomputed;1;;;0.0;9501;;glove;WMD;Distance
36;300;precomputed;1;;;0.0;9501;;glove;WMD;Distance
36;250;precomputed;1;;;0.0;9501;;glove;WMD;Distance
36;200;precomputed;1;;;0.0;9501;;glove;WMD;Distance
36;150;precomputed;1;;;0.0;9501;;glove;WMD;Distance
36;100;precomputed;1;;;0.0;9501;;glove;WMD;Distance
35;950;precomputed;1;;;0.0;9501;;glove;WMD;Distance
35;500;precomputed;1;;;0.0;9501;;glove;WMD;Distance
35;450;precomputed;1;;;0.0;9501;;glove;WMD;Distance
35;350;precomputed;1;;;0.0;9501;;glove;WMD;Distance
37;150;precomputed;1;;;0.0;9501;;glove;WMD;Distance
35;300;precomputed;1;;;0.0;9501;;glove;WMD;Distance
35;250;precomputed;1;;;0.0;9501;;glove;WMD;Distance
35;200;precomputed;1;;;0.0;9501;;glove;WMD;Distance
35;150;precomputed;1;;;0.0;9501;;glove;WMD;Distance
35;100;precomputed;1;;;0.0;9501;;glove;WMD;Distance
34;950;precomputed;1;;;0.0;9501;;glove;WMD;Distance
34;500;precomputed;1;;;0.0;9501;;glove;WMD;Distance
34;450;precomputed;1;;;0.0;9501;;glove;WMD;Distance
34;400;precomputed;1;;;0.0;9501;;glove;WMD;Distance
34;350;precomputed;1;;;0.0;9501;;glove;WMD;Distance
34;300;precomputed;1;;;0.0;9501;;glove;WMD;Distance
34;250;precomputed;1;;;0.0;9501;;glove;WMD;Distance
34;200;precomputed;1;;;0.0;9501;;glove;WMD;Distance
37;100;precomputed;1;;;0.0;9501;;glove;WMD;Distance
37;200;precomputed;1;;;0.0;9501;;glove;WMD;Distance
34;100;precomputed;1;;;0.0;9501;;glove;WMD;Distance
38;500;precomputed;1;;;0.0;9501;;glove;WMD;Distance
40;150;precomputed;1;;;0.0;9501;;glove;WMD;Distance
40;100;precomputed;1;;;0.0;9501;;glove;WMD;Distance
39;950;precomputed;1;;;0.0;9501;;glove;WMD;Distance
39;500;precomputed;1;;;0.0;9501;;glove;WMD;Distance
39;450;precomputed;1;;;0.0;9501;;glove;WMD;Distance
39;400;precomputed;1;;;0.0;9501;;glove;WMD;Distance
39;350;precomputed;1;;;0.0;9501;;glove;WMD;Distance
39;300;precomputed;1;;;0.0;9501;;glove;WMD;Distance
39;250;precomputed;1;;;0.0;9501;;glove;WMD;Distance
39;200;precomputed;1;;;0.0;9501;;glove;WMD;Distance
39;150;precomputed;1;;;0.0;9501;;glove;WMD;Distance
39;100;precomputed;1;;;0.0;9501;;glove;WMD;Distance
38;950;precomputed;1;;;0.0;9501;;glove;WMD;Distance
38;450;precomputed;1;;;0.0;9501;;glove;WMD;Distance
37;250;precomputed;1;;;0.0;9501;;glove;WMD;Distance
38;400;precomputed;1;;;0.0;9501;;glove;WMD;Distance
38;350;precomputed;1;;;0.0;9501;;glove;WMD;Distance
38;300;precomputed;1;;;0.0;9501;;glove;WMD;Distance
38;250;precomputed;1;;;0.0;9501;;glove;WMD;Distance
38;200;precomputed;1;;;0.0;9501;;glove;WMD;Distance
38;150;precomputed;1;;;0.0;9501;;glove;WMD;Distance
38;100;precomputed;1;;;0.0;9501;;glove;WMD;Distance
37;950;precomputed;1;;;0.0;9501;;glove;WMD;Distance
