voisinage;min_cluster_size;distance;K;silhouette;Cal-Harabasz;DBCV;non_classes;perplexity;wordEmbedding;docEmbedding;docEmbedding2
19;10;euclidean;3;0.5864633744235321;741.0275964068528;0.14260370398077846;308;;skipgram;Moyenne;TFIDF
16;10;euclidean;3;0.583218285833618;744.5906808351561;0.11213051898490436;310;;skipgram;Moyenne;TFIDF
16;11;euclidean;3;0.583218285833618;744.5906808351561;0.11213051898490436;310;;skipgram;Moyenne;TFIDF
17;10;euclidean;3;0.5869877343406931;751.1791335211977;0.06956461759902771;296;;skipgram;Moyenne;TFIDF
17;11;euclidean;3;0.5869877343406931;751.1791335211977;0.06956461759902771;296;;skipgram;Moyenne;TFIDF
17;12;euclidean;3;0.5869877343406931;751.1791335211977;0.06956461759902771;296;;skipgram;Moyenne;TFIDF
17;13;euclidean;3;0.5869877343406931;751.1791335211977;0.06956461759902771;296;;skipgram;Moyenne;TFIDF
18;11;euclidean;3;0.5890403982168978;757.2050075506181;0.06798815397623395;297;;skipgram;Moyenne;TFIDF
18;13;euclidean;3;0.5890403982168978;757.2050075506181;0.06798815397623395;297;;skipgram;Moyenne;TFIDF
18;12;euclidean;3;0.5890403982168978;757.2050075506181;0.06798815397623395;297;;skipgram;Moyenne;TFIDF
18;10;euclidean;3;0.5890403982168978;757.2050075506181;0.06798815397623395;297;;skipgram;Moyenne;TFIDF
35;10;euclidean;3;-0.34379846743657333;6.363188449101466;0.0009508213848536615;9466;;skipgram;Moyenne;TFIDF
37;11;euclidean;1;;;0.0;9501;;skipgram;Moyenne;TFIDF
36;100;euclidean;1;;;0.0;9501;;skipgram;Moyenne;TFIDF
36;150;euclidean;1;;;0.0;9501;;skipgram;Moyenne;TFIDF
37;12;euclidean;1;;;0.0;9501;;skipgram;Moyenne;TFIDF
36;200;euclidean;1;;;0.0;9501;;skipgram;Moyenne;TFIDF
37;10;euclidean;1;;;0.0;9501;;skipgram;Moyenne;TFIDF
36;950;euclidean;1;;;0.0;9501;;skipgram;Moyenne;TFIDF
36;250;euclidean;1;;;0.0;9501;;skipgram;Moyenne;TFIDF
36;300;euclidean;1;;;0.0;9501;;skipgram;Moyenne;TFIDF
36;350;euclidean;1;;;0.0;9501;;skipgram;Moyenne;TFIDF
36;13;euclidean;1;;;0.0;9501;;skipgram;Moyenne;TFIDF
36;400;euclidean;1;;;0.0;9501;;skipgram;Moyenne;TFIDF
36;450;euclidean;1;;;0.0;9501;;skipgram;Moyenne;TFIDF
36;500;euclidean;1;;;0.0;9501;;skipgram;Moyenne;TFIDF
36;14;euclidean;1;;;0.0;9501;;skipgram;Moyenne;TFIDF
36;11;euclidean;1;;;0.0;9501;;skipgram;Moyenne;TFIDF
36;12;euclidean;1;;;0.0;9501;;skipgram;Moyenne;TFIDF
37;14;euclidean;1;;;0.0;9501;;skipgram;Moyenne;TFIDF
34;300;euclidean;1;;;0.0;9501;;skipgram;Moyenne;TFIDF
34;350;euclidean;1;;;0.0;9501;;skipgram;Moyenne;TFIDF
34;400;euclidean;1;;;0.0;9501;;skipgram;Moyenne;TFIDF
34;450;euclidean;1;;;0.0;9501;;skipgram;Moyenne;TFIDF
34;500;euclidean;1;;;0.0;9501;;skipgram;Moyenne;TFIDF
34;950;euclidean;1;;;0.0;9501;;skipgram;Moyenne;TFIDF
35;11;euclidean;1;;;0.0;9501;;skipgram;Moyenne;TFIDF
35;12;euclidean;1;;;0.0;9501;;skipgram;Moyenne;TFIDF
35;13;euclidean;1;;;0.0;9501;;skipgram;Moyenne;TFIDF
35;14;euclidean;1;;;0.0;9501;;skipgram;Moyenne;TFIDF
35;100;euclidean;1;;;0.0;9501;;skipgram;Moyenne;TFIDF
35;150;euclidean;1;;;0.0;9501;;skipgram;Moyenne;TFIDF
35;200;euclidean;1;;;0.0;9501;;skipgram;Moyenne;TFIDF
35;250;euclidean;1;;;0.0;9501;;skipgram;Moyenne;TFIDF
35;300;euclidean;1;;;0.0;9501;;skipgram;Moyenne;TFIDF
35;350;euclidean;1;;;0.0;9501;;skipgram;Moyenne;TFIDF
35;400;euclidean;1;;;0.0;9501;;skipgram;Moyenne;TFIDF
35;450;euclidean;1;;;0.0;9501;;skipgram;Moyenne;TFIDF
35;500;euclidean;1;;;0.0;9501;;skipgram;Moyenne;TFIDF
35;950;euclidean;1;;;0.0;9501;;skipgram;Moyenne;TFIDF
36;10;euclidean;1;;;0.0;9501;;skipgram;Moyenne;TFIDF
37;13;euclidean;1;;;0.0;9501;;skipgram;Moyenne;TFIDF
27;200;euclidean;1;;;0.0;9501;;skipgram;Moyenne;TFIDF
