voisinage;min_cluster_size;distance;K;silhouette;Cal-Harabasz;DBCV;non_classes;perplexity;wordEmbedding;docEmbedding;docEmbedding2
43;11;precomputed;3;0.3186353769962112;;0.4076414902370202;378;;skipgram;WMD;Distance
43;10;precomputed;3;0.3186353769962112;;0.4076414902370202;378;;skipgram;WMD;Distance
43;12;precomputed;3;0.3186353769962112;;0.4076414902370202;378;;skipgram;WMD;Distance
38;12;precomputed;3;0.2608581420590334;;0.3343138914046587;450;;skipgram;WMD;Distance
38;13;precomputed;3;0.2608581420590334;;0.3343138914046587;450;;skipgram;WMD;Distance
100;12;precomputed;3;0.31070036273064977;;0.3213971521435602;441;;skipgram;WMD;Distance
100;13;precomputed;3;0.31070036273064977;;0.3213971521435602;441;;skipgram;WMD;Distance
100;11;precomputed;3;0.31070036273064977;;0.3213971521435602;441;;skipgram;WMD;Distance
31;10;precomputed;3;0.21915222810787066;;0.3023268922388832;429;;skipgram;WMD;Distance
31;11;precomputed;3;0.21915222810787066;;0.3023268922388832;429;;skipgram;WMD;Distance
38;11;precomputed;4;0.25192336838326107;;0.3011628083209804;491;;skipgram;WMD;Distance
40;12;precomputed;3;0.2966299213942696;;0.30012994443034874;382;;skipgram;WMD;Distance
40;11;precomputed;3;0.2966299213942696;;0.30012994443034874;382;;skipgram;WMD;Distance
40;13;precomputed;3;0.2966299213942696;;0.30012994443034874;382;;skipgram;WMD;Distance
40;14;precomputed;3;0.2966299213942696;;0.30012994443034874;382;;skipgram;WMD;Distance
40;10;precomputed;4;0.25935687004761815;;0.2993645503491587;393;;skipgram;WMD;Distance
33;10;precomputed;3;0.25865754462587104;;0.29477212185623186;377;;skipgram;WMD;Distance
12;10;precomputed;4;0.20943147530957668;;0.28427148083840686;352;;skipgram;WMD;Distance
100;10;precomputed;4;0.2857163103979366;;0.2828937483679127;431;;skipgram;WMD;Distance
38;10;precomputed;7;0.18734936004465735;;0.27849572339640405;481;;skipgram;WMD;Distance
4;11;precomputed;3;0.2505558901641252;;0.2715333137926755;281;;skipgram;WMD;Distance
4;10;precomputed;3;0.2505558901641252;;0.2715333137926755;281;;skipgram;WMD;Distance
49;11;precomputed;4;0.27715335284224324;;0.26721072833302634;351;;skipgram;WMD;Distance
49;10;precomputed;4;0.27715335284224324;;0.26721072833302634;351;;skipgram;WMD;Distance
41;14;precomputed;3;0.2278744512804877;;0.2671280621587827;454;;skipgram;WMD;Distance
41;11;precomputed;3;0.2278744512804877;;0.2671280621587827;454;;skipgram;WMD;Distance
41;13;precomputed;3;0.2278744512804877;;0.2671280621587827;454;;skipgram;WMD;Distance
41;12;precomputed;3;0.2278744512804877;;0.2671280621587827;454;;skipgram;WMD;Distance
41;10;precomputed;4;0.2129405865873962;;0.26650147365803006;463;;skipgram;WMD;Distance
48;12;precomputed;3;0.30483959044891035;;0.26562470218349876;350;;skipgram;WMD;Distance
48;10;precomputed;3;0.30483959044891035;;0.26562470218349876;350;;skipgram;WMD;Distance
48;11;precomputed;3;0.30483959044891035;;0.26562470218349876;350;;skipgram;WMD;Distance
48;14;precomputed;3;0.30483959044891035;;0.26562470218349876;350;;skipgram;WMD;Distance
48;13;precomputed;3;0.30483959044891035;;0.26562470218349876;350;;skipgram;WMD;Distance
42;11;precomputed;3;0.2642703504786894;;0.26252340467882307;461;;skipgram;WMD;Distance
42;10;precomputed;3;0.2642703504786894;;0.26252340467882307;461;;skipgram;WMD;Distance
9;10;precomputed;3;0.23725359142919747;;0.25955806858230596;286;;skipgram;WMD;Distance
9;11;precomputed;3;0.23725359142919747;;0.25955806858230596;286;;skipgram;WMD;Distance
22;11;precomputed;3;0.1883579457506429;;0.2554165322842148;490;;skipgram;WMD;Distance
22;13;precomputed;3;0.1883579457506429;;0.2554165322842148;490;;skipgram;WMD;Distance
22;12;precomputed;3;0.1883579457506429;;0.2554165322842148;490;;skipgram;WMD;Distance
23;12;precomputed;3;0.2139397482795144;;0.25512394673412037;500;;skipgram;WMD;Distance
23;13;precomputed;3;0.2139397482795144;;0.25512394673412037;500;;skipgram;WMD;Distance
7;12;precomputed;3;0.17519080179175472;;0.25416324821866;445;;skipgram;WMD;Distance
7;13;precomputed;3;0.17519080179175472;;0.25416324821866;445;;skipgram;WMD;Distance
10;12;precomputed;3;0.21731978387793954;;0.25369070357166223;553;;skipgram;WMD;Distance
10;11;precomputed;4;0.1985751522754504;;0.2526045952078435;575;;skipgram;WMD;Distance
27;11;precomputed;3;0.278150841388212;;0.2521458866570001;412;;skipgram;WMD;Distance
27;10;precomputed;3;0.278150841388212;;0.2521458866570001;412;;skipgram;WMD;Distance
