voisinage;min_cluster_size;distance;K;silhouette;Cal-Harabasz;DBCV;non_classes;perplexity;wordEmbedding;docEmbedding;docEmbedding2
4;12;euclidean;3;0.07123100426682473;183.43406515642184;0.07916034403291271;4093;;skipgram;WMD;MDS
4;13;euclidean;3;0.07123100426682473;183.43406515642184;0.07916034403291271;4093;;skipgram;WMD;MDS
4;14;euclidean;3;0.07123100426682473;183.43406515642184;0.07916034403291271;4093;;skipgram;WMD;MDS
4;11;euclidean;3;0.07123100426682473;183.43406515642184;0.07916034403291271;4093;;skipgram;WMD;MDS
3;14;euclidean;3;0.07835787870927999;188.9446980325755;0.05066975220863819;3919;;skipgram;WMD;MDS
3;13;euclidean;3;0.07835787870927999;188.9446980325755;0.05066975220863819;3919;;skipgram;WMD;MDS
12;10;euclidean;3;-0.05504480341303461;198.91914135838522;0.04377851052270961;6712;;skipgram;WMD;MDS
8;13;euclidean;3;-0.05114541077890378;211.68814249438114;0.03257851660511638;6647;;skipgram;WMD;MDS
8;11;euclidean;3;-0.05114541077890378;211.68814249438114;0.03257851660511638;6647;;skipgram;WMD;MDS
8;12;euclidean;3;-0.05114541077890378;211.68814249438114;0.03257851660511638;6647;;skipgram;WMD;MDS
8;10;euclidean;3;-0.05114541077890378;211.68814249438114;0.03257851660511638;6647;;skipgram;WMD;MDS
8;14;euclidean;3;-0.05114541077890378;211.68814249438114;0.03257851660511638;6647;;skipgram;WMD;MDS
17;14;euclidean;3;-0.032665819337011126;225.74643060294963;0.031958697383877084;6256;;skipgram;WMD;MDS
17;13;euclidean;3;-0.032665819337011126;225.74643060294963;0.031958697383877084;6256;;skipgram;WMD;MDS
17;12;euclidean;3;-0.032665819337011126;225.74643060294963;0.031958697383877084;6256;;skipgram;WMD;MDS
17;11;euclidean;3;-0.032665819337011126;225.74643060294963;0.031958697383877084;6256;;skipgram;WMD;MDS
17;10;euclidean;3;-0.032665819337011126;225.74643060294963;0.031958697383877084;6256;;skipgram;WMD;MDS
9;13;euclidean;3;-0.04876755275841839;208.25730557062525;0.0199125535770055;6556;;skipgram;WMD;MDS
9;12;euclidean;3;-0.04876755275841839;208.25730557062525;0.0199125535770055;6556;;skipgram;WMD;MDS
9;14;euclidean;3;-0.04876755275841839;208.25730557062525;0.0199125535770055;6556;;skipgram;WMD;MDS
9;11;euclidean;3;-0.04876755275841839;208.25730557062525;0.0199125535770055;6556;;skipgram;WMD;MDS
9;10;euclidean;3;-0.04876755275841839;208.25730557062525;0.0199125535770055;6556;;skipgram;WMD;MDS
15;13;euclidean;3;-0.02535103171292587;238.6024235245881;0.019335560123786753;6152;;skipgram;WMD;MDS
15;12;euclidean;3;-0.02535103171292587;238.6024235245881;0.019335560123786753;6152;;skipgram;WMD;MDS
15;11;euclidean;3;-0.02535103171292587;238.6024235245881;0.019335560123786753;6152;;skipgram;WMD;MDS
15;10;euclidean;3;-0.02535103171292587;238.6024235245881;0.019335560123786753;6152;;skipgram;WMD;MDS
15;14;euclidean;3;-0.02535103171292587;238.6024235245881;0.019335560123786753;6152;;skipgram;WMD;MDS
13;11;euclidean;3;-0.01847947207601555;252.81724343678422;0.0043109927008171955;6037;;skipgram;WMD;MDS
13;13;euclidean;3;-0.01847947207601555;252.81724343678422;0.0043109927008171955;6037;;skipgram;WMD;MDS
13;14;euclidean;3;-0.01847947207601555;252.81724343678422;0.0043109927008171955;6037;;skipgram;WMD;MDS
13;10;euclidean;3;-0.01847947207601555;252.81724343678422;0.0043109927008171955;6037;;skipgram;WMD;MDS
13;12;euclidean;3;-0.01847947207601555;252.81724343678422;0.0043109927008171955;6037;;skipgram;WMD;MDS
14;10;euclidean;3;-0.02223649843093952;243.96991208592124;0.0042966691579068;6090;;skipgram;WMD;MDS
14;14;euclidean;3;-0.02223649843093952;243.96991208592124;0.0042966691579068;6090;;skipgram;WMD;MDS
14;13;euclidean;3;-0.02223649843093952;243.96991208592124;0.0042966691579068;6090;;skipgram;WMD;MDS
14;12;euclidean;3;-0.02223649843093952;243.96991208592124;0.0042966691579068;6090;;skipgram;WMD;MDS
14;11;euclidean;3;-0.02223649843093952;243.96991208592124;0.0042966691579068;6090;;skipgram;WMD;MDS
5;14;euclidean;3;-0.05012790421416323;208.12408394009069;0.0017167266180938773;6626;;skipgram;WMD;MDS
11;10;euclidean;3;-0.05268624437288794;197.3707708319731;0.00010270838079160802;6662;;skipgram;WMD;MDS
36;400;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
40;100;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
40;14;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
40;13;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
40;12;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
40;11;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
36;350;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
39;250;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
36;450;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
36;500;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
36;250;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
36;950;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
37;10;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
37;11;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
37;12;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
37;13;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
37;14;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
36;300;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
36;14;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
36;200;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
40;300;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
35;300;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
35;350;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
35;400;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
35;450;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
35;500;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
35;950;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
36;10;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
40;250;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
36;150;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
40;200;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
40;150;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
36;11;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
36;12;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
36;13;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
37;150;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
36;100;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
37;100;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
37;300;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
37;200;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
39;10;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
38;250;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
38;300;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
38;350;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
38;400;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
38;450;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
38;500;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
38;950;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
39;11;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
39;450;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
39;12;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
39;13;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
39;14;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
39;100;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
39;150;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
39;200;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
39;350;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
39;400;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
35;200;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
37;250;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
38;10;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
40;10;euclidean;1;;;0.0;9501;;skipgram;WMD;MDS
