K;initialisation;nb_iter;tolerance;val_obj;silhouette;Cal-Harabasz;DBCV;clustering;perplexity;wordEmbedding;docEmbedding;docEmbedding2
3;random;10;0.0001;742.5757827149375;0.42994944944905467;12943.350836863126;-0.8323618545307705;kmeans;;cbow;Moyenne;TF
3;k-means++;10;0.0001;742.5813758301334;0.42994047760082;12943.318245501761;-0.8323695984978012;kmeans;;cbow;Moyenne;TF
2;k-means++;10;0.0001;1182.366327023546;0.48211814303518163;12726.420901567535;-0.790910615367947;kmeans;;cbow;Moyenne;TF
2;random;10;0.0001;1182.366327023546;0.48211814303518163;12726.420901567535;-0.790910615367947;kmeans;;cbow;Moyenne;TF
4;k-means++;10;0.0001;556.7108456623212;0.39579092084398393;12565.446718035342;-0.8148917079231184;kmeans;;cbow;Moyenne;TF
4;random;10;0.0001;556.7957773789469;0.39591883550308654;12563.525680852552;-0.8191317885489497;kmeans;;cbow;Moyenne;TF
5;k-means++;10;0.0001;447.6317504061393;0.37794017111419204;12297.873430869005;-0.7907669801525083;kmeans;;cbow;Moyenne;TF
5;random;10;0.0001;447.6317504061394;0.37794017111419204;12297.873430869005;-0.7907669801525083;kmeans;;cbow;Moyenne;TF
6;random;10;0.0001;370.67168509531047;0.3662439500037308;12273.973820301078;-0.730026176227534;kmeans;;cbow;Moyenne;TF
6;k-means++;10;0.0001;370.8814178122134;0.3690344676625517;12266.065256801885;-0.7453727781090234;kmeans;;cbow;Moyenne;TF
7;random;10;0.0001;320.4699021452705;0.34396319829078176;12077.225090993485;-0.7684632304095305;kmeans;;cbow;Moyenne;TF
7;k-means++;10;0.0001;320.48318218751666;0.3442764094497264;12076.681612824286;-0.7669768625144735;kmeans;;cbow;Moyenne;TF
8;random;10;0.0001;283.47072930886105;0.3543197974427607;11878.840003583065;-0.7169148930371849;kmeans;;cbow;Moyenne;TF
8;k-means++;10;0.0001;283.48942174703365;0.35421502064217175;11877.969784123236;-0.6967406079299225;kmeans;;cbow;Moyenne;TF
9;k-means++;10;0.0001;254.85191739753586;0.3321133826369388;11693.204555981003;-0.6932601361218705;kmeans;;cbow;Moyenne;TF
9;random;10;0.0001;254.85851845428687;0.3318624697760515;11693.009575695913;-0.6915502774564171;kmeans;;cbow;Moyenne;TF
10;random;10;0.0001;233.93011705094014;0.3132433089222788;11416.800240119403;-0.7213458468784383;kmeans;;cbow;Moyenne;TF
10;k-means++;10;0.0001;233.9919850537931;0.3156741743873908;11413.485771428584;-0.7180003201295599;kmeans;;cbow;Moyenne;TF
11;random;10;0.0001;215.7116347808102;0.321549541856338;11221.783650297182;-0.6714893165356877;kmeans;;cbow;Moyenne;TF
11;k-means++;10;0.0001;215.79393819726263;0.3230072156056195;11217.074654778879;-0.6491854588718728;kmeans;;cbow;Moyenne;TF
12;k-means++;10;0.0001;201.4712683080667;0.30348922672711837;10982.448906641457;-0.6917341322860868;kmeans;;cbow;Moyenne;TF
12;random;10;0.0001;201.49445221310435;0.3043871059581173;10981.18494922909;-0.6245269447711085;kmeans;;cbow;Moyenne;TF
13;k-means++;10;0.0001;190.7029935761043;0.30467786824036713;10679.664133906883;-0.6532045621349918;kmeans;;cbow;Moyenne;TF
13;random;10;0.0001;190.89640753013526;0.3040397752684913;10667.664504155659;-0.6524291231860985;kmeans;;cbow;Moyenne;TF
14;k-means++;10;0.0001;180.98192019152555;0.2858113420847308;10425.482132425414;-0.645092404050447;kmeans;;cbow;Moyenne;TF
14;random;10;0.0001;181.42352948358516;0.30692553419457375;10398.405197530052;-0.6184942900620148;kmeans;;cbow;Moyenne;TF
14;random;10;0.0001;1488348.875;0.38367998679009924;13234.279754944106;-0.6314193280251844;kmeans;50;cbow;Moyenne;TF
14;k-means++;10;0.0001;1488493.125;0.38359015681790615;13233.109794467695;-0.6378392274624124;kmeans;50;cbow;Moyenne;TF
13;k-means++;10;0.0001;1633419.625;0.38302836287581915;12995.413459123596;-0.6575399647461501;kmeans;50;cbow;Moyenne;TF
13;random;10;0.0001;1639609.75;0.387127205432934;12943.021751690265;-0.6297911622783727;kmeans;50;cbow;Moyenne;TF
12;k-means++;10;0.0001;1793339.0;0.3926205126044186;12836.711212034144;-0.6184402019742253;kmeans;50;cbow;Moyenne;TF
12;random;10;0.0001;1799513.5;0.3932460949087618;12789.880252060477;-0.6152644607887006;kmeans;50;cbow;Moyenne;TF
11;k-means++;10;0.0001;1991213.75;0.3910109885687128;12624.210108925436;-0.6224868295896496;kmeans;50;cbow;Moyenne;TF
11;random;10;0.0001;1994132.0;0.3841295265194636;12604.688281041652;-0.6290894755643835;kmeans;50;cbow;Moyenne;TF
10;random;10;0.0001;2240608.0;0.37712266502781466;12349.398487661965;-0.6669165312330023;kmeans;50;cbow;Moyenne;TF
10;k-means++;10;0.0001;2240727.75;0.37711822960741576;12348.881594183453;-0.6874878683290279;kmeans;50;cbow;Moyenne;TF
8;k-means++;10;0.0001;2827748.0;0.4021194856151248;12302.19889971978;-0.6061926534270236;kmeans;50;cbow;Moyenne;TF
8;random;10;0.0001;2830148.0;0.40243703473178943;12290.602695843869;-0.6503584825329539;kmeans;50;cbow;Moyenne;TF
9;k-means++;10;0.0001;2509041.25;0.381227105112217;12281.042062440492;-0.6400684996296998;kmeans;50;cbow;Moyenne;TF
6;k-means++;10;0.0001;3815129.25;0.4028578216061564;12276.984178333034;-0.7558398662397731;kmeans;50;cbow;Moyenne;TF
6;random;10;0.0001;3818716.0;0.40471535546282233;12263.594190827696;-0.6629057601991263;kmeans;50;cbow;Moyenne;TF
9;random;10;0.0001;2521782.0;0.3857128760939463;12213.498569791449;-0.5915710570081165;kmeans;50;cbow;Moyenne;TF
7;random;10;0.0001;3284835.75;0.3851017300253357;12136.515798615032;-0.6060603889000286;kmeans;50;cbow;Moyenne;TF
7;k-means++;10;0.0001;3286113.75;0.3851137103980164;12131.34567952767;-0.6431648798659229;kmeans;50;cbow;Moyenne;TF
