K;initialisation;nb_iter;tolerance;val_obj;silhouette;Cal-Harabasz;DBCV;clustering;perplexity;wordEmbedding;docEmbedding;docEmbedding2
4;k-means++;10;0.0001;502.64578038000485;0.4286545822743366;15454.151975005745;-0.7840464745483493;kmeans;;cbow;Moyenne;TFIDF
3;k-means++;10;0.0001;694.9967567984827;0.46790471577386505;15452.825198540104;-0.7869134196097523;kmeans;;cbow;Moyenne;TFIDF
3;random;10;0.0001;694.9967567984827;0.46790471577386505;15452.825198540104;-0.7869134196097523;kmeans;;cbow;Moyenne;TFIDF
4;random;10;0.0001;502.6981718137425;0.42611083055885673;15452.652816431271;-0.8009071580157304;kmeans;;cbow;Moyenne;TFIDF
5;random;10;0.0001;396.2328290329459;0.40515426409275374;15339.302798927378;-0.7531915820258449;kmeans;;cbow;Moyenne;TFIDF
5;k-means++;10;0.0001;396.2680909245631;0.4056811819106437;15337.873935903874;-0.74963679462092;kmeans;;cbow;Moyenne;TFIDF
7;random;10;0.0001;282.30754699902474;0.3772452277685569;14989.077860447926;-0.7367752217437269;kmeans;;cbow;Moyenne;TFIDF
7;k-means++;10;0.0001;282.31864037985486;0.3774686062351811;14988.176068813978;-0.7367905304764945;kmeans;;cbow;Moyenne;TFIDF
6;k-means++;10;0.0001;333.82662620599797;0.39783144802937903;14919.131452249236;-0.7738729140182183;kmeans;;cbow;Moyenne;TFIDF
6;random;10;0.0001;333.829649447472;0.3978383630587944;14919.102588560754;-0.7738733155779935;kmeans;;cbow;Moyenne;TFIDF
8;random;10;0.0001;251.30050923876135;0.34873303643767883;14598.575416950056;-0.7766877791547813;kmeans;;cbow;Moyenne;TFIDF
8;k-means++;10;0.0001;251.5105368197531;0.3520511683276634;14585.394074129692;-0.733176899313447;kmeans;;cbow;Moyenne;TFIDF
9;k-means++;10;0.0001;223.0930349558953;0.3569020410201631;14537.137792953876;-0.7229282098599612;kmeans;;cbow;Moyenne;TFIDF
9;random;10;0.0001;223.09749744664146;0.35769876599507555;14536.914843864248;-0.7222932690576593;kmeans;;cbow;Moyenne;TFIDF
10;random;10;0.0001;202.7964866997958;0.3367907405035579;14319.570284843345;-0.6968546095994755;kmeans;;cbow;Moyenne;TFIDF
10;k-means++;10;0.0001;202.86095556410103;0.33569882023388914;14314.515821465575;-0.7263899518463311;kmeans;;cbow;Moyenne;TFIDF
2;k-means++;10;0.0001;1183.08024777675;0.5186946901416112;14238.48190067008;-0.789882357422433;kmeans;;cbow;Moyenne;TFIDF
2;random;10;0.0001;1183.0813003374237;0.5187359180188705;14238.411443172809;-0.7898481966412496;kmeans;;cbow;Moyenne;TFIDF
11;k-means++;10;0.0001;186.57761009523543;0.3255029728201209;14088.550481981394;-0.6615499727413334;kmeans;;cbow;Moyenne;TFIDF
11;random;10;0.0001;186.62937068649848;0.3264559578793131;14084.360060154477;-0.6612916001076554;kmeans;;cbow;Moyenne;TFIDF
12;k-means++;10;0.0001;172.68336419381635;0.33180273686660333;13906.200372862984;-0.6431712209440915;kmeans;;cbow;Moyenne;TFIDF
12;random;10;0.0001;172.6968588613161;0.33152580172336377;13905.350638441321;-0.6365148962089259;kmeans;;cbow;Moyenne;TFIDF
13;k-means++;10;0.0001;162.35555573958035;0.31046096119558625;13607.197299254463;-0.6546559295239429;kmeans;;cbow;Moyenne;TFIDF
13;random;10;0.0001;162.36857331258835;0.31019261481117544;13606.021622171267;-0.6544146849699968;kmeans;;cbow;Moyenne;TFIDF
14;k-means++;10;0.0001;154.6748212167723;0.313912531963288;13219.04531795435;-0.6489880309481382;kmeans;;cbow;Moyenne;TFIDF
14;random;10;0.0001;154.68006223964403;0.3107248831689312;13218.84859858873;-0.6659581972631092;kmeans;;cbow;Moyenne;TFIDF
14;k-means++;10;0.0001;1434157.875;0.4018801189512645;15374.535740266534;-0.5517954308659062;kmeans;50;cbow;Moyenne;TFIDF
14;random;10;0.0001;1434696.625;0.400391172549846;15368.325168282472;-0.5891805882593851;kmeans;50;cbow;Moyenne;TFIDF
12;k-means++;10;0.0001;1686802.875;0.3998172325377916;15322.002094616008;-0.6087124419965588;kmeans;50;cbow;Moyenne;TFIDF
13;random;10;0.0001;1554934.875;0.3912196013461762;15302.52348950918;-0.5668553231066817;kmeans;50;cbow;Moyenne;TFIDF
12;random;10;0.0001;1691126.875;0.3979241960110153;15281.34638682031;-0.6143325628294971;kmeans;50;cbow;Moyenne;TFIDF
13;k-means++;10;0.0001;1560703.75;0.40475285207443273;15242.846390864624;-0.6149753092552641;kmeans;50;cbow;Moyenne;TFIDF
11;random;10;0.0001;1864005.0;0.4068693248478554;15163.858701811836;-0.6165798965571438;kmeans;50;cbow;Moyenne;TFIDF
11;k-means++;10;0.0001;1867200.25;0.4050602198154355;15136.33150797422;-0.5761461875521621;kmeans;50;cbow;Moyenne;TFIDF
10;k-means++;10;0.0001;2095695.375;0.4150685910796186;14870.823612882947;-0.6087448380534061;kmeans;50;cbow;Moyenne;TFIDF
10;random;10;0.0001;2095716.125;0.41507028671544544;14870.492255510911;-0.6028554393636897;kmeans;50;cbow;Moyenne;TFIDF
9;k-means++;10;0.0001;2349680.75;0.4003329827289707;14794.168378064438;-0.6387310853542494;kmeans;50;cbow;Moyenne;TFIDF
9;random;10;0.0001;2350985.5;0.40008546712391646;14786.125344714017;-0.6321646337280084;kmeans;50;cbow;Moyenne;TFIDF
8;k-means++;10;0.0001;2694358.0;0.4079657130434179;14573.17593195823;-0.6083863053354042;kmeans;50;cbow;Moyenne;TFIDF
8;random;10;0.0001;2704249.75;0.4071790897721355;14514.665721973712;-0.6859669034500124;kmeans;50;cbow;Moyenne;TFIDF
7;random;10;0.0001;3115472.5;0.42360446246186323;14491.435223272863;-0.6855945489416949;kmeans;50;cbow;Moyenne;TFIDF
7;k-means++;10;0.0001;3115451.0;0.4235349439560613;14491.400895698092;-0.6989212501375561;kmeans;50;cbow;Moyenne;TFIDF
6;k-means++;10;0.0001;3806373.5;0.4332659444250358;13889.902468503997;-0.6108621117860991;kmeans;50;cbow;Moyenne;TFIDF
6;random;10;0.0001;3807005.75;0.43333862925304106;13887.529997762955;-0.6595560372816269;kmeans;50;cbow;Moyenne;TFIDF
5;random;10;0.0001;4696033.5;0.45588555278577847;13624.569101390713;-0.6296215257301105;kmeans;50;cbow;Moyenne;TFIDF
5;k-means++;10;0.0001;4696238.5;0.45579047433169456;13624.011368371921;-0.625661630541009;kmeans;50;cbow;Moyenne;TFIDF
4;k-means++;10;0.0001;6641717.5;0.454273191286189;11918.4619973826;-0.6751265912077573;kmeans;50;cbow;Moyenne;TFIDF
4;random;10;0.0001;6642161.0;0.4540789142503024;11917.778749589976;-0.6883250842420293;kmeans;50;cbow;Moyenne;TFIDF
3;random;10;0.0001;10132743.0;0.4576050105102497;10083.604590037534;-0.7639518001820037;kmeans;50;cbow;Moyenne;TFIDF
3;k-means++;10;0.0001;10132741.0;0.4576050105102497;10083.604590037534;-0.7639518001820037;kmeans;50;cbow;Moyenne;TFIDF
2;k-means++;10;0.0001;18514090.0;0.4090316120198725;6738.386900065453;-0.7580963771733958;kmeans;50;cbow;Moyenne;TFIDF
2;random;10;0.0001;18514194.0;0.40902016950764586;6738.239469608967;-0.7580999400004462;kmeans;50;cbow;Moyenne;TFIDF
13;random;10;0.0001;955415.625;0.4014985766369691;17813.516269113778;-0.6243100692302451;kmeans;75;cbow;Moyenne;TFIDF
13;k-means++;10;0.0001;955726.125;0.4013275913345055;17807.337774766558;-0.5942820899040041;kmeans;75;cbow;Moyenne;TFIDF
12;k-means++;10;0.0001;1044625.1875;0.4100708602648975;17701.342911686483;-0.6016815777160138;kmeans;75;cbow;Moyenne;TFIDF
12;random;10;0.0001;1044923.875;0.4106368512933355;17696.665936744488;-0.638861784844501;kmeans;75;cbow;Moyenne;TFIDF
14;k-means++;10;0.0001;890396.0625;0.3894469225420719;17694.922479002507;-0.5992901621036518;kmeans;75;cbow;Moyenne;TFIDF
14;random;10;0.0001;892219.0;0.394491501054186;17658.561584174386;-0.5705756890017963;kmeans;75;cbow;Moyenne;TFIDF
11;k-means++;10;0.0001;1163870.375;0.4151327357275983;17381.35211241841;-0.6249741438405263;kmeans;75;cbow;Moyenne;TFIDF
11;random;10;0.0001;1165272.625;0.414301445509132;17361.532360538367;-0.6096403689402552;kmeans;75;cbow;Moyenne;TFIDF
10;k-means++;10;0.0001;1318037.25;0.4007454001444622;16931.746812309688;-0.6065579590317716;kmeans;75;cbow;Moyenne;TFIDF
10;random;10;0.0001;1319697.0;0.42151796312630835;16908.838481635306;-0.6226072934823123;kmeans;75;cbow;Moyenne;TFIDF
9;k-means++;10;0.0001;1479220.75;0.4081990037283887;16845.619051350703;-0.5764503371685127;kmeans;75;cbow;Moyenne;TFIDF
9;random;10;0.0001;1479550.125;0.4089180251363568;16840.984114550996;-0.5900075994491742;kmeans;75;cbow;Moyenne;TFIDF
8;k-means++;10;0.0001;1696932.625;0.418615994852059;16609.136635138286;-0.6604024050343795;kmeans;75;cbow;Moyenne;TFIDF
8;random;10;0.0001;1698986.625;0.42028428669807005;16588.010913850943;-0.5920817269608154;kmeans;75;cbow;Moyenne;TFIDF
7;k-means++;10;0.0001;1972154.25;0.43765895164521107;16453.906603629097;-0.6528361048951801;kmeans;75;cbow;Moyenne;TFIDF
7;random;10;0.0001;1973516.875;0.43778235082776623;16442.078583651997;-0.6612623618289013;kmeans;75;cbow;Moyenne;TFIDF
6;k-means++;10;0.0001;2431630.5;0.4540500007210536;15656.579788985298;-0.5672876861543938;kmeans;75;cbow;Moyenne;TFIDF
6;random;10;0.0001;2431893.25;0.4543306686836593;15655.4436720711;-0.5591956052146239;kmeans;75;cbow;Moyenne;TFIDF
5;random;10;0.0001;3094336.5;0.47009842873800106;14872.821396937698;-0.6882487629542839;kmeans;75;cbow;Moyenne;TFIDF
5;k-means++;10;0.0001;3094401.0;0.47006626220153946;14872.614264762164;-0.6882056960701334;kmeans;75;cbow;Moyenne;TFIDF
