K;initialisation;val_obj;silhouette;Cal-Harabasz;DBCV;clustering;perplexity;wordEmbedding;docEmbedding;docEmbedding2;nb_iter;tolerance
2;random;1854196.0;0.3932663238904749;;-0.5825907095514834;kmedoides;;cbow;WMD;Distance;;
3;random;1849607.0;0.3853997160016638;;-0.5827550295198562;kmedoides;;cbow;WMD;Distance;;
2;build;1784461.0;0.17682664670779585;;-0.9419766437087101;kmedoides;;cbow;WMD;Distance;;
4;random;1771933.0;0.10884887669410902;;-0.8990024703345808;kmedoides;;cbow;WMD;Distance;;
3;k-medoids++;1768544.0;0.10676966331141517;;-0.8990670218236338;kmedoides;;cbow;WMD;Distance;;
4;k-medoids++;1748135.0;0.09718544375221407;;-0.8612123949959203;kmedoides;;cbow;WMD;Distance;;
6;k-medoids++;1721231.0;0.0542253747105054;;-0.8603759783507561;kmedoides;;cbow;WMD;Distance;;
5;k-medoids++;1731831.0;0.05234690797746445;;-0.8697446155490356;kmedoides;;cbow;WMD;Distance;;
2;k-medoids++;1822055.0;0.047183508360292795;;-0.904317221108296;kmedoides;;cbow;WMD;Distance;;
3;build;1750786.0;0.043744709977825064;;-0.9159913768352516;kmedoides;;cbow;WMD;Distance;;
8;k-medoids++;1694327.0;0.0360498819979887;;-0.8344469498184248;kmedoides;;cbow;WMD;Distance;;
5;random;1734945.0;0.03341803379833877;;-0.8788558993925893;kmedoides;;cbow;WMD;Distance;;
4;build;1721492.0;0.031193408419902632;;-0.8877499058814868;kmedoides;;cbow;WMD;Distance;;
6;random;1719533.0;0.024123353097459593;;-0.8733939038173938;kmedoides;;cbow;WMD;Distance;;
9;k-medoids++;1666567.0;0.023672982660322747;;-0.8101358767373044;kmedoides;;cbow;WMD;Distance;;
5;build;1696898.0;0.0220132987350597;;-0.86123154565041;kmedoides;;cbow;WMD;Distance;;
10;k-medoids++;1654955.0;0.020144941925854327;;-0.7876915695045356;kmedoides;;cbow;WMD;Distance;;
6;build;1679493.0;0.02004485116479597;;-0.852416125584938;kmedoides;;cbow;WMD;Distance;;
8;build;1649477.0;0.018279565250684613;;-0.8354554697195561;kmedoides;;cbow;WMD;Distance;;
11;k-medoids++;1646598.0;0.017877778733379236;;-0.7940513119983211;kmedoides;;cbow;WMD;Distance;;
7;build;1664084.0;0.016675168584475725;;-0.8397127132920933;kmedoides;;cbow;WMD;Distance;;
14;random;1661942.0;0.013781169720120487;;-0.8185642469696254;kmedoides;;cbow;WMD;Distance;;
2;heuristic;1847071.0;0.010690445875905182;;-0.9136153303812827;kmedoides;;cbow;WMD;Distance;;
9;build;1637135.0;0.0061711890814652335;;-0.8268636418612528;kmedoides;;cbow;WMD;Distance;;
10;build;1625810.0;0.0022462751269806043;;-0.8142890403826605;kmedoides;;cbow;WMD;Distance;;
10;random;1695846.0;-0.0015811836066256363;;-0.845070227469048;kmedoides;;cbow;WMD;Distance;;
7;random;1714559.0;-0.0033608341967552506;;-0.8519885561679055;kmedoides;;cbow;WMD;Distance;;
14;build;1587479.0;-0.00421173993249307;;-0.7692732432195672;kmedoides;;cbow;WMD;Distance;;
9;random;1693207.0;-0.004334896593010474;;-0.8567572825313201;kmedoides;;cbow;WMD;Distance;;
13;build;1596280.0;-0.005721854078619377;;-0.7729987931508844;kmedoides;;cbow;WMD;Distance;;
12;build;1605560.0;-0.006253515201687832;;-0.7783329670351625;kmedoides;;cbow;WMD;Distance;;
11;build;1615282.0;-0.006717881243278232;;-0.7895814759470642;kmedoides;;cbow;WMD;Distance;;
7;k-medoids++;1695668.0;-0.006724841827215084;;-0.844746091647272;kmedoides;;cbow;WMD;Distance;;
12;k-medoids++;1641197.0;-0.007892584918144064;;-0.7874170448329612;kmedoides;;cbow;WMD;Distance;;
13;k-medoids++;1638005.0;-0.008106695544262127;;-0.7811197241503093;kmedoides;;cbow;WMD;Distance;;
8;random;1704656.0;-0.008715104652090326;;-0.83971172154541;kmedoides;;cbow;WMD;Distance;;
3;heuristic;1829018.0;-0.017447119288612832;;-0.921658857060714;kmedoides;;cbow;WMD;Distance;;
7;heuristic;1732021.0;-0.029376165377519897;;-0.8980309253433447;kmedoides;;cbow;WMD;Distance;;
13;random;1659413.0;-0.030803129130380275;;-0.8270394312546391;kmedoides;;cbow;WMD;Distance;;
12;random;1675432.0;-0.03192509059328304;;-0.8406333970070354;kmedoides;;cbow;WMD;Distance;;
11;random;1681388.0;-0.032686011546529205;;-0.8490629723523221;kmedoides;;cbow;WMD;Distance;;
4;heuristic;1820142.0;-0.033647278740517074;;-0.9185588703632774;kmedoides;;cbow;WMD;Distance;;
14;k-medoids++;1637170.0;-0.033738808714936834;;-0.7890133134643924;kmedoides;;cbow;WMD;Distance;;
9;heuristic;1717559.0;-0.034160402911067624;;-0.8995931921369822;kmedoides;;cbow;WMD;Distance;;
10;heuristic;1714763.0;-0.04212336035111813;;-0.8978443603473941;kmedoides;;cbow;WMD;Distance;;
5;heuristic;1814311.0;-0.043361999467608284;;-0.9181909727823728;kmedoides;;cbow;WMD;Distance;;
11;heuristic;1711647.0;-0.04824129321139619;;-0.9066748152203197;kmedoides;;cbow;WMD;Distance;;
6;heuristic;1809839.0;-0.05315727232906885;;-0.9123046253703021;kmedoides;;cbow;WMD;Distance;;
8;heuristic;1784304.0;-0.05391807452675851;;-0.903058801106482;kmedoides;;cbow;WMD;Distance;;
12;heuristic;1716208.0;-0.0602895646879914;;-0.9005095722645755;kmedoides;;cbow;WMD;Distance;;
13;heuristic;1714688.0;-0.10296010228450464;;-0.8893829289508921;kmedoides;;cbow;WMD;Distance;;
14;heuristic;1713317.0;-0.10315205479439478;;-0.8895439533272032;kmedoides;;cbow;WMD;Distance;;
7;k-means++;3553552.5;0.3931980617583556;9494.258890658262;-0.7472218990162973;kmeans;50;cbow;WMD;Distance;10;0.0001
7;random;3553788.0;0.3932539565949729;9493.682865373552;-0.7407308307438623;kmeans;50;cbow;WMD;Distance;10;0.0001
9;k-means++;2781792.5;0.37662348160108094;9424.137452265963;-0.7302082828019595;kmeans;50;cbow;WMD;Distance;10;0.0001
9;random;2781910.5;0.3763169905881624;9423.223584349937;-0.7266939121740389;kmeans;50;cbow;WMD;Distance;10;0.0001
8;k-means++;3138058.0;0.37379076492208196;9394.151345911625;-0.739659042469199;kmeans;50;cbow;WMD;Distance;10;0.0001
8;random;3138360.0;0.3736639173007591;9393.132189485379;-0.7352255704353856;kmeans;50;cbow;WMD;Distance;10;0.0001
12;random;2116634.0;0.3581648690137477;9275.587098540369;-0.6926804345921029;kmeans;50;cbow;WMD;Distance;10;0.0001
12;k-means++;2116834.75;0.35773358133146566;9274.57963835028;-0.6928532172377261;kmeans;50;cbow;WMD;Distance;10;0.0001
10;random;2545222.25;0.3578904511681499;9252.294330584054;-0.7359015236355995;kmeans;50;cbow;WMD;Distance;10;0.0001
10;k-means++;2545378.5;0.35782531654897437;9251.731867312861;-0.7405553155364345;kmeans;50;cbow;WMD;Distance;10;0.0001
11;random;2324190.75;0.3714421544358988;9208.410124501626;-0.7276142349181949;kmeans;50;cbow;WMD;Distance;10;0.0001
11;k-means++;2324209.75;0.37146852885868314;9208.20486602101;-0.727896840902398;kmeans;50;cbow;WMD;Distance;10;0.0001
13;random;1968021.25;0.3547957262120469;9203.564728145386;-0.7167831262747717;kmeans;50;cbow;WMD;Distance;10;0.0001
13;k-means++;1968361.375;0.3545913161053652;9201.758958307295;-0.7117558291399652;kmeans;50;cbow;WMD;Distance;10;0.0001
14;k-means++;1831429.25;0.34869627757533994;9182.494824547664;-0.7195444296430824;kmeans;50;cbow;WMD;Distance;10;0.0001
14;random;1835316.375;0.35404508290905695;9161.535524643854;-0.7365671844987127;kmeans;50;cbow;WMD;Distance;10;0.0001
6;random;4281721.0;0.3933794995163389;9133.603280511308;-0.7459830549077894;kmeans;50;cbow;WMD;Distance;10;0.0001
6;k-means++;4281727.5;0.39335662337905103;9133.579145642549;-0.7464166718278253;kmeans;50;cbow;WMD;Distance;10;0.0001
5;k-means++;5210505.5;0.37977529747143174;8959.83591294955;-0.7949326261671417;kmeans;50;cbow;WMD;Distance;10;0.0001
5;random;5210486.0;0.3798879645229218;8959.790712258291;-0.8030262411473936;kmeans;50;cbow;WMD;Distance;10;0.0001
4;random;6816077.0;0.37558702734256627;8387.61010197108;-0.7814842379428946;kmeans;50;cbow;WMD;Distance;10;0.0001
4;k-means++;6823571.0;0.37771680515606604;8374.907819537551;-0.8503079855185574;kmeans;50;cbow;WMD;Distance;10;0.0001
3;k-means++;9055925.0;0.40497858317763985;8295.916608472506;-0.923295081345055;kmeans;50;cbow;WMD;Distance;10;0.0001
3;random;9055949.0;0.40500288817756663;8295.891641739363;-0.918795188423279;kmeans;50;cbow;WMD;Distance;10;0.0001
2;k-means++;15431915.0;0.36076983429433074;5812.95377684037;-0.8938678390408727;kmeans;50;cbow;WMD;Distance;10;0.0001
2;random;15432309.0;0.3607992546435937;5812.710547166862;-0.8941197691578646;kmeans;50;cbow;WMD;Distance;10;0.0001
7;k-means++;2328035.5;0.37861791018550806;9435.235109351685;-0.806575691646342;kmeans;75;cbow;WMD;Distance;10;0.0001
7;random;2328373.75;0.37856936802412583;9433.411567318843;-0.8099055107139034;kmeans;75;cbow;WMD;Distance;10;0.0001
9;k-means++;1812165.75;0.37996007753532046;9426.419545948587;-0.7736099199568168;kmeans;75;cbow;WMD;Distance;10;0.0001
9;random;1812417.875;0.3788704301398346;9424.984379917089;-0.7612535899325336;kmeans;75;cbow;WMD;Distance;10;0.0001
6;k-means++;2730451.5;0.40096397351259183;9374.326680943901;-0.8186546155231762;kmeans;75;cbow;WMD;Distance;10;0.0001
6;random;2730489.75;0.4006513579730133;9374.209149261624;-0.8281134673482167;kmeans;75;cbow;WMD;Distance;10;0.0001
8;k-means++;2049377.5;0.38329943339587175;9370.088174654133;-0.7973907056415968;kmeans;75;cbow;WMD;Distance;10;0.0001
8;random;2049488.25;0.38331213121267876;9369.755792256026;-0.8052564004752087;kmeans;75;cbow;WMD;Distance;10;0.0001
10;random;1652962.625;0.37503983572674765;9286.6630929752;-0.75593932216429;kmeans;75;cbow;WMD;Distance;10;0.0001
10;k-means++;1659242.25;0.37283209072899937;9247.970297122347;-0.7639976762127206;kmeans;75;cbow;WMD;Distance;10;0.0001
14;k-means++;1186948.625;0.3553736578911449;9236.209615272694;-0.7416780019033306;kmeans;75;cbow;WMD;Distance;10;0.0001
14;random;1187833.75;0.3565292386811437;9229.034199182426;-0.7546169487422555;kmeans;75;cbow;WMD;Distance;10;0.0001
11;random;1514813.375;0.3691628914562157;9205.859853562655;-0.7796837645940784;kmeans;75;cbow;WMD;Distance;10;0.0001
11;k-means++;1514904.5;0.368926854791479;9205.35457491964;-0.7800433679368068;kmeans;75;cbow;WMD;Distance;10;0.0001
13;k-means++;1285867.875;0.3526366729234748;9176.255230637926;-0.7855919202632077;kmeans;75;cbow;WMD;Distance;10;0.0001
13;random;1286412.75;0.35111629969792146;9172.196358656825;-0.737201715260364;kmeans;75;cbow;WMD;Distance;10;0.0001
12;k-means++;1393765.375;0.3623523058422087;9169.757226345606;-0.769873992962689;kmeans;75;cbow;WMD;Distance;10;0.0001
5;k-means++;3333623.75;0.38623405874285954;9169.259323114225;-0.8353657221492634;kmeans;75;cbow;WMD;Distance;10;0.0001
5;random;3333621.75;0.38632314762292075;9169.249408319236;-0.8164211868744177;kmeans;75;cbow;WMD;Distance;10;0.0001
12;random;1396643.25;0.35280535472062824;9149.258588994195;-0.7747471520539098;kmeans;75;cbow;WMD;Distance;10;0.0001
