K;initialisation;val_obj;silhouette;Cal-Harabasz;DBCV;clustering;perplexity;wordEmbedding;docEmbedding;docEmbedding2;nb_iter;tolerance
12;random;11424437.0;0.014912863243239843;;;kmedoides;;glove;WMD;Distance;;
11;build;11086351.0;0.014600379284184149;;;kmedoides;;glove;WMD;Distance;;
13;build;10984849.0;0.014541972127606727;;;kmedoides;;glove;WMD;Distance;;
9;build;11213589.0;0.014312382635222325;;;kmedoides;;glove;WMD;Distance;;
13;random;11368182.0;0.014182481851712517;;;kmedoides;;glove;WMD;Distance;;
10;build;11147144.0;0.01411954547351926;;;kmedoides;;glove;WMD;Distance;;
14;build;10942211.0;0.014065564315526927;;;kmedoides;;glove;WMD;Distance;;
12;build;11028550.0;0.014057164937762696;;;kmedoides;;glove;WMD;Distance;;
8;build;11284946.0;0.013751478779951672;;;kmedoides;;glove;WMD;Distance;;
14;k-medoids++;11483099.0;0.013041836872172165;;;kmedoides;;glove;WMD;Distance;;
9;random;11405540.0;0.01301017034263008;;;kmedoides;;glove;WMD;Distance;;
11;random;11420301.0;0.012687877563439559;;;kmedoides;;glove;WMD;Distance;;
7;build;11373543.0;0.012591332029030513;;;kmedoides;;glove;WMD;Distance;;
10;random;11406792.0;0.012234599141567715;;;kmedoides;;glove;WMD;Distance;;
14;random;11355334.0;0.012199887901507066;;;kmedoides;;glove;WMD;Distance;;
13;k-medoids++;11548949.0;0.011954805837578323;;;kmedoides;;glove;WMD;Distance;;
12;k-medoids++;11489890.0;0.011871166750568233;;;kmedoides;;glove;WMD;Distance;;
6;build;11470207.0;0.011752825713089407;;;kmedoides;;glove;WMD;Distance;;
8;random;11501009.0;0.011221884489556315;;;kmedoides;;glove;WMD;Distance;;
10;k-medoids++;11623485.0;0.011014471338851996;;;kmedoides;;glove;WMD;Distance;;
11;k-medoids++;11560702.0;0.01100287826329727;;;kmedoides;;glove;WMD;Distance;;
7;k-medoids++;11800154.0;0.010986874950186973;;;kmedoides;;glove;WMD;Distance;;
5;build;11581267.0;0.010950143055781647;;;kmedoides;;glove;WMD;Distance;;
9;k-medoids++;11668759.0;0.010941765439088105;;;kmedoides;;glove;WMD;Distance;;
8;k-medoids++;11722708.0;0.010322970885050773;;;kmedoides;;glove;WMD;Distance;;
5;k-medoids++;11783352.0;0.010222226753061173;;;kmedoides;;glove;WMD;Distance;;
4;build;11718470.0;0.009595706162146528;;;kmedoides;;glove;WMD;Distance;;
6;k-medoids++;11912427.0;0.00955301648445237;;;kmedoides;;glove;WMD;Distance;;
7;random;11610426.0;0.009281437291377799;;;kmedoides;;glove;WMD;Distance;;
3;build;11885765.0;0.008626301683397692;;;kmedoides;;glove;WMD;Distance;;
3;k-medoids++;11987336.0;0.008495696132001832;;;kmedoides;;glove;WMD;Distance;;
6;random;11716983.0;0.008266342026197712;;;kmedoides;;glove;WMD;Distance;;
4;k-medoids++;11995471.0;0.008106811970411671;;;kmedoides;;glove;WMD;Distance;;
2;k-medoids++;12145147.0;0.007198573182996273;;;kmedoides;;glove;WMD;Distance;;
5;random;11808675.0;0.007120388825174232;;;kmedoides;;glove;WMD;Distance;;
