K;initialisation;nb_iter;tolerance;val_obj;silhouette;Cal-Harabasz;DBCV;clustering;perplexity;wordEmbedding;docEmbedding;docEmbedding2
2;k-means++;10;0.0001;1293.2570392995676;0.5507327160282416;5672.310805511619;-0.768833643511565;kmeans;;skipgram;Moyenne;TF
2;random;10;0.0001;1293.2570392995676;0.5507327160282416;5672.310805511619;-0.768833643511565;kmeans;;skipgram;Moyenne;TF
3;k-means++;10;0.0001;958.6493948305587;0.2945439450229788;5483.281494540799;-0.8716068582172857;kmeans;;skipgram;Moyenne;TF
3;random;10;0.0001;958.6493948305584;0.2945439450229788;5483.281494540799;-0.8716068582172857;kmeans;;skipgram;Moyenne;TF
4;k-means++;10;0.0001;779.5708305179318;0.2946099412030244;5222.015682340302;-0.8271942397329985;kmeans;;skipgram;Moyenne;TF
4;random;10;0.0001;779.5799686908887;0.2940542160963286;5221.9013672373385;-0.8335715191471085;kmeans;;skipgram;Moyenne;TF
5;k-means++;10;0.0001;694.312398069831;0.24897293633502915;4688.484255296012;-0.8093353924048394;kmeans;;skipgram;Moyenne;TF
5;random;10;0.0001;694.314281575273;0.24904554946367063;4688.452329091776;-0.8093004900012372;kmeans;;skipgram;Moyenne;TF
6;k-means++;10;0.0001;624.9949143343244;0.22464476433200078;4377.034057392965;-0.8132972314053197;kmeans;;skipgram;Moyenne;TF
6;random;10;0.0001;624.9973758496221;0.22453975302738863;4376.966169905792;-0.8132105531313008;kmeans;;skipgram;Moyenne;TF
7;k-means++;10;0.0001;578.2795525991179;0.22503294436551305;4069.52541001826;-0.7994900884239111;kmeans;;skipgram;Moyenne;TF
7;random;10;0.0001;578.3505245104126;0.2229196607239286;4068.8275125595906;-0.8028975228610455;kmeans;;skipgram;Moyenne;TF
8;k-means++;10;0.0001;533.0557054439636;0.22964429006848894;3898.7625873391084;-0.7849646938959804;kmeans;;skipgram;Moyenne;TF
8;random;10;0.0001;534.3798147358351;0.2302058406456135;3885.7499536170985;-0.7875850330643792;kmeans;;skipgram;Moyenne;TF
9;k-means++;10;0.0001;498.7215789492357;0.22581376175328405;3727.5543043382236;-0.7882696012395461;kmeans;;skipgram;Moyenne;TF
9;random;10;0.0001;498.73494506284715;0.2256313708494042;3727.439059026655;-0.7878368504994452;kmeans;;skipgram;Moyenne;TF
10;k-means++;10;0.0001;467.84902709223127;0.21802396056037374;3601.240068588543;-0.7602099992678081;kmeans;;skipgram;Moyenne;TF
10;random;10;0.0001;467.91660428779016;0.21731245059763707;3600.592394544223;-0.7514524016667753;kmeans;;skipgram;Moyenne;TF
11;k-means++;10;0.0001;443.51627369078324;0.20243994349221847;3470.6561833816168;-0.7298350792588373;kmeans;;skipgram;Moyenne;TF
11;random;10;0.0001;443.53020846117994;0.20223464689797124;3470.542693537247;-0.7309920840870225;kmeans;;skipgram;Moyenne;TF
12;k-means++;10;0.0001;423.3425571663932;0.20606633194605878;3346.243408237816;-0.7254517185173596;kmeans;;skipgram;Moyenne;TF
12;random;10;0.0001;423.42312014379394;0.20522672706054457;3345.4946292864643;-0.7172475091354721;kmeans;;skipgram;Moyenne;TF
13;k-means++;10;0.0001;404.2971895116534;0.20786269968795978;3248.797598661919;-0.7137425060687195;kmeans;;skipgram;Moyenne;TF
13;random;10;0.0001;404.4126911514207;0.20718138548328197;3247.670769360649;-0.709595838233322;kmeans;;skipgram;Moyenne;TF
14;random;10;0.0001;388.25626410131485;0.20271994570049434;3152.632882440279;-0.6918859528823407;kmeans;;skipgram;Moyenne;TF
14;k-means++;10;0.0001;390.6110545517065;0.20310294278224889;3129.2004831027753;-0.694728403351677;kmeans;;skipgram;Moyenne;TF
14;random;10;0.0001;1926870.5;0.37530344328648685;10394.198117089745;-0.6273037058952967;kmeans;50;skipgram;Moyenne;TF
14;k-means++;10;0.0001;1927337.5;0.374910523187809;10391.59648262692;-0.6495524548739016;kmeans;50;skipgram;Moyenne;TF
13;k-means++;10;0.0001;2093521.0;0.3743436267469143;10301.99788928437;-0.6207852619110928;kmeans;50;skipgram;Moyenne;TF
13;random;10;0.0001;2093551.625;0.3742401177896987;10301.905200475205;-0.6231547494677179;kmeans;50;skipgram;Moyenne;TF
12;random;10;0.0001;2280232.25;0.37418009188165535;10248.764770637217;-0.6449953460849643;kmeans;50;skipgram;Moyenne;TF
12;k-means++;10;0.0001;2280692.75;0.37657859677036515;10246.408527219415;-0.6659741339036558;kmeans;50;skipgram;Moyenne;TF
11;k-means++;10;0.0001;2512246.75;0.3686989096571828;10145.833479146002;-0.6281625016485003;kmeans;50;skipgram;Moyenne;TF
11;random;10;0.0001;2514747.0;0.3674364208653776;10134.654551271902;-0.6557239637209639;kmeans;50;skipgram;Moyenne;TF
10;k-means++;10;0.0001;2769148.75;0.37361005382593376;10130.431396749766;-0.6058392648048411;kmeans;50;skipgram;Moyenne;TF
10;random;10;0.0001;2769194.25;0.37360590543631284;10130.334881282139;-0.6049270217407774;kmeans;50;skipgram;Moyenne;TF
9;k-means++;10;0.0001;3095014.0;0.37876829915831456;10073.183187115648;-0.647576832653255;kmeans;50;skipgram;Moyenne;TF
