K;initialisation;val_obj;silhouette;Cal-Harabasz;DBCV;clustering;perplexity;wordEmbedding;docEmbedding;docEmbedding2;nb_iter;tolerance
2;build;1983063.0;0.3426561223870716;;-0.8946034632609441;kmedoides;;skipgram;WMD;Distance;;
2;k-medoids++;1973095.0;0.2621512898046363;;-0.8266542309643934;kmedoides;;skipgram;WMD;Distance;;
3;random;1966281.0;0.23792261202712162;;-0.8110814811416829;kmedoides;;skipgram;WMD;Distance;;
2;random;1970711.0;0.19694841672387883;;-0.8514008738375661;kmedoides;;skipgram;WMD;Distance;;
2;heuristic;1970711.0;0.19694841672387883;;-0.8514008738375661;kmedoides;;skipgram;WMD;Distance;;
4;random;1887038.0;0.1208324187439652;;-0.8116620720613994;kmedoides;;skipgram;WMD;Distance;;
3;k-medoids++;1887510.0;0.11247388789291929;;-0.8252371920548713;kmedoides;;skipgram;WMD;Distance;;
4;k-medoids++;1855636.0;0.10012385075889495;;-0.8326548218039479;kmedoides;;skipgram;WMD;Distance;;
3;build;1908685.0;0.09208131363259348;;-0.8354018955599267;kmedoides;;skipgram;WMD;Distance;;
5;random;1929782.0;0.07562335053059348;;-0.7626611173285786;kmedoides;;skipgram;WMD;Distance;;
3;heuristic;1931463.0;0.060898957431053995;;-0.7851374881185218;kmedoides;;skipgram;WMD;Distance;;
4;build;1853882.0;0.057400321406032;;-0.7888622865096464;kmedoides;;skipgram;WMD;Distance;;
4;heuristic;1901391.0;0.055981815490945844;;-0.8023782978014133;kmedoides;;skipgram;WMD;Distance;;
6;random;1919531.0;0.05501206703843168;;-0.781936324329624;kmedoides;;skipgram;WMD;Distance;;
5;k-medoids++;1839216.0;0.0547278667494512;;-0.8016150980461969;kmedoides;;skipgram;WMD;Distance;;
5;heuristic;1881414.0;0.05234481359311654;;-0.8004234264661227;kmedoides;;skipgram;WMD;Distance;;
6;build;1800616.0;0.05186540341108921;;-0.777867442342599;kmedoides;;skipgram;WMD;Distance;;
5;build;1828055.0;0.05060612743361404;;-0.7870377159931081;kmedoides;;skipgram;WMD;Distance;;
6;k-medoids++;1826172.0;0.05045952363608463;;-0.7875533006760593;kmedoides;;skipgram;WMD;Distance;;
6;heuristic;1863933.0;0.04567793550840464;;-0.770291083106485;kmedoides;;skipgram;WMD;Distance;;
7;build;1778314.0;0.041158505692226136;;-0.7741197917022484;kmedoides;;skipgram;WMD;Distance;;
8;build;1758786.0;0.03878727039233848;;-0.759457433280139;kmedoides;;skipgram;WMD;Distance;;
8;random;1855971.0;0.037601821496070095;;-0.77170275931119;kmedoides;;skipgram;WMD;Distance;;
7;heuristic;1853676.0;0.037375032177172605;;-0.7902380867508877;kmedoides;;skipgram;WMD;Distance;;
10;k-medoids++;1746363.0;0.035530774600587664;;-0.7562663960941224;kmedoides;;skipgram;WMD;Distance;;
14;random;1755127.0;0.033469797340260905;;-0.7057768236734161;kmedoides;;skipgram;WMD;Distance;;
14;k-medoids++;1731604.0;0.03340703907491;;-0.7505248915562612;kmedoides;;skipgram;WMD;Distance;;
11;k-medoids++;1736611.0;0.033098412692251764;;-0.7617748296148293;kmedoides;;skipgram;WMD;Distance;;
9;k-medoids++;1767064.0;0.03301723219394259;;-0.757858104157758;kmedoides;;skipgram;WMD;Distance;;
8;heuristic;1803786.0;0.03279701066335452;;-0.7787432141288796;kmedoides;;skipgram;WMD;Distance;;
13;k-medoids++;1723008.0;0.032115832217098926;;-0.7436408201158078;kmedoides;;skipgram;WMD;Distance;;
12;k-medoids++;1724677.0;0.031379708832146296;;-0.7497546059929456;kmedoides;;skipgram;WMD;Distance;;
8;k-medoids++;1802457.0;0.031264251268868455;;-0.7889797573410935;kmedoides;;skipgram;WMD;Distance;;
9;random;1844730.0;0.03119512717190703;;-0.8034382427934484;kmedoides;;skipgram;WMD;Distance;;
10;build;1725601.0;0.02867325623140175;;-0.747347380825842;kmedoides;;skipgram;WMD;Distance;;
10;random;1827685.0;0.028526329705170075;;-0.7459726334670099;kmedoides;;skipgram;WMD;Distance;;
9;heuristic;1798452.0;0.02812804451654946;;-0.7818847333786021;kmedoides;;skipgram;WMD;Distance;;
13;build;1683348.0;0.025582381904439334;;-0.7353534031118687;kmedoides;;skipgram;WMD;Distance;;
13;random;1766015.0;0.025477258157489132;;-0.7266115616248972;kmedoides;;skipgram;WMD;Distance;;
9;build;1741920.0;0.025383418169607992;;-0.7538182366038738;kmedoides;;skipgram;WMD;Distance;;
10;heuristic;1795436.0;0.02468629642077272;;-0.7698807982491704;kmedoides;;skipgram;WMD;Distance;;
7;random;1905532.0;0.023955961742944794;;-0.7877218540385549;kmedoides;;skipgram;WMD;Distance;;
7;k-medoids++;1811410.0;0.022829784408669878;;-0.7798476996418515;kmedoides;;skipgram;WMD;Distance;;
14;build;1672729.0;0.02278536347235457;;-0.7349422168293894;kmedoides;;skipgram;WMD;Distance;;
12;build;1697183.0;0.020561773533438618;;-0.7472981617225002;kmedoides;;skipgram;WMD;Distance;;
12;random;1805236.0;0.01889902520320549;;-0.7386863841342891;kmedoides;;skipgram;WMD;Distance;;
11;random;1824531.0;0.017536578482161915;;-0.7444006816824116;kmedoides;;skipgram;WMD;Distance;;
11;heuristic;1777513.0;0.016406128371853377;;-0.7515243512718256;kmedoides;;skipgram;WMD;Distance;;
11;build;1711352.0;0.015025659861792993;;-0.7549476827055936;kmedoides;;skipgram;WMD;Distance;;
12;heuristic;1774404.0;0.013257015654776952;;-0.7477653057323878;kmedoides;;skipgram;WMD;Distance;;
13;heuristic;1771893.0;0.009792542473799988;;-0.74335933324286;kmedoides;;skipgram;WMD;Distance;;
14;heuristic;1766692.0;0.005760280855787286;;-0.7390286890175551;kmedoides;;skipgram;WMD;Distance;;
