K;initialisation;nb_iter;tolerance;val_obj;silhouette;Cal-Harabasz;DBCV;clustering;perplexity;wordEmbedding;docEmbedding;docEmbedding2
2;k-means++;10;0.0001;393600523.0068156;0.321155014059232;2623.537959203968;-0.7158510798436304;kmeans;;skipgram;WMD;MDS
2;random;10;0.0001;393600523.00681555;0.321155014059232;2623.537959203968;-0.7158510798436304;kmeans;;skipgram;WMD;MDS
3;k-means++;10;0.0001;357416158.7373903;0.1378864413266884;1925.2026842740643;-0.7190181415264142;kmeans;;skipgram;WMD;MDS
3;random;10;0.0001;357416158.7373902;0.1378864413266884;1925.2026842740643;-0.7190181415264142;kmeans;;skipgram;WMD;MDS
4;random;10;0.0001;342034999.2724389;0.08454816409381018;1483.4040003559178;-0.7339400017790579;kmeans;;skipgram;WMD;MDS
4;k-means++;10;0.0001;342035162.5218151;0.08459581958340143;1483.4014834810364;-0.73400106466335;kmeans;;skipgram;WMD;MDS
5;random;10;0.0001;329566754.1593341;0.07708573832086475;1244.3367506468346;-0.7119509308207356;kmeans;;skipgram;WMD;MDS
5;k-means++;10;0.0001;329616074.1061221;0.07474807058296933;1243.7980908492698;-0.709667289330745;kmeans;;skipgram;WMD;MDS
6;k-means++;10;0.0001;319068115.0880712;0.08384059793280246;1090.5995771497164;-0.6911280544697;kmeans;;skipgram;WMD;MDS
6;random;10;0.0001;319068765.493814;0.08384267673521016;1090.5945287996765;-0.6911514631585185;kmeans;;skipgram;WMD;MDS
7;random;10;0.0001;309827530.56368566;0.07179969747257595;983.0337723726738;-0.6405297135266327;kmeans;;skipgram;WMD;MDS
7;k-means++;10;0.0001;309885350.636846;0.07509018088102765;982.5550481230332;-0.6480951796965688;kmeans;;skipgram;WMD;MDS
8;random;10;0.0001;302570954.2367165;0.07070058189223563;895.2413677977241;-0.6325047104787621;kmeans;;skipgram;WMD;MDS
8;k-means++;10;0.0001;302571852.51617587;0.07047678375241855;895.2348921503599;-0.6325857488071696;kmeans;;skipgram;WMD;MDS
9;k-means++;10;0.0001;296630070.70790267;0.0631314272080375;822.7045522002169;-0.6115038506547531;kmeans;;skipgram;WMD;MDS
9;random;10;0.0001;296779027.6384464;0.047630318503617916;821.6949324546271;-0.6098451013655213;kmeans;;skipgram;WMD;MDS
10;k-means++;10;0.0001;291351513.70723027;0.04620979113945702;763.568516865996;-0.6227349138895466;kmeans;;skipgram;WMD;MDS
10;random;10;0.0001;292377392.29283464;0.04447272122039917;757.1894543412149;-0.6150345604234694;kmeans;;skipgram;WMD;MDS
11;k-means++;10;0.0001;287237745.42544985;0.0485105824234009;710.5721076970796;-0.620646092534002;kmeans;;skipgram;WMD;MDS
11;random;10;0.0001;287295019.1035065;0.049015755214574984;710.2411993681382;-0.6127320338395906;kmeans;;skipgram;WMD;MDS
12;k-means++;10;0.0001;283171700.35305107;0.041007636631987816;667.5673257167708;-0.6032483090920384;kmeans;;skipgram;WMD;MDS
12;random;10;0.0001;283292406.45764095;0.04892672077880993;666.9157821518831;-0.6084399519508007;kmeans;;skipgram;WMD;MDS
13;k-means++;10;0.0001;279630336.1870283;0.04680474092950194;629.6346086298827;-0.5968153134322899;kmeans;;skipgram;WMD;MDS
13;random;10;0.0001;279630715.1208434;0.0481062694628684;629.6331500883464;-0.587865998862578;kmeans;;skipgram;WMD;MDS
14;k-means++;10;0.0001;276052714.2172642;0.04542254474193683;598.1293980487633;-0.5799460647506055;kmeans;;skipgram;WMD;MDS
14;random;10;0.0001;276159620.4579237;0.039905931254462616;597.6155667470086;-0.5684063637779047;kmeans;;skipgram;WMD;MDS
14;random;10;0.0001;869445.0625;0.3892769085819366;11092.94814906885;-0.7456203721150509;kmeans;50;skipgram;WMD;MDS
14;k-means++;10;0.0001;870208.625;0.3855906864492085;11082.06595685422;-0.693447101713646;kmeans;50;skipgram;WMD;MDS
