models_filename;type_model;windows;dim_emb;ref_err_dis_cos;ref_rmse_dis_cos;ref_err_moy_freq;ref_rmse_freq
cbow_4_20.kv;cbow;4;20;-0.6562880259926951;0.7001027435992286;0.14844260984578714;0.40032278577017466
cbow_10_300.kv;cbow;10;300;-0.7790082650133127;0.7967759809939298;0.14308860174835963;0.40627953986033344
cbow_8_140.kv;cbow;8;140;-0.7632011294873319;0.7826214561513711;0.14778774210323167;0.4058960020292049
skipgram_10_280.kv;skipgram;10;280;-0.7480051974624013;0.767754952129037;0.31812199112093004;0.5153861635471539
cbow_7_300.kv;cbow;7;300;-0.7756281008945364;0.7938348905555649;0.14274542198191564;0.4032552726233072
glove_15_200.kv;glove;15;200;0.2009807174304447;0.2663725542093243;0.2997255369350251;0.4906537801840087
glove_7_160.kv;glove;7;160;0.20266281973214278;0.2715994687414967;0.30401084286565605;0.49053635732274536
glove_6_260.kv;glove;6;260;0.2007884175359966;0.26517076763120706;0.294057418416076;0.48481910173295384
skipgram_8_1.kv;skipgram;8;1;-0.7834775435932352;0.8195092194456932;-0.20233192670003183;0.33531914169757415
skipgram_15_240.kv;skipgram;15;240;-0.7353811498700958;0.7559428565321329;0.30935516118144274;0.5052817467063373
skipgram_15_40.kv;skipgram;15;40;-0.711928550382094;0.7342638067495392;0.2883650754430249;0.49734329930460364
skipgram_6_20.kv;skipgram;6;20;-0.7357916459462911;0.7563712462907028;0.2782558070053891;0.501223411026261
glove_2_300.kv;glove;2;300;0.19934320737428582;0.2638905411733989;0.28674768939081957;0.4800697564410884
glove_10_220.kv;glove;10;220;0.20321008549774663;0.26739864921585565;0.30630409118730506;0.4932478109107528
glove_2_1.kv;glove;2;1;0.18697346729323452;1.0187266790101621;0.03971962616822428;0.351117623285191
skipgram_4_300.kv;skipgram;4;300;-0.7780398108307012;0.7954739746277089;0.269113498027322;0.49146273276260916
skipgram_10_40.kv;skipgram;10;40;-0.7247193415510189;0.7458555137397962;0.29252724039863764;0.501864069453448
glove_7_300.kv;glove;7;300;0.1977774394979077;0.2614238092263534;0.2806108276849981;0.46550537260143143
cbow_10_180.kv;cbow;10;180;-0.7714548231143081;0.789877794477086;0.14493329392822135;0.40519731206055526
glove_4_1.kv;glove;4;1;0.19008388719992195;1.0276600519994938;0.04076773754903433;0.35777596250631494
