models_filename;type_model;windows;dim_emb;tag_mse
cbow_4_20.kv;cbow;4;20;0.0690966942446823
cbow_10_300.kv;cbow;10;300;0.1448517655185819
cbow_8_140.kv;cbow;8;140;0.1300468723050158
skipgram_10_280.kv;skipgram;10;280;0.1575043629859798
cbow_7_300.kv;cbow;7;300;0.1416840010871568
glove_15_200.kv;glove;15;200;0.1245789915929697
glove_7_160.kv;glove;7;160;0.1251937230180448
glove_6_260.kv;glove;6;260;0.123986868093723
skipgram_8_1.kv;skipgram;8;1;0.1868815151203266
skipgram_15_240.kv;skipgram;15;240;0.1546853798887536
skipgram_15_40.kv;skipgram;15;40;0.1472954714267617
skipgram_6_20.kv;skipgram;6;20;0.1462260620182003
glove_2_300.kv;glove;2;300;0.1237351306595448
glove_10_220.kv;glove;10;220;0.1243611043821998
glove_2_1.kv;glove;2;1;0.6220805980871333
skipgram_4_300.kv;skipgram;4;300;0.1623397369661429
skipgram_10_40.kv;skipgram;10;40;0.1495759186768755
glove_7_300.kv;glove;7;300;0.1237552601374503
cbow_10_180.kv;cbow;10;180;0.1359060059699586
glove_4_1.kv;glove;4;1;0.6216262939589849
glove_4_180.kv;glove;4;180;0.1247969487973935
skipgram_10_300.kv;skipgram;10;300;0.1575670551844109
glove_15_20.kv;glove;15;20;0.1470537385294949
skipgram_3_120.kv;skipgram;3;120;0.157788829556421
cbow_15_300.kv;cbow;15;300;0.1477638397183321
cbow_4_100.kv;cbow;4;100;0.108395885790435
cbow_5_80.kv;cbow;5;80;0.1082970683922094
cbow_4_120.kv;cbow;4;120;0.1121053302176702
skipgram_7_180.kv;skipgram;7;180;0.1582886019819859
cbow_15_15.kv;cbow;15;15;0.0794926364574896
cbow_10_5.kv;cbow;10;5;0.0808275086647918
glove_3_120.kv;glove;3;120;0.1262323434680115
cbow_10_10.kv;cbow;10;10;0.0716711988478141
glove_7_1.kv;glove;7;1;0.6220022704111127
cbow_6_40.kv;cbow;6;40;0.0934660022025498
glove_6_10.kv;glove;6;10;0.171916613478378
cbow_15_120.kv;cbow;15;120;0.1307207437893029
glove_4_10.kv;glove;4;10;0.1721467044312662
skipgram_10_1.kv;skipgram;10;1;0.1817401467219135
glove_5_280.kv;glove;5;280;0.1238496504157156
skipgram_5_220.kv;skipgram;5;220;0.1610260928335389
skipgram_4_220.kv;skipgram;4;220;0.1616314306518373
cbow_6_240.kv;cbow;6;240;0.136917372385607
