model;dim;corr_p;corr_s;stress;time
glove2;1;0.1991605873524138;0.248956210435376;25536897434208.387;5848.0411858558655
glove2;2;0.17008856189707044;0.19574680919569096;13591428064652.002;7546.112550973892
glove2;3;0.08566899093492637;0.10373267548224668;8705464575231.121;1637.4929504394531
glove2;4;0.11254756029798735;0.10041066365521577;6061753367197.771;7602.843518972397
glove2;5;0.13124273573349593;0.10500960852483879;4633511019373.993;7571.9352395534515
glove2;20;0.2242215160696745;0.16310422869476465;1041421361095.098;7733.825543642044
glove2;50;0.3011912450001157;0.21941532017307874;443702382637.7615;7864.573037624359
glove2;100;0.3789631044227246;0.27987597268717074;255224676586.72757;8249.1789457798
glove2;200;0.4714971513514736;0.3567090995441488;163051278651.72284;8294.909192085266
glove2;300;0.5228335593860576;0.40622693062969306;133543460816.89285;8329.14241886139
glove2;500;0.5836663591001815;0.4702499686661586;109931074004.54631;8558.379957914352
