model;dim;corr_p;corr_s;stress;time
glove2;1;0.1991605873524138;0.248956210435376;25536897434208.387;5848.0411858558655
glove2;2;0.17008856189707044;0.19574680919569096;13591428064652.002;7546.112550973892
glove2;3;0.08566899093492637;0.10373267548224668;8705464575231.121;1637.4929504394531
glove2;4;0.11254756029798735;0.10041066365521577;6061753367197.771;7602.843518972397
glove2;5;0.13124273573349593;0.10500960852483879;4633511019373.993;7571.9352395534515
glove2;20;0.2242215160696745;0.16310422869476465;1041421361095.098;7733.825543642044
glove2;50;0.3011912450001157;0.21941532017307874;443702382637.7615;7864.573037624359
glove2;100;0.3789631044227246;0.27987597268717074;255224676586.72757;8249.1789457798
glove2;200;0.4714971513514736;0.3567090995441488;163051278651.72284;8294.909192085266
glove2;300;0.5228335593860576;0.40622693062969306;133543460816.89285;8329.14241886139
glove2;500;0.5836663591001815;0.4702499686661586;109931074004.54631;8558.379957914352
glove2;1500;0.6743213888687593;0.5920349374400536;86947765920.40361;42414.99525856972
glove2;2000;0.6884979169024306;0.616773236855556;84253010381.11478;44722.04748725891
glove2;2500;0.698328044681671;0.6341196999803296;82453380312.96739;46716.6633374691
glove2;3000;0.7049588303100808;0.6461371754896115;81266913097.23705;48786.385486125946
glove2;3500;0.7089849123506455;0.6553460361981875;80604043466.29213;50429.142105579376
glove2;4000;0.7125256591313243;0.6629253384998023;80023023090.51385;53228.541591882706
glove2;4500;0.7155630690892409;0.6691261474892896;79496354041.01329;54512.18277978897
glove2;5000;0.7179749363685822;0.6743378205650676;79116509561.29184;55817.984603405
glove2;5500;0.7199152436732967;0.6784186348474142;78806077918.17625;57788.63382482529
glove2;6000;0.7209486288350108;0.6816560177710168;78660329793.37611;59322.37373018265
glove2;6500;0.7225531275777849;0.6848678710893997;78397459256.60115;60769.739610672
glove2;7000;0.723703178366393;0.6874823853404237;78206260628.31857;62335.055508852005
glove2;7500;0.7245783443745977;0.6894641078152977;78074830741.43866;63031.91013789177
glove2;8000;0.7256532914083236;0.6921435572995364;77910621310.20639;64103.591222047806
glove2;8500;0.726251312184327;0.6936221068290918;77816099049.80736;65158.213782310486
glove2;9000;0.7268438243467864;0.6953667204254009;77752712114.55978;65919.8488907814
glove2;9500;0.7276417454008132;0.697263550888766;77604855616.55356;66546.50980567932
glove2;10000;0.7281556638614954;0.6983063253079506;77526548679.33157;66866.33271980286
