K;Solver;MinSilhouette;silhouette;Cal-Harabasz;DBCV;ANMI;perplexity;wordEmbedding;docEmbedding;docEmbedding2;listClustering
2;mcla;-1;0.3152279679572446;4936.527905615464;-0.8635093807510531;0.3779000905042082;200;glove;WMD;Distance;kmeans-gmm
2;mcla;0;0.3151996315180612;4935.971020185629;-0.8634135557443916;0.3779654224382011;200;glove;WMD;Distance;kmeans-gmm
3;mcla;-1;0.35582608118103326;6779.950440287375;-0.8843108927668547;0.5348441286659327;200;glove;WMD;Distance;kmeans-gmm
3;mcla;0;0.3556185975027072;6773.4593282564;-0.8843558220314859;0.5347568433763498;200;glove;WMD;Distance;kmeans-gmm
4;mcla;-1;0.31824033527612405;6492.64663741535;-0.8501985948135858;0.5630335100987831;200;glove;WMD;Distance;kmeans-gmm
4;mcla;0;0.3185345600379793;6496.2661356448025;-0.8323856044610967;0.5631789273978244;200;glove;WMD;Distance;kmeans-gmm
5;mcla;-1;0.3188649283659464;7093.655405428646;-0.8680723728627031;0.6286133127749017;200;glove;WMD;Distance;kmeans-gmm
5;mcla;0;0.3187688559837748;7094.809643078153;-0.868052082115979;0.6286000237439826;200;glove;WMD;Distance;kmeans-gmm
6;mcla;-1;0.3178722930420987;6211.239290644116;-0.842433556310503;0.6226470311646162;200;glove;WMD;Distance;kmeans-gmm
6;mcla;0;0.31807178113902795;6215.289205785076;-0.8425120279640774;0.6227734901023801;200;glove;WMD;Distance;kmeans-gmm
7;mcla;-1;0.3155782191968659;7559.194338255473;-0.7907701800408273;0.657496207740059;200;glove;WMD;Distance;kmeans-gmm
7;mcla;0;0.3156028680806608;7561.098113310248;-0.8056894735790325;0.6573903895464571;200;glove;WMD;Distance;kmeans-gmm
8;mcla;-1;0.3247416159237232;7458.212298873767;-0.8480306362628136;0.6510342180334866;200;glove;WMD;Distance;kmeans-gmm
8;mcla;0;0.32508602150414884;7469.274923029788;-0.83975389555779;0.6510614004971331;200;glove;WMD;Distance;kmeans-gmm
9;mcla;-1;0.3310518547549561;7771.107582514238;-0.8021818696702914;0.6875001137561688;200;glove;WMD;Distance;kmeans-gmm
9;mcla;0;0.3311389480794879;7773.158542427156;-0.8021560279042212;0.6875735132802213;200;glove;WMD;Distance;kmeans-gmm
10;mcla;-1;0.32082226803020664;7597.633011130311;-0.7896681978540506;0.6799768477360861;200;glove;WMD;Distance;kmeans-gmm
10;mcla;0;0.32123828361099566;7603.511514725394;-0.7896280744595472;0.6799458802619532;200;glove;WMD;Distance;kmeans-gmm
11;mcla;-1;0.34839649420620517;8223.239882064156;-0.7883358774402236;0.6914132221967542;200;glove;WMD;Distance;kmeans-gmm
11;mcla;0;0.3483175109818622;8222.23559380412;-0.7881582205298461;0.6912320839797321;200;glove;WMD;Distance;kmeans-gmm
12;mcla;-1;0.34593550680299184;8393.963644920777;-0.8072076110725446;0.6958467181442854;200;glove;WMD;Distance;kmeans-gmm
12;mcla;0;0.3460128705555955;8397.655302518098;-0.8038094500682992;0.6958387001075638;200;glove;WMD;Distance;kmeans-gmm
13;mcla;-1;0.32079454982183003;7980.013048357732;-0.7701653378223058;0.6861839253766744;200;glove;WMD;Distance;kmeans-gmm
13;mcla;0;0.32113517712336886;7984.521834241927;-0.7580837449324654;0.6862065762801172;200;glove;WMD;Distance;kmeans-gmm
14;mcla;-1;0.3148213296959457;7464.34481096461;-0.790331733578391;0.6836356089940617;200;glove;WMD;Distance;kmeans-gmm
14;mcla;0;0.3149315681463714;7468.933510560238;-0.7821798077731533;0.683358386507375;200;glove;WMD;Distance;kmeans-gmm
