K;Solver;MinSilhouette;silhouette;Cal-Harabasz;DBCV;ANMI;perplexity;wordEmbedding;docEmbedding;docEmbedding2;listClustering
2;mcla;-1;0.3813217842323588;6917.143104386238;-0.6712905488708831;0.4099781763785209;200;skipgram;Moyenne;TF;kmeans-gmm
2;mcla;0;0.3814399711233005;6920.137884913029;-0.6583372142600041;0.4101747266855473;200;skipgram;Moyenne;TF;kmeans-gmm
2;mcla;0.45;0.25140534988383506;3108.9892854346886;-0.7569646264305848;0.5411556779337676;200;skipgram;Moyenne;TF;kmeans-gmm
3;mcla;-1;0.439888452923713;10492.17035830973;-0.6625365673638575;0.5532713735642254;200;skipgram;Moyenne;TF;kmeans-gmm
3;mcla;0;0.4399570832528524;10494.512873821059;-0.6533012453765341;0.5532801009172191;200;skipgram;Moyenne;TF;kmeans-gmm
3;mcla;0.45;0.45046733616393864;11119.585920495107;-0.6054831896360497;1.0;200;skipgram;Moyenne;TF;kmeans-gmm
4;mcla;-1;0.326220702984504;7356.31062542631;-0.6847354160533419;0.5637379823514249;200;skipgram;Moyenne;TF;kmeans-gmm
4;mcla;0;0.326112777521109;7347.779729073605;-0.6762953023145967;0.5637148659481096;200;skipgram;Moyenne;TF;kmeans-gmm
4;mcla;0.45;0.31675281307140535;7413.077881465382;-0.623081130855799;0.913002857727325;200;skipgram;Moyenne;TF;kmeans-gmm
5;mcla;-1;0.34515543987314523;9007.096034134402;-0.6308532681293609;0.6190612466469788;200;skipgram;Moyenne;TF;kmeans-gmm
5;mcla;0;0.34522380363991806;9007.772708192502;-0.6287302089951392;0.6190837723585754;200;skipgram;Moyenne;TF;kmeans-gmm
5;mcla;0.45;0.14406869242113424;5559.079962723117;-0.887323347302986;0.8275528281714896;200;skipgram;Moyenne;TF;kmeans-gmm
6;mcla;-1;0.4017099297586444;11176.365566451073;-0.6350693786166796;0.6484076290706202;200;skipgram;Moyenne;TF;kmeans-gmm
6;mcla;0;0.4016061527696312;11172.304223526009;-0.6493110527177349;0.6483382462813064;200;skipgram;Moyenne;TF;kmeans-gmm
6;mcla;0.45;0.0003542653710922387;4452.362093657405;-0.8894108565529917;0.7598000048716809;200;skipgram;Moyenne;TF;kmeans-gmm
7;mcla;-1;0.3596361396507737;10049.593214406368;-0.6120227039763082;0.6560127803853775;200;skipgram;Moyenne;TF;kmeans-gmm
7;mcla;0;0.3593899751857811;10039.352515857623;-0.6462654349045323;0.6559953885836269;200;skipgram;Moyenne;TF;kmeans-gmm
6;mcla;0.45;0.00027334470210960317;4448.054847119571;-0.8945760236325729;0.7597759017339104;200;skipgram;Moyenne;TF;kmeans-gmm
8;mcla;-1;0.3351092919491953;10160.837999783535;-0.627434125979125;0.6648955370461619;200;skipgram;Moyenne;TF;kmeans-gmm
8;mcla;0;0.33535262875820515;10169.147250310667;-0.6268892988341718;0.6649719195086264;200;skipgram;Moyenne;TF;kmeans-gmm
6;mcla;0.45;0.0002965630527800448;4450.60029022842;-0.8922062941924588;0.7597725505147848;200;skipgram;Moyenne;TF;kmeans-gmm
9;mcla;-1;0.3577365492953962;10858.61081866488;-0.5937140723940184;0.6774595816262176;200;skipgram;Moyenne;TF;kmeans-gmm
9;mcla;0;0.35770883112032176;10859.491274987471;-0.5985524831211599;0.677482298186106;200;skipgram;Moyenne;TF;kmeans-gmm
3;mcla;0.45;0.45046733616393864;11119.585920495107;-0.6054831896360497;1.0;200;skipgram;Moyenne;TF;kmeans-gmm
10;mcla;-1;0.3469632603499469;10490.172258448021;-0.6671448553968861;0.6696603595649241;200;skipgram;Moyenne;TF;kmeans-gmm
10;mcla;0;0.3471556073767739;10499.715754494022;-0.6768232096676382;0.6698332746357452;200;skipgram;Moyenne;TF;kmeans-gmm
3;mcla;0.45;0.45046733616393864;11119.585920495107;-0.6054831896360497;1.0;200;skipgram;Moyenne;TF;kmeans-gmm
11;mcla;-1;0.35215770997962714;10872.591627885839;-0.6252293198490476;0.6722011458118996;200;skipgram;Moyenne;TF;kmeans-gmm
11;mcla;0;0.3523056167158995;10878.271889363106;-0.6426520308673344;0.6722559047598653;200;skipgram;Moyenne;TF;kmeans-gmm
3;mcla;0.45;0.45046733616393864;11119.585920495107;-0.6054831896360497;1.0;200;skipgram;Moyenne;TF;kmeans-gmm
12;mcla;-1;0.33094449895601136;10617.05988236947;-0.5815223228194378;0.6745994613213815;200;skipgram;Moyenne;TF;kmeans-gmm
12;mcla;0;0.33051314922314134;10605.455723157871;-0.5650191692849269;0.6743371997704374;200;skipgram;Moyenne;TF;kmeans-gmm
3;mcla;0.45;0.45046733616393864;11119.585920495107;-0.6054831896360497;1.0;200;skipgram;Moyenne;TF;kmeans-gmm
13;mcla;-1;0.3452905106415253;10535.08264257319;-0.5914797568507626;0.6704151701182479;200;skipgram;Moyenne;TF;kmeans-gmm
13;mcla;0;0.3456795432490274;10554.007552556926;-0.5599335697030812;0.6705596907789062;200;skipgram;Moyenne;TF;kmeans-gmm
3;mcla;0.45;0.45046733616393864;11119.585920495105;-0.6054831896360497;1.0;200;skipgram;Moyenne;TF;kmeans-gmm
14;mcla;-1;0.3636453596752484;11517.437090522857;-0.5668060580997226;0.6737452168765031;200;skipgram;Moyenne;TF;kmeans-gmm
14;mcla;0;0.36336786307866836;11509.031399871423;-0.569160022230966;0.6737496492685816;200;skipgram;Moyenne;TF;kmeans-gmm
3;mcla;0.45;0.45046733616393864;11119.585920495107;-0.6054831896360497;1.0;200;skipgram;Moyenne;TF;kmeans-gmm
