K;Solver;MinSilhouette;silhouette;Cal-Harabasz;DBCV;ANMI;perplexity;wordEmbedding;docEmbedding;docEmbedding2;listClustering
2;mcla;-1;0.355276425722076;6725.826310879148;-0.7372990624858758;0.3723814249992065;200;skipgram;WMD;MDS;kmeans-gmm
2;mcla;0;0.3551239836495527;6722.209097614584;-0.7374562190547549;0.37228877724235016;200;skipgram;WMD;MDS;kmeans-gmm
2;mcla;0.45;0.4564864517492055;11656.799072103757;-0.7978950262106295;0.8582086920439617;200;skipgram;WMD;MDS;kmeans-gmm
3;mcla;-1;0.357345764285384;8998.910564711825;-0.7737583333848465;0.5495133729747885;200;skipgram;WMD;MDS;kmeans-gmm
3;mcla;0;0.35754645742378516;9002.570437418017;-0.7737532363499249;0.5495586091440083;200;skipgram;WMD;MDS;kmeans-gmm
3;mcla;0.45;0.19862129044876842;6574.4141113823525;-0.7945464153594564;0.8569737768247391;200;skipgram;WMD;MDS;kmeans-gmm
4;mcla;-1;0.3814165130335466;9237.33279390041;-0.6286354854857086;0.5824810304131288;200;skipgram;WMD;MDS;kmeans-gmm
4;mcla;0;0.38132820711387194;9237.46466001483;-0.6284426113117022;0.582200787216136;200;skipgram;WMD;MDS;kmeans-gmm
4;mcla;0.45;0.0021439445428568567;3942.605976486267;-0.9179843997381629;0.5963532195103162;200;skipgram;WMD;MDS;kmeans-gmm
5;mcla;-1;0.3137206102764898;8056.822387738802;-0.7221613747180835;0.6071305274222099;200;skipgram;WMD;MDS;kmeans-gmm
5;mcla;0;0.313778703079409;8055.915450660348;-0.723907795878648;0.6071768324422375;200;skipgram;WMD;MDS;kmeans-gmm
4;mcla;0.45;0.11234353435329117;4189.407819909345;-0.8367141398062842;0.8361617432967515;200;skipgram;WMD;MDS;kmeans-gmm
6;mcla;-1;0.3479144307088842;9388.341962460654;-0.7162944514930205;0.6393249804704789;200;skipgram;WMD;MDS;kmeans-gmm
6;mcla;0;0.3477066058516063;9384.58559477638;-0.7119937380146735;0.6392427945029898;200;skipgram;WMD;MDS;kmeans-gmm
6;mcla;0.45;-0.019839233955370097;2346.8704329531574;-0.9083487053835999;0.49265316253296304;200;skipgram;WMD;MDS;kmeans-gmm
7;mcla;-1;0.3464262055420213;7084.630263515283;-0.6989242575944329;0.6536049872235882;200;skipgram;WMD;MDS;kmeans-gmm
7;mcla;0;0.34652330724713143;7085.256567421246;-0.6971020909370436;0.6536766114290231;200;skipgram;WMD;MDS;kmeans-gmm
5;mcla;0.45;-0.011274776965969516;2927.053090021948;-0.9338619667028604;0.5332342740964405;200;skipgram;WMD;MDS;kmeans-gmm
8;mcla;-1;0.3373964826632327;9097.105196712062;-0.7121755868227913;0.6461874163477206;200;skipgram;WMD;MDS;kmeans-gmm
8;mcla;0;0.33729072161392937;9086.93864898041;-0.7071155262255793;0.6461567620671648;200;skipgram;WMD;MDS;kmeans-gmm
4;mcla;0.45;-0.0012664765548202836;3902.17098901082;-0.935809055057029;0.5811071198111674;200;skipgram;WMD;MDS;kmeans-gmm
9;mcla;-1;0.3774483028679973;10499.303033032911;-0.6429672384454939;0.6697397254892727;200;skipgram;WMD;MDS;kmeans-gmm
9;mcla;0;0.3770668254706476;10480.505063282571;-0.6415150949436097;0.6695108926227942;200;skipgram;WMD;MDS;kmeans-gmm
9;mcla;0.45;-0.10176894031771834;1488.6659873818194;-0.8828718744762883;0.46095645343424624;200;skipgram;WMD;MDS;kmeans-gmm
10;mcla;-1;0.3782412708467537;10500.05281753627;-0.6859664351038645;0.6789086092071556;200;skipgram;WMD;MDS;kmeans-gmm
10;mcla;0;0.3783857100048974;10504.667097866683;-0.6860548752335852;0.6789086219694175;200;skipgram;WMD;MDS;kmeans-gmm
10;mcla;0.45;-0.012196752768265571;1433.9017819141702;-0.7835509646505342;0.7845708400517282;200;skipgram;WMD;MDS;kmeans-gmm
11;mcla;-1;0.3446271456477398;9564.056179178628;-0.6998569295222903;0.6728983646834871;200;skipgram;WMD;MDS;kmeans-gmm
11;mcla;0;0.34460053677281144;9555.862870003248;-0.6932394437972821;0.6727842404786404;200;skipgram;WMD;MDS;kmeans-gmm
11;mcla;0.45;-0.04056055726635713;1216.2733875951487;-0.8710396255908012;0.509812083515523;200;skipgram;WMD;MDS;kmeans-gmm
12;mcla;-1;0.3576738308883988;10372.21907533784;-0.6488972215854183;0.6737667107026479;200;skipgram;WMD;MDS;kmeans-gmm
12;mcla;0;0.3576595749861592;10374.00237253026;-0.6592958570806758;0.6738663786342912;200;skipgram;WMD;MDS;kmeans-gmm
12;mcla;0.45;-0.0301408796934452;1061.0905057490445;-0.9087152663395289;0.37416133367065;200;skipgram;WMD;MDS;kmeans-gmm
13;mcla;-1;0.35608266926290644;10353.143268756447;-0.6398708495582855;0.6743174959228119;200;skipgram;WMD;MDS;kmeans-gmm
13;mcla;0;0.35598078189831167;10353.585676248069;-0.6419633226740109;0.6742752500117893;200;skipgram;WMD;MDS;kmeans-gmm
1;mcla;0.45;;;;2.1935149733799857e-15;200;skipgram;WMD;MDS;kmeans-gmm
14;mcla;-1;0.3537281919511129;10110.658567152395;-0.6220475866403117;0.6672699818987451;200;skipgram;WMD;MDS;kmeans-gmm
14;mcla;0;0.35450979362841945;10100.992380304584;-0.6187373499104273;0.6670325308371378;200;skipgram;WMD;MDS;kmeans-gmm
1;mcla;0.45;;;;2.1935149733799857e-15;200;skipgram;WMD;MDS;kmeans-gmm
