K;covariance;silhouette;Cal-Harabasz;BIC;DBCV;perplexity;wordEmbedding;docEmbedding;docEmbedding2
7;full;0.013843579621140157;2461.6006414939984;-113284.66378975895;-0.8010393339069853;;cbow;Moyenne;TF
9;full;-0.05935412603101274;2339.90568902809;-113239.92274901169;-0.7995499331588654;;cbow;Moyenne;TF
8;full;-0.04480685877637966;1621.9455204750402;-113237.24817644562;-0.8052529776663626;;cbow;Moyenne;TF
11;full;-0.04568188439567003;1839.3749294736665;-113216.15615415048;-0.7752761687151845;;cbow;Moyenne;TF
10;full;-0.08410084502321478;1814.826214220634;-113177.49868017652;-0.7657469197625711;;cbow;Moyenne;TF
12;full;-0.028223986050500725;2227.6812214969573;-113077.22205679353;-0.7608798647034463;;cbow;Moyenne;TF
13;full;-0.04014692673104047;2119.7375488329085;-113050.29867585398;-0.7903834793517812;;cbow;Moyenne;TF
6;full;0.01670005439450345;2343.171149304195;-113010.85556362575;-0.7966148194550243;;cbow;Moyenne;TF
14;full;-0.03404775145879784;2057.3819210872985;-112882.60591200183;-0.7689370913572519;;cbow;Moyenne;TF
5;full;0.03596513069429238;2421.7976177207684;-112850.0737413706;-0.8068967016479128;;cbow;Moyenne;TF
4;full;0.07033952292739447;2891.1232751768225;-112237.18105103362;-0.8184925931887196;;cbow;Moyenne;TF
3;full;0.16947661204074285;3384.8252794379155;-111631.9423856109;-0.775246487467254;;cbow;Moyenne;TF
13;tied;0.04068724569336795;1161.6979765803305;-110293.44738989804;-0.6730973573127592;;cbow;Moyenne;TF
14;tied;0.03883157464997352;1290.8423005671546;-110215.80268817041;-0.6791199005228611;;cbow;Moyenne;TF
12;tied;0.0506873602361529;1385.1474837970072;-110081.28949086585;-0.6868881233618136;;cbow;Moyenne;TF
2;full;0.2577465739129373;3168.7217781930335;-109889.19009373226;-0.7882371997412336;;cbow;Moyenne;TF
10;tied;0.1513573667487253;1994.417548171294;-109671.14592219715;-0.7848933453663751;;cbow;Moyenne;TF
11;tied;0.14399122259672792;2165.9678210392563;-109565.788822166;-0.7306303523659919;;cbow;Moyenne;TF
9;tied;0.1580734769241957;2466.682304979441;-108925.08119441217;-0.7752254956499112;;cbow;Moyenne;TF
8;tied;0.21136809933977185;3147.5898461303896;-108083.7081976054;-0.7680133240920894;;cbow;Moyenne;TF
7;tied;0.21031593697094142;3116.287368632428;-107741.15079821345;-0.7831124615658652;;cbow;Moyenne;TF
14;diag;0.06602885493887253;3903.3967943501902;-107534.11345177541;-0.6910610889399393;;cbow;Moyenne;TF
13;diag;0.0785410269843062;4021.352565643933;-107223.06696433615;-0.7098570423208423;;cbow;Moyenne;TF
6;tied;0.2451511718079928;3478.390794859694;-106974.44697508396;-0.8006337677623944;;cbow;Moyenne;TF
12;diag;0.07472201423400615;4184.773279057102;-106674.366385595;-0.6936401846304344;;cbow;Moyenne;TF
5;tied;0.3107167074816829;3792.9813920382016;-106225.21240266423;-0.7955301913455286;;cbow;Moyenne;TF
11;diag;0.10509457742647034;4363.733967859456;-106193.5981623263;-0.6932636267225277;;cbow;Moyenne;TF
