K;covariance;silhouette;Cal-Harabasz;BIC;DBCV;perplexity;wordEmbedding;docEmbedding;docEmbedding2
7;full;0.059492284829912374;3182.479262878785;-121279.60113901323;-0.738505772893166;;cbow;Moyenne;TFIDF
8;full;0.10689807921313209;3636.8537265475034;-121172.30657157855;-0.7626488195293871;;cbow;Moyenne;TFIDF
6;full;0.0192761231730061;3004.1941268193573;-121167.08349267629;-0.7983076788559506;;cbow;Moyenne;TFIDF
9;full;0.06967462348607485;3512.0958780023507;-121046.42682136541;-0.7380190480851326;;cbow;Moyenne;TFIDF
10;full;0.05697114906065654;3120.8496273550945;-121030.77287223478;-0.7104514254960289;;cbow;Moyenne;TFIDF
11;full;0.07409878504035404;3426.7403967892706;-120914.76119991548;-0.6689488862274098;;cbow;Moyenne;TFIDF
12;full;0.10372260782697486;3984.5953111885246;-120750.32831309749;-0.6699665385137666;;cbow;Moyenne;TFIDF
4;full;0.17999325803881944;4185.631234489746;-120714.69133642476;-0.8042916621215408;;cbow;Moyenne;TFIDF
5;full;0.13328725045210088;3951.2799690331335;-120693.72544381327;-0.7831853446947447;;cbow;Moyenne;TFIDF
13;full;0.06638055503841796;3704.158780079173;-120665.82133795523;-0.6258584449770611;;cbow;Moyenne;TFIDF
14;full;0.041796686197376386;2873.9186373859206;-120651.82832502732;-0.648509903095342;;cbow;Moyenne;TFIDF
3;full;0.24581406558997393;4941.974568830769;-120227.75293192228;-0.7933564076725462;;cbow;Moyenne;TFIDF
2;full;0.33566695438619193;4217.278701056875;-118610.88292477456;-0.624970059755797;;cbow;Moyenne;TFIDF
14;tied;0.23703056414783796;1811.6752159269465;-118450.82303162759;-0.7479764443049087;;cbow;Moyenne;TFIDF
13;tied;0.26218588962185546;2552.225746385637;-117856.89670074744;-0.7247930021529609;;cbow;Moyenne;TFIDF
12;tied;0.263733247178387;2688.9909019995257;-117628.09560077736;-0.7549470549660329;;cbow;Moyenne;TFIDF
14;diag;0.09508814090270287;5277.733724421849;-116921.33690374081;-0.6844873996315276;;cbow;Moyenne;TFIDF
11;tied;0.19887082151250693;2597.974527580428;-116772.50694860384;-0.768183296511313;;cbow;Moyenne;TFIDF
