K;covariance;silhouette;Cal-Harabasz;BIC;DBCV;perplexity;wordEmbedding;docEmbedding;docEmbedding2
4;spherical;0.12805831331062675;77.71871147583087;-33309017.559039883;-0.7316564045249819;;glove;Moyenne;TFIDF
5;spherical;0.12914270130393682;65.76690592204868;-33308163.176165175;-0.730570973271058;;glove;Moyenne;TFIDF
3;spherical;0.1974763793127077;80.26937227740669;-33307257.126697805;-0.7548852577352572;;glove;Moyenne;TFIDF
6;spherical;0.12982754192775;57.69900450279417;-33307140.133075614;-0.7307724573155996;;glove;Moyenne;TFIDF
7;spherical;0.12954772140457704;51.88899637828031;-33305663.207453046;-0.7276587751699934;;glove;Moyenne;TFIDF
2;spherical;0.2367821302373382;76.93306724032381;-33304179.141815662;-0.7860819473602961;;glove;Moyenne;TFIDF
8;spherical;0.1305230350844884;46.04720316257521;-33303787.749416105;-0.7289033415690345;;glove;Moyenne;TFIDF
9;spherical;0.12173656161513205;44.14115274640517;-33302774.517838597;-0.7270431680242062;;glove;Moyenne;TFIDF
10;spherical;0.12162888422892403;39.536737495154895;-33300212.113551337;;;glove;Moyenne;TFIDF
3;diag;0.20066186037210282;81.13842339797822;-33299512.61780107;-0.7548424496112207;;glove;Moyenne;TFIDF
4;diag;0.1274037685120295;77.95604988970102;-33298352.75212676;-0.7315649134784231;;glove;Moyenne;TFIDF
2;diag;0.4182835244481367;59.25289511781839;-33298101.472835984;-0.2652054102662276;;glove;Moyenne;TFIDF
11;spherical;0.03459186003127714;36.81996068086035;-33297560.84321854;-0.7234258651023903;;glove;Moyenne;TFIDF
12;spherical;0.0824510007501058;36.46270301219947;-33297208.825342;-0.7240953594236719;;glove;Moyenne;TFIDF
5;diag;0.12803333266731562;66.32645617531233;-33294852.392181482;-0.7303802810104577;;glove;Moyenne;TFIDF
13;spherical;0.040098750289877735;37.00919653228689;-33294140.123684723;-0.6854234031901385;;glove;Moyenne;TFIDF
14;spherical;0.04038395963530992;35.2326766363817;-33292309.440538738;-0.6828701427660016;;glove;Moyenne;TFIDF
6;diag;0.12866907694079632;58.14687212376442;-33291052.397945903;-0.7296522025407772;;glove;Moyenne;TFIDF
7;diag;0.12868759268442714;52.32176539568817;-33286920.06934414;-0.7280780674743035;;glove;Moyenne;TFIDF
8;diag;0.12103802985151028;48.38854893838008;-33282975.801016804;-0.7273426346201647;;glove;Moyenne;TFIDF
