K;covariance;silhouette;Cal-Harabasz;BIC;DBCV;perplexity;wordEmbedding;docEmbedding;docEmbedding2
13;full;0.049033417692436666;1825.3364497575171;-79282.41685052225;-0.6925050613625873;;skipgram;Moyenne;TFIDF
12;full;0.07930125374688105;2092.2176780001687;-79176.59194612039;-0.7057853805544558;;skipgram;Moyenne;TFIDF
14;full;0.040897656262050205;1831.7389301190897;-79111.8399497411;-0.6863712225367523;;skipgram;Moyenne;TFIDF
11;full;0.09437169062532837;2193.142928780913;-78999.6504605117;-0.7015165437744117;;skipgram;Moyenne;TFIDF
9;full;0.061797718015236196;1896.982205723958;-78890.00826947967;-0.7186614888216374;;skipgram;Moyenne;TFIDF
10;full;0.08265823000437697;2192.079007885932;-78843.03370156749;-0.7161990620511061;;skipgram;Moyenne;TFIDF
8;full;0.0699038577663301;2071.1651998411126;-78578.69814166438;-0.7272168603551106;;skipgram;Moyenne;TFIDF
7;full;0.11958604493030159;2140.3719104062384;-78408.22894003759;-0.7151210175908649;;skipgram;Moyenne;TFIDF
6;full;0.14482182126309626;2316.2802533853305;-77930.4947465091;-0.7323245308988131;;skipgram;Moyenne;TFIDF
5;full;0.1160728665354695;2575.3551004080773;-76682.61624498853;-0.7422960419289688;;skipgram;Moyenne;TFIDF
4;full;0.1240252924932008;2653.7299545105625;-75592.98943692441;-0.7251028128184234;;skipgram;Moyenne;TFIDF
3;full;0.2126768803346875;3328.5823580219176;-74467.88648888227;-0.7481612940517314;;skipgram;Moyenne;TFIDF
14;diag;0.17247814482809257;2959.115586115731;-72475.67230442155;-0.6598528270401597;;skipgram;Moyenne;TFIDF
13;diag;0.16003411564749795;3139.3156730324868;-72258.76211358544;-0.6780207892037798;;skipgram;Moyenne;TFIDF
12;diag;0.1613285640127352;3166.875364538817;-72057.56688878793;-0.6748303914279264;;skipgram;Moyenne;TFIDF
11;diag;0.18948026281897626;3384.7298527957514;-71372.91388101593;-0.6690229032282106;;skipgram;Moyenne;TFIDF
14;tied;0.19288356474326435;2008.0294162499474;-71115.17080619652;-0.6595549786161848;;skipgram;Moyenne;TFIDF
2;full;0.35214094339982766;2869.4114900632017;-70401.46298313364;-0.627127140009062;;skipgram;Moyenne;TFIDF
10;diag;0.22627361635379853;3578.1124316912646;-70216.37408813424;-0.679064119477059;;skipgram;Moyenne;TFIDF
13;tied;0.20932045340581829;2713.4413583465926;-70196.43479429334;-0.6749862058645945;;skipgram;Moyenne;TFIDF
12;tied;0.19862475132241536;2249.9727995299672;-70112.46856520754;-0.7181061187778855;;skipgram;Moyenne;TFIDF
14;spherical;0.17633401863007295;3248.239466165279;-69921.7551399485;-0.655785350032823;;skipgram;Moyenne;TFIDF
9;diag;0.23146873283995667;3657.5436284097323;-69762.0208607512;-0.7173058595773579;;skipgram;Moyenne;TFIDF
13;spherical;0.19551937297752894;3400.0399331487984;-69351.1761830585;-0.6547011502860781;;skipgram;Moyenne;TFIDF
8;diag;0.22268204498392105;3608.8960884934318;-69087.03732844202;-0.7355721013540045;;skipgram;Moyenne;TFIDF
11;tied;0.20672485650736538;2597.5473367858976;-69071.07798620447;-0.6699297871180225;;skipgram;Moyenne;TFIDF
12;spherical;0.17624328588468446;3486.9148406653594;-68817.10495767507;-0.6708117050986827;;skipgram;Moyenne;TFIDF
7;diag;0.2093197948691879;3679.17820861218;-68318.23914826162;-0.7053719392352651;;skipgram;Moyenne;TFIDF
11;spherical;0.2088730794653009;3707.450437432886;-68236.7218602657;-0.6662568246699447;;skipgram;Moyenne;TFIDF
10;tied;0.22284239374887227;2811.5121560051657;-68003.38853498774;-0.717838148588797;;skipgram;Moyenne;TFIDF
9;tied;0.21411449571646202;2902.0506586602096;-67028.34865727898;-0.7128647157858601;;skipgram;Moyenne;TFIDF
