K;covariance;silhouette;Cal-Harabasz;BIC;DBCV;perplexity;wordEmbedding;docEmbedding;docEmbedding2
13;full;0.2861258388547932;6413.924344284737;187039.772379209;-0.7426615112138066;50;skipgram;WMD;Distance
14;full;0.33330412081423827;8208.369359819855;187322.47677231504;-0.7241218763811158;50;skipgram;WMD;Distance
12;full;0.35011196544350115;8116.315150350862;187450.18983028815;-0.7337584005248113;50;skipgram;WMD;Distance
14;diag;0.3008604391560772;7280.894111006338;187451.45405674825;-0.7134107759403073;50;skipgram;WMD;Distance
13;diag;0.3686349550475931;8683.590075482354;187460.46787280528;-0.7288646160472105;50;skipgram;WMD;Distance
13;spherical;0.37020559991067226;8908.165766233707;187691.31458511835;-0.7231230660501548;50;skipgram;WMD;Distance
11;full;0.3303092276809647;7689.800100763528;187796.1013395565;-0.7324192398934725;50;skipgram;WMD;Distance
12;diag;0.3675626279476484;8887.240636707442;187822.78459889392;-0.7450237412725819;50;skipgram;WMD;Distance
14;spherical;0.3682305332334526;9174.172905657013;187896.597338947;-0.7271271274403383;50;skipgram;WMD;Distance
10;full;0.3742774429645315;8591.63099599496;187908.3534825745;-0.730748576689025;50;skipgram;WMD;Distance
10;diag;0.37354257527216495;8743.29334070909;188100.89691304573;-0.7563867075723824;50;skipgram;WMD;Distance
9;full;0.359972524393707;8385.945094940766;188151.36500346384;-0.7530665074959186;50;skipgram;WMD;Distance
12;spherical;0.36667391010845607;9074.519656855615;188173.71615297638;-0.737117320877683;50;skipgram;WMD;Distance
8;full;0.3307505536136171;7454.863505575647;188324.6368087028;-0.7726579817562932;50;skipgram;WMD;Distance
11;diag;0.3478177915560096;8850.781460872271;188420.04315121975;-0.759153681261416;50;skipgram;WMD;Distance
10;spherical;0.3749809004171581;8977.89345336958;188506.62950023095;-0.7283880454735462;50;skipgram;WMD;Distance
11;spherical;0.3520072166556193;8697.778751056558;188553.67645082707;-0.7974764472687762;50;skipgram;WMD;Distance
14;tied;0.3879334992153087;9929.458532748346;188624.5764713541;-0.7590771353198696;50;skipgram;WMD;Distance
13;tied;0.39059657685433635;9641.26343648659;188680.74865175644;-0.7705925717994778;50;skipgram;WMD;Distance
9;diag;0.3799432496238397;9290.027477422285;188704.68561443075;-0.7723914331738313;50;skipgram;WMD;Distance
12;tied;0.3944049857876974;9950.251745752019;188788.8940889191;-0.790002527216229;50;skipgram;WMD;Distance
7;full;0.35705881570097975;8655.080259014852;188814.22430440594;-0.7922606454503162;50;skipgram;WMD;Distance
8;diag;0.338659916649466;8324.992718587557;188818.56112927198;-0.8155636179609435;50;skipgram;WMD;Distance
9;spherical;0.35055300194407907;8772.6672649275;188999.780520122;-0.7589528016387843;50;skipgram;WMD;Distance
8;spherical;0.31894709888000683;7836.291008259055;189011.44382179892;-0.7988666486810073;50;skipgram;WMD;Distance
11;tied;0.3920056145182855;9967.598733747076;189012.95515833903;-0.6890206232959385;50;skipgram;WMD;Distance
7;diag;0.3592851813449744;8791.197976820422;189088.33325278445;-0.7694354739896253;50;skipgram;WMD;Distance
10;tied;0.38724127700469896;9920.61858628956;189169.08528010413;-0.756851203018046;50;skipgram;WMD;Distance
6;full;0.35351173575620926;8467.079881640548;189217.00907174882;-0.8175368579857094;50;skipgram;WMD;Distance
6;diag;0.3629310423925069;8792.321698001153;189315.86983938998;-0.8197055789423501;50;skipgram;WMD;Distance
7;spherical;0.3618363254312374;8751.930059672768;189402.99346195228;-0.804064290703713;50;skipgram;WMD;Distance
5;full;0.3533677341735542;8336.317602447018;189421.81228488742;-0.8554981155068264;50;skipgram;WMD;Distance
9;tied;0.39157914093730867;9770.824534561641;189440.9434945943;-0.7750847571801432;50;skipgram;WMD;Distance
5;diag;0.37044648156470755;7728.939769160158;189459.39606505266;-0.8350870046653982;50;skipgram;WMD;Distance
6;spherical;0.3595099354585685;8758.103011455803;189647.44970616073;-0.7935875728548977;50;skipgram;WMD;Distance
5;spherical;0.3613159955984205;8744.026325201912;189777.7551420594;-0.8179428087809177;50;skipgram;WMD;Distance
8;tied;0.3603016406045617;8975.916191561864;189783.18573603872;-0.7912583969723338;50;skipgram;WMD;Distance
7;tied;0.3446200386267124;8559.726439792426;189863.82725101942;-0.7658076850706235;50;skipgram;WMD;Distance
4;full;0.40151387328913574;9041.33912383609;189901.86842743165;-0.8002800173192117;50;skipgram;WMD;Distance
4;diag;0.4026470747489013;8945.652346698063;189955.50510139702;-0.8190022328771632;50;skipgram;WMD;Distance
6;tied;0.3635857871946152;8945.853078887658;189985.30338893138;-0.809186732933906;50;skipgram;WMD;Distance
4;spherical;0.41048066708772046;8611.94410343444;190003.5401717059;-0.8096511363554182;50;skipgram;WMD;Distance
5;tied;0.35490784379069246;8684.122053776384;190264.78254234465;-0.841304942294042;50;skipgram;WMD;Distance
3;full;0.39774477198368197;8025.599750789114;190348.31053271267;-0.8575528084491393;50;skipgram;WMD;Distance
4;tied;0.40152004228510163;9141.718562376735;190481.3305837197;-0.8197862695757827;50;skipgram;WMD;Distance
3;diag;0.38279579628241867;7433.360461156418;191134.8315270042;-0.8568174161674322;50;skipgram;WMD;Distance
3;tied;0.3904997719851809;7600.8572801086375;191560.78604575509;-0.8887373413666378;50;skipgram;WMD;Distance
3;spherical;0.34423335432806546;7530.526651771817;191608.02988188592;-0.8789906154107003;50;skipgram;WMD;Distance
2;diag;0.41429017892107184;8785.50608875647;191988.4331304175;-0.9018380999799731;50;skipgram;WMD;Distance
2;spherical;0.4147907055018099;8809.825323390409;191992.54761684893;-0.881613512549305;50;skipgram;WMD;Distance
2;full;0.41541666203058797;8835.461173449983;191997.90388268713;-0.8875189470690276;50;skipgram;WMD;Distance
2;tied;0.41588806408242673;8828.111878856123;192048.052687028;-0.8296640906720334;50;skipgram;WMD;Distance
14;diag;0.3396868492098942;8190.643713946189;178694.7192268768;-0.7361110553884194;75;skipgram;WMD;Distance
14;full;0.3471881403837101;8415.606363942932;178726.39187172565;-0.7034761293716715;75;skipgram;WMD;Distance
14;spherical;0.3446685378070707;8341.612694531568;178754.7271921235;-0.7206378191856706;75;skipgram;WMD;Distance
12;full;0.35857476455955073;8267.463851188042;178762.42475098718;-0.6822310538730871;75;skipgram;WMD;Distance
13;full;0.364664120354498;8620.631211117901;178766.2915843664;-0.6821008904178795;75;skipgram;WMD;Distance
11;full;0.34039803458157436;7412.516795834036;178780.72669147543;-0.7402746437849562;75;skipgram;WMD;Distance
13;diag;0.33780306953617656;7964.487561582309;178954.1980764804;-0.7505266079048254;75;skipgram;WMD;Distance
11;spherical;0.34618855200474574;7593.166917051242;178984.03625667823;-0.7851981068670159;75;skipgram;WMD;Distance
12;diag;0.3593207125957195;8392.93955592535;178985.1417493705;-0.7056579147431309;75;skipgram;WMD;Distance
13;spherical;0.3495984550192079;8428.310386682228;178999.2660637941;-0.7317862014427504;75;skipgram;WMD;Distance
12;spherical;0.3682155084789429;8761.44350067103;179062.36046267656;-0.7452268889553327;75;skipgram;WMD;Distance
10;full;0.3297119078616666;7612.361108094921;179256.3997367793;-0.7635999332823691;75;skipgram;WMD;Distance
10;diag;0.35173666519509583;7702.146824949666;179284.3730721819;-0.7439433040532976;75;skipgram;WMD;Distance
10;spherical;0.34603562560310047;7610.0839896619755;179296.02920307356;-0.7552560284082028;75;skipgram;WMD;Distance
11;diag;0.3713574973540777;8725.748257246612;179453.11455489454;-0.7394037334927851;75;skipgram;WMD;Distance
9;full;0.36011720985512585;8303.807815069229;179760.7765419668;-0.7676059841211131;75;skipgram;WMD;Distance
9;diag;0.35062784590402324;8101.040356611925;179820.12199563664;-0.7664510954921536;75;skipgram;WMD;Distance
9;spherical;0.3488496147169522;8122.333378491052;179985.85706963245;-0.7506151896991275;75;skipgram;WMD;Distance
14;tied;0.4016027948238287;10407.856001894796;180004.32205642128;-0.7571005480134101;75;skipgram;WMD;Distance
13;tied;0.39523148603172914;10232.233791952789;180042.63199141333;-0.7608099100272046;75;skipgram;WMD;Distance
8;spherical;0.3590649854347041;7957.079701584304;180044.687778567;-0.7604510271481205;75;skipgram;WMD;Distance
8;diag;0.3654943698324214;8083.471186119014;180068.67846439322;-0.764253539518324;75;skipgram;WMD;Distance
8;full;0.3467185181183876;8358.375717240708;180122.14102626144;-0.8016875802451102;75;skipgram;WMD;Distance
12;tied;0.3895014524335935;9804.749327136635;180193.3119366199;-0.7960053548907939;75;skipgram;WMD;Distance
7;full;0.3575179101982279;8589.97245836343;180420.4276211935;-0.8200209566275355;75;skipgram;WMD;Distance
11;tied;0.3666214371045184;9141.157110963053;180449.47167996847;-0.7980177374917473;75;skipgram;WMD;Distance
10;tied;0.36295223398489734;9033.67430154258;180646.9875353196;-0.7957698189417761;75;skipgram;WMD;Distance
7;spherical;0.35180277360876255;8496.362802778554;180672.91827498112;-0.7920842352944824;75;skipgram;WMD;Distance
7;diag;0.3595408121352209;8719.749133150615;180703.65286214618;-0.7706066411108523;75;skipgram;WMD;Distance
