K;covariance;silhouette;Cal-Harabasz;BIC;DBCV;perplexity;wordEmbedding;docEmbedding;docEmbedding2
3;full;-0.00628945677487573;239.8136325147818;4258660.223144009;-0.41743943930282323;;skipgram;WMD;MDS
4;full;-0.019166120947423166;329.65756518532777;4259827.54236036;-0.4039813455138398;;skipgram;WMD;MDS
5;full;-0.06491744331804762;345.72837069985167;4263601.171411787;-0.46271847086281653;;skipgram;WMD;MDS
6;full;-0.055991157440735906;525.5050390518624;4269671.05838835;-0.4313665638893076;;skipgram;WMD;MDS
2;full;0.11978128143977072;277.7568447322314;4271426.508330757;-0.3489061698286734;;skipgram;WMD;MDS
7;full;-0.06965786638282762;431.31185042522264;4278225.189967744;-0.40462860349449303;;skipgram;WMD;MDS
8;full;-0.06379290770638554;368.636485917455;4286720.560885644;-0.4262711893542963;;skipgram;WMD;MDS
9;full;-0.0667259792013913;390.3498589463334;4295916.684039545;-0.4161346395721915;;skipgram;WMD;MDS
10;full;-0.0574676824336944;375.86864049845747;4301711.649947041;-0.4413947719576748;;skipgram;WMD;MDS
11;full;-0.0599117925656707;393.9039361554166;4312343.074735989;-0.40659805572787766;;skipgram;WMD;MDS
12;full;-0.060974337416226924;353.7977315590402;4322350.932332175;-0.4097545017538824;;skipgram;WMD;MDS
14;tied;0.07680190651835499;434.96122624338284;4326730.3336495515;;;skipgram;WMD;MDS
13;tied;0.06143876626962608;471.9537089691097;4327497.082608172;-0.5269409813403405;;skipgram;WMD;MDS
12;tied;0.06970427298185557;498.8070993965795;4327726.623414778;-0.5282056895107684;;skipgram;WMD;MDS
11;tied;0.0693506371199944;536.6882275747323;4328847.141198018;-0.5370635630528582;;skipgram;WMD;MDS
10;tied;0.08297750429717797;586.3571128366681;4329239.148205301;-0.5381160327817017;;skipgram;WMD;MDS
8;tied;0.09001738679499258;635.517269412469;4331321.461129111;-0.5974396587795808;;skipgram;WMD;MDS
9;tied;0.08043816607996994;635.8434326221566;4331392.436023786;-0.5595871451552987;;skipgram;WMD;MDS
13;full;-0.058346647874516995;355.99278313476316;4331958.382647348;-0.4243229554673238;;skipgram;WMD;MDS
7;tied;0.1100893111135616;685.4934522373524;4332083.7391564045;-0.5924053383274493;;skipgram;WMD;MDS
6;tied;0.10652081327265074;739.1729663942515;4333504.791769818;-0.6000355040812319;;skipgram;WMD;MDS
5;tied;0.12346453568759003;834.2596051553816;4335699.577554602;-0.6156181507612226;;skipgram;WMD;MDS
4;tied;0.08977983728812568;1104.1345049328147;4339070.802770951;-0.6573437577602452;;skipgram;WMD;MDS
14;full;-0.05161491810054156;356.109687451725;4339920.409301073;-0.40661748515067;;skipgram;WMD;MDS
3;tied;0.13460491118549253;1540.5675815070501;4340902.287755764;-0.7242942615893746;;skipgram;WMD;MDS
2;tied;0.38365390501194035;2147.3076355630787;4341957.081154264;-0.6676194030994784;;skipgram;WMD;MDS
14;diag;-0.00225166139604991;496.33875802333375;4357280.690062013;-0.49297044700110515;;skipgram;WMD;MDS
