voisinage;min_cluster_size;distance;K;silhouette;Cal-Harabasz;DBCV;non_classes;perplexity;wordEmbedding;docEmbedding;docEmbedding2
6;10;euclidean;3;0.23478815484726898;29.940310037056527;0.14053176761348868;542;;glove;Moyenne;TFIDF
7;10;euclidean;3;0.23346225062645307;30.237271873403916;0.13981164064302246;588;;glove;Moyenne;TFIDF
25;10;euclidean;3;-0.13669549572110493;6.510435522228143;0.0069674481092418545;9204;;glove;Moyenne;TFIDF
16;14;euclidean;3;-0.13809801076641381;12.632673488214405;0.006379206665052816;9264;;glove;Moyenne;TFIDF
16;13;euclidean;3;-0.13809801076641381;12.632673488214405;0.006379206665052816;9264;;glove;Moyenne;TFIDF
16;12;euclidean;3;-0.13809801076641381;12.632673488214405;0.006379206665052816;9264;;glove;Moyenne;TFIDF
16;11;euclidean;3;-0.13809801076641381;12.632673488214405;0.006379206665052816;9264;;glove;Moyenne;TFIDF
16;10;euclidean;3;-0.13809801076641381;12.632673488214405;0.006379206665052816;9264;;glove;Moyenne;TFIDF
18;11;euclidean;3;-0.13519013478931896;10.907101277501852;0.006310087058438069;9204;;glove;Moyenne;TFIDF
18;12;euclidean;3;-0.13519013478931896;10.907101277501852;0.006310087058438069;9204;;glove;Moyenne;TFIDF
18;13;euclidean;3;-0.13519013478931896;10.907101277501852;0.006310087058438069;9204;;glove;Moyenne;TFIDF
18;14;euclidean;3;-0.13519013478931896;10.907101277501852;0.006310087058438069;9204;;glove;Moyenne;TFIDF
18;10;euclidean;3;-0.13519013478931896;10.907101277501852;0.006310087058438069;9204;;glove;Moyenne;TFIDF
15;11;euclidean;3;-0.136943967759357;14.401425013806428;0.0062822097321406445;9259;;glove;Moyenne;TFIDF
15;10;euclidean;3;-0.136943967759357;14.401425013806428;0.0062822097321406445;9259;;glove;Moyenne;TFIDF
15;13;euclidean;3;-0.136943967759357;14.401425013806428;0.0062822097321406445;9259;;glove;Moyenne;TFIDF
15;14;euclidean;3;-0.136943967759357;14.401425013806428;0.0062822097321406445;9259;;glove;Moyenne;TFIDF
15;12;euclidean;3;-0.136943967759357;14.401425013806428;0.0062822097321406445;9259;;glove;Moyenne;TFIDF
22;10;euclidean;3;-0.13625646664624727;8.670380790489524;0.005680486203832926;9208;;glove;Moyenne;TFIDF
22;11;euclidean;3;-0.13625646664624727;8.670380790489524;0.005680486203832926;9208;;glove;Moyenne;TFIDF
22;13;euclidean;3;-0.13625646664624727;8.670380790489524;0.005680486203832926;9208;;glove;Moyenne;TFIDF
22;12;euclidean;3;-0.13625646664624727;8.670380790489524;0.005680486203832926;9208;;glove;Moyenne;TFIDF
23;11;euclidean;3;-0.13679585959613044;6.8926763329780725;0.005603845201291514;9210;;glove;Moyenne;TFIDF
23;10;euclidean;3;-0.13679585959613044;6.8926763329780725;0.005603845201291514;9210;;glove;Moyenne;TFIDF
14;11;euclidean;3;-0.13910929817436007;14.718836021270953;0.005421115933657107;9289;;glove;Moyenne;TFIDF
14;10;euclidean;3;-0.13910929817436007;14.718836021270953;0.005421115933657107;9289;;glove;Moyenne;TFIDF
14;14;euclidean;3;-0.13910929817436007;14.718836021270953;0.005421115933657107;9289;;glove;Moyenne;TFIDF
14;13;euclidean;3;-0.13910929817436007;14.718836021270953;0.005421115933657107;9289;;glove;Moyenne;TFIDF
14;12;euclidean;3;-0.13910929817436007;14.718836021270953;0.005421115933657107;9289;;glove;Moyenne;TFIDF
17;14;euclidean;3;-0.13427157328968847;11.936243270891504;0.004704386807429719;9191;;glove;Moyenne;TFIDF
17;13;euclidean;3;-0.13427157328968847;11.936243270891504;0.004704386807429719;9191;;glove;Moyenne;TFIDF
17;12;euclidean;3;-0.13427157328968847;11.936243270891504;0.004704386807429719;9191;;glove;Moyenne;TFIDF
17;11;euclidean;3;-0.13427157328968847;11.936243270891504;0.004704386807429719;9191;;glove;Moyenne;TFIDF
17;10;euclidean;3;-0.13427157328968847;11.936243270891504;0.004704386807429719;9191;;glove;Moyenne;TFIDF
19;12;euclidean;3;-0.13622993526639163;10.320724262309035;0.004367672674756173;9216;;glove;Moyenne;TFIDF
19;10;euclidean;3;-0.13622993526639163;10.320724262309035;0.004367672674756173;9216;;glove;Moyenne;TFIDF
19;13;euclidean;3;-0.13622993526639163;10.320724262309035;0.004367672674756173;9216;;glove;Moyenne;TFIDF
19;14;euclidean;3;-0.13622993526639163;10.320724262309035;0.004367672674756173;9216;;glove;Moyenne;TFIDF
19;11;euclidean;3;-0.13622993526639163;10.320724262309035;0.004367672674756173;9216;;glove;Moyenne;TFIDF
9;10;euclidean;3;-0.09186471057579838;8.261417532787735;0.004336030131812798;8725;;glove;Moyenne;TFIDF
9;11;euclidean;3;-0.13675480139119303;20.135631545138935;0.004168107293782582;9357;;glove;Moyenne;TFIDF
9;12;euclidean;3;-0.13675480139119303;20.135631545138935;0.004168107293782582;9357;;glove;Moyenne;TFIDF
9;13;euclidean;3;-0.13675480139119303;20.135631545138935;0.004168107293782582;9357;;glove;Moyenne;TFIDF
9;14;euclidean;3;-0.13675480139119303;20.135631545138935;0.004168107293782582;9357;;glove;Moyenne;TFIDF
20;11;euclidean;3;-0.13512659233256483;10.387964701240184;0.004165909208107761;9194;;glove;Moyenne;TFIDF
20;12;euclidean;3;-0.13512659233256483;10.387964701240184;0.004165909208107761;9194;;glove;Moyenne;TFIDF
20;10;euclidean;3;-0.13512659233256483;10.387964701240184;0.004165909208107761;9194;;glove;Moyenne;TFIDF
20;14;euclidean;3;-0.13512659233256483;10.387964701240184;0.004165909208107761;9194;;glove;Moyenne;TFIDF
20;13;euclidean;3;-0.13512659233256483;10.387964701240184;0.004165909208107761;9194;;glove;Moyenne;TFIDF
21;14;euclidean;3;-0.13575945928956978;8.951403472533014;0.004019504205343323;9202;;glove;Moyenne;TFIDF
21;13;euclidean;3;-0.13575945928956978;8.951403472533014;0.004019504205343323;9202;;glove;Moyenne;TFIDF
21;12;euclidean;3;-0.13575945928956978;8.951403472533014;0.004019504205343323;9202;;glove;Moyenne;TFIDF
21;11;euclidean;3;-0.13575945928956978;8.951403472533014;0.004019504205343323;9202;;glove;Moyenne;TFIDF
21;10;euclidean;3;-0.13575945928956978;8.951403472533014;0.004019504205343323;9202;;glove;Moyenne;TFIDF
24;10;euclidean;3;-0.1372696411120233;6.102522977770845;0.003843191706610236;9210;;glove;Moyenne;TFIDF
12;10;euclidean;3;-0.14242499705765538;16.430764668424516;0.003607213599344684;9380;;glove;Moyenne;TFIDF
12;11;euclidean;3;-0.14242499705765538;16.430764668424516;0.003607213599344684;9380;;glove;Moyenne;TFIDF
12;12;euclidean;3;-0.14242499705765538;16.430764668424516;0.003607213599344684;9380;;glove;Moyenne;TFIDF
12;13;euclidean;3;-0.14242499705765538;16.430764668424516;0.003607213599344684;9380;;glove;Moyenne;TFIDF
12;14;euclidean;3;-0.14242499705765538;16.430764668424516;0.003607213599344684;9380;;glove;Moyenne;TFIDF
8;10;euclidean;3;-0.08808245643251907;11.055231245099307;0.0035685961556520835;8682;;glove;Moyenne;TFIDF
8;11;euclidean;3;-0.08808245643251907;11.055231245099307;0.0035685961556520835;8682;;glove;Moyenne;TFIDF
8;12;euclidean;3;-0.08808245643251907;11.055231245099307;0.0035685961556520835;8682;;glove;Moyenne;TFIDF
8;13;euclidean;3;-0.08808245643251907;11.055231245099307;0.0035685961556520835;8682;;glove;Moyenne;TFIDF
8;14;euclidean;3;-0.08808245643251907;11.055231245099307;0.0035685961556520835;8682;;glove;Moyenne;TFIDF
13;12;euclidean;3;-0.14126509482864397;16.069391468198045;0.0028551111941618732;9331;;glove;Moyenne;TFIDF
13;10;euclidean;3;-0.14126509482864397;16.069391468198045;0.0028551111941618732;9331;;glove;Moyenne;TFIDF
13;14;euclidean;3;-0.14126509482864397;16.069391468198045;0.0028551111941618732;9331;;glove;Moyenne;TFIDF
13;13;euclidean;3;-0.14126509482864397;16.069391468198045;0.0028551111941618732;9331;;glove;Moyenne;TFIDF
13;11;euclidean;3;-0.14126509482864397;16.069391468198045;0.0028551111941618732;9331;;glove;Moyenne;TFIDF
2;10;euclidean;4;-0.05239174176841084;5.3475499954090555;0.0027044415683911568;6518;;glove;Moyenne;TFIDF
2;11;euclidean;4;-0.05239174176841084;5.3475499954090555;0.0027044415683911568;6518;;glove;Moyenne;TFIDF
6;14;euclidean;4;-0.1224474187498775;24.334550339420556;0.002466131388328293;9269;;glove;Moyenne;TFIDF
6;13;euclidean;4;-0.1224474187498775;24.334550339420556;0.002466131388328293;9269;;glove;Moyenne;TFIDF
6;12;euclidean;4;-0.1224474187498775;24.334550339420556;0.002466131388328293;9269;;glove;Moyenne;TFIDF
6;11;euclidean;4;-0.1224474187498775;24.334550339420556;0.002466131388328293;9269;;glove;Moyenne;TFIDF
7;11;euclidean;4;-0.1297242161389914;20.44901787704606;0.0021200360596163453;9314;;glove;Moyenne;TFIDF
