voisinage;min_cluster_size;distance;K;silhouette;Cal-Harabasz;DBCV;non_classes;perplexity;wordEmbedding;docEmbedding;docEmbedding2
12;10;euclidean;3;0.5455633070472723;689.0887959948088;0.25900213324883065;388;;skipgram;Moyenne;TF
12;11;euclidean;3;0.5455633070472723;689.0887959948088;0.25900213324883065;388;;skipgram;Moyenne;TF
13;10;euclidean;3;0.5409567049185584;673.7299599867879;0.17983779480300713;406;;skipgram;Moyenne;TF
14;11;euclidean;3;0.5492604557339165;700.2353916104885;0.16418557621341798;382;;skipgram;Moyenne;TF
14;12;euclidean;3;0.5492604557339165;700.2353916104885;0.16418557621341798;382;;skipgram;Moyenne;TF
14;10;euclidean;3;0.5492604557339165;700.2353916104885;0.16418557621341798;382;;skipgram;Moyenne;TF
20;12;euclidean;3;0.2522067103742455;833.2826331621267;0.07534762058307437;2576;;skipgram;Moyenne;TF
20;11;euclidean;3;0.2522067103742455;833.2826331621267;0.07534762058307437;2576;;skipgram;Moyenne;TF
20;10;euclidean;3;0.2522067103742455;833.2826331621267;0.07534762058307437;2576;;skipgram;Moyenne;TF
16;11;euclidean;3;0.24234502885124096;809.7138867036371;0.07481602333057877;2637;;skipgram;Moyenne;TF
16;10;euclidean;3;0.24234502885124096;809.7138867036371;0.07481602333057877;2637;;skipgram;Moyenne;TF
16;13;euclidean;3;0.24234502885124096;809.7138867036371;0.07481602333057877;2637;;skipgram;Moyenne;TF
16;14;euclidean;3;0.24234502885124096;809.7138867036371;0.07481602333057877;2637;;skipgram;Moyenne;TF
16;12;euclidean;3;0.24234502885124096;809.7138867036371;0.07481602333057877;2637;;skipgram;Moyenne;TF
6;12;euclidean;6;0.1932074678347948;371.1155020401034;0.058455035248095505;2902;;skipgram;Moyenne;TF
6;13;euclidean;6;0.1932074678347948;371.1155020401034;0.058455035248095505;2902;;skipgram;Moyenne;TF
6;11;euclidean;6;0.1932074678347948;371.1155020401034;0.058455035248095505;2902;;skipgram;Moyenne;TF
6;10;euclidean;8;0.11569181142232371;289.9429890734589;0.058288266931083535;2882;;skipgram;Moyenne;TF
12;13;euclidean;3;0.22856427896905837;767.5337674320295;0.05285256981066659;2789;;skipgram;Moyenne;TF
12;12;euclidean;3;0.22856427896905837;767.5337674320295;0.05285256981066659;2789;;skipgram;Moyenne;TF
17;10;euclidean;3;0.24260392999745078;814.3372567215614;0.0396721139410974;2627;;skipgram;Moyenne;TF
17;11;euclidean;3;0.24260392999745078;814.3372567215614;0.0396721139410974;2627;;skipgram;Moyenne;TF
17;12;euclidean;3;0.24260392999745078;814.3372567215614;0.0396721139410974;2627;;skipgram;Moyenne;TF
18;13;euclidean;4;0.25681728289827394;650.7086367090426;0.013201125972873885;2452;;skipgram;Moyenne;TF
18;10;euclidean;4;0.25681728289827394;650.7086367090426;0.013201125972873885;2452;;skipgram;Moyenne;TF
18;11;euclidean;4;0.25681728289827394;650.7086367090426;0.013201125972873885;2452;;skipgram;Moyenne;TF
18;12;euclidean;4;0.25681728289827394;650.7086367090426;0.013201125972873885;2452;;skipgram;Moyenne;TF
19;10;euclidean;4;0.25284062843886007;626.8865394937944;0.012883597558891825;2505;;skipgram;Moyenne;TF
18;14;euclidean;3;0.26190185042143044;854.9001976574422;0.012060648436551222;2465;;skipgram;Moyenne;TF
19;11;euclidean;3;0.2578991575279151;846.9994598024456;0.012052634398257066;2515;;skipgram;Moyenne;TF
19;12;euclidean;3;0.2578991575279151;846.9994598024456;0.012052634398257066;2515;;skipgram;Moyenne;TF
19;13;euclidean;3;0.2578991575279151;846.9994598024456;0.012052634398257066;2515;;skipgram;Moyenne;TF
19;14;euclidean;3;0.2578991575279151;846.9994598024456;0.012052634398257066;2515;;skipgram;Moyenne;TF
11;14;euclidean;3;-0.3758776169922517;14.614917104251747;0.002385173368693148;9415;;skipgram;Moyenne;TF
28;12;euclidean;3;-0.3731097586887059;9.509394198658551;0.0021790301736668662;9445;;skipgram;Moyenne;TF
28;10;euclidean;3;-0.3731097586887059;9.509394198658551;0.0021790301736668662;9445;;skipgram;Moyenne;TF
28;11;euclidean;3;-0.3731097586887059;9.509394198658551;0.0021790301736668662;9445;;skipgram;Moyenne;TF
17;13;euclidean;3;-0.38394644570037956;16.700490504592644;0.0019845559984328323;9415;;skipgram;Moyenne;TF
17;14;euclidean;3;-0.38394644570037956;16.700490504592644;0.0019845559984328323;9415;;skipgram;Moyenne;TF
20;13;euclidean;3;-0.37609245555114523;19.60441072279661;0.001756879909247066;9400;;skipgram;Moyenne;TF
20;14;euclidean;3;-0.37609245555114523;19.60441072279661;0.001756879909247066;9400;;skipgram;Moyenne;TF
14;14;euclidean;3;-0.2634425019164377;36.34808226063869;0.0017313204370424187;9311;;skipgram;Moyenne;TF
14;13;euclidean;3;-0.2634425019164377;36.34808226063869;0.0017313204370424187;9311;;skipgram;Moyenne;TF
29;11;euclidean;3;-0.3742567488162085;8.816223271658481;0.0014055904518722657;9451;;skipgram;Moyenne;TF
