K;initialisation;nb_iter;tolerance;val_obj;silhouette;Cal-Harabasz;DBCV;clustering;perplexity;wordEmbedding;docEmbedding;docEmbedding2
2;k-means++;10;0.0001;388880685.71579194;0.2799550338882452;1208.0947441116182;-0.6125269454843054;kmeans;;cbow;WMD;MDS
2;random;10;0.0001;388880690.84814394;0.28004185857013064;1208.0939561676892;-0.612497539995939;kmeans;;cbow;WMD;MDS
3;random;10;0.0001;360664665.5983829;0.18291953879467066;1022.7658974816937;-0.8465290754806414;kmeans;;cbow;WMD;MDS
3;k-means++;10;0.0001;360664873.255116;0.18298342084845565;1022.7646185198365;-0.8465590439662531;kmeans;;cbow;WMD;MDS
4;random;10;0.0001;344167119.0763058;0.1788286032381861;866.1981851148497;-0.8267798714103607;kmeans;;cbow;WMD;MDS
4;k-means++;10;0.0001;344169707.7569187;0.1785115681714847;866.1684038315868;-0.8235263865651552;kmeans;;cbow;WMD;MDS
5;k-means++;10;0.0001;332846922.81710035;0.17728751827042052;752.4124679610691;-0.7795962796994724;kmeans;;cbow;WMD;MDS
5;random;10;0.0001;332849132.0028033;0.17695883422485031;752.3936170358367;-0.7794937322583327;kmeans;;cbow;WMD;MDS
6;k-means++;10;0.0001;323824032.31715304;0.16890421028977073;671.5498849105978;-0.7698177297084104;kmeans;;cbow;WMD;MDS
6;random;10;0.0001;323903676.93565786;0.17285140598966506;670.9175619455443;-0.7556662653253449;kmeans;;cbow;WMD;MDS
7;random;10;0.0001;316163940.7331863;0.14909623470995945;611.4602803509829;-0.7212014165437756;kmeans;;cbow;WMD;MDS
7;k-means++;10;0.0001;316407062.7425942;0.17227063710310955;609.7766616264263;-0.7627019633749167;kmeans;;cbow;WMD;MDS
8;random;10;0.0001;309137328.9592992;0.15054611118850114;566.7910539232003;-0.705162547403368;kmeans;;cbow;WMD;MDS
8;k-means++;10;0.0001;309403340.56651044;0.03758974216687533;565.1366393751891;-0.7663967320632029;kmeans;;cbow;WMD;MDS
9;random;10;0.0001;302819620.2744391;0.03376789538530814;530.9884993947073;-0.7336950329173819;kmeans;;cbow;WMD;MDS
9;k-means++;10;0.0001;302838187.7234621;0.033994049785229304;530.8833391889319;-0.7436188273168745;kmeans;;cbow;WMD;MDS
10;random;10;0.0001;297879404.48653954;0.03610738319669582;497.25639699450556;-0.7328132426120942;kmeans;;cbow;WMD;MDS
10;k-means++;10;0.0001;297947971.5813466;0.035500295212281;496.89985560446246;-0.734937256894974;kmeans;;cbow;WMD;MDS
11;random;10;0.0001;293500236.41993815;0.03657779754139535;468.32337967421614;-0.7188786781430321;kmeans;;cbow;WMD;MDS
11;k-means++;10;0.0001;293596140.4253731;0.036743538434716234;467.857041643542;-0.7250491719646589;kmeans;;cbow;WMD;MDS
12;k-means++;10;0.0001;289803561.57338053;0.03320524619963613;442.13587196324136;-0.7188284042490896;kmeans;;cbow;WMD;MDS
12;random;10;0.0001;289817380.638701;0.034214931562754056;442.07198111941534;-0.7121632914331828;kmeans;;cbow;WMD;MDS
13;random;10;0.0001;286059287.0919011;0.0356559961934961;420.90046684832214;-0.698936609028745;kmeans;;cbow;WMD;MDS
13;k-means++;10;0.0001;286303530.7914954;0.03455089383707452;419.8668867238354;-0.702118748793492;kmeans;;cbow;WMD;MDS
14;k-means++;10;0.0001;283176045.87309945;0.03302897497471695;399.8683933913502;-0.6930095845816472;kmeans;;cbow;WMD;MDS
14;random;10;0.0001;283216736.05459833;0.038591963319605495;399.70610098800995;-0.6863318745335169;kmeans;;cbow;WMD;MDS
11;random;10;0.0001;1499941.75;0.3792070740360339;9697.129931497011;-0.6909804335585679;kmeans;50;cbow;WMD;MDS
11;k-means++;10;0.0001;1500014.125;0.3794066180164673;9696.507977384827;-0.690770575909754;kmeans;50;cbow;WMD;MDS
7;k-means++;10;0.0001;2362760.5;0.40029557628484186;9686.314680988895;-0.7979279572991709;kmeans;50;cbow;WMD;MDS
7;random;10;0.0001;2362795.0;0.4003061005186597;9686.154031626453;-0.7977358979410119;kmeans;50;cbow;WMD;MDS
12;random;10;0.0001;1383842.125;0.3701240448408145;9626.445744938463;-0.6884167034399563;kmeans;50;cbow;WMD;MDS
12;k-means++;10;0.0001;1384004.5;0.36991959184067913;9625.27943841341;-0.6775352771018303;kmeans;50;cbow;WMD;MDS
13;k-means++;10;0.0001;1280505.0;0.3676538802087688;9599.391113790885;-0.70862414650596;kmeans;50;cbow;WMD;MDS
13;random;10;0.0001;1280731.25;0.36776939056816943;9597.382458149825;-0.7199041552615665;kmeans;50;cbow;WMD;MDS
14;k-means++;10;0.0001;1194851.125;0.3618448220623707;9547.602595194827;-0.695260527347709;kmeans;50;cbow;WMD;MDS
14;random;10;0.0001;1195766.75;0.3644699732074318;9540.154840775045;-0.6957825252340315;kmeans;50;cbow;WMD;MDS
10;random;10;0.0001;1675941.5;0.3719207609759509;9533.405650381052;-0.6833060160323329;kmeans;50;cbow;WMD;MDS
10;k-means++;10;0.0001;1676007.25;0.37140992526043815;9533.083332057397;-0.6947559683951273;kmeans;50;cbow;WMD;MDS
8;random;10;0.0001;2098882.0;0.3893556656875062;9515.91313477767;-0.7636041320387112;kmeans;50;cbow;WMD;MDS
8;k-means++;10;0.0001;2098915.25;0.3893394622630759;9515.694944268856;-0.7720306886594009;kmeans;50;cbow;WMD;MDS
9;k-means++;10;0.0001;1872816.375;0.3703211048588953;9473.690245136853;-0.7327056132396718;kmeans;50;cbow;WMD;MDS
9;random;10;0.0001;1873074.875;0.3700902105595716;9472.348732193355;-0.7293079002235231;kmeans;50;cbow;WMD;MDS
6;random;10;0.0001;2843600.25;0.40580270050207534;9338.018293300493;-0.7446524714271772;kmeans;50;cbow;WMD;MDS
6;k-means++;10;0.0001;2843689.25;0.40559131696636685;9337.714142108704;-0.7439780696091254;kmeans;50;cbow;WMD;MDS
5;random;10;0.0001;3508766.0;0.38181879510122657;9010.641359724881;-0.7903177976609507;kmeans;50;cbow;WMD;MDS
5;k-means++;10;0.0001;3508874.5;0.3823148172802759;9010.264237975804;-0.7334136973045347;kmeans;50;cbow;WMD;MDS
4;k-means++;10;0.0001;4512003.0;0.38778916393661217;8640.007270488672;-0.7744985851704334;kmeans;50;cbow;WMD;MDS
4;random;10;0.0001;4512025.0;0.38779707400957586;8639.982566517678;-0.7745128425252278;kmeans;50;cbow;WMD;MDS
3;k-means++;10;0.0001;6236133.0;0.39820327694386765;8064.839987302564;-0.7657792987893735;kmeans;50;cbow;WMD;MDS
3;random;10;0.0001;6236163.5;0.3982462165911308;8064.801575520648;-0.7238734191236598;kmeans;50;cbow;WMD;MDS
2;random;10;0.0001;10471771.0;0.3593474815745236;5764.3931163790985;-0.7764646792860114;kmeans;50;cbow;WMD;MDS
2;k-means++;10;0.0001;10471793.0;0.35931837750676676;5764.3519779450135;-0.7764218869577499;kmeans;50;cbow;WMD;MDS
7;k-means++;10;0.0001;1322050.75;0.40567917182682117;9770.264724891747;-0.7104896841619284;kmeans;75;cbow;WMD;MDS
7;random;10;0.0001;1322050.875;0.40567917182682117;9770.264724891747;-0.7104896841619284;kmeans;75;cbow;WMD;MDS
14;random;10;0.0001;663931.8125;0.36974990173400585;9696.18119978384;-0.6800172572863535;kmeans;75;cbow;WMD;MDS
14;k-means++;10;0.0001;663934.75;0.36986996967701274;9695.955846769039;-0.684988566742428;kmeans;75;cbow;WMD;MDS
8;k-means++;10;0.0001;1167292.5;0.38468195463047705;9663.779034556557;-0.7523525492738373;kmeans;75;cbow;WMD;MDS
8;random;10;0.0001;1167363.0;0.3845220166909747;9663.098505116483;-0.7571275523129384;kmeans;75;cbow;WMD;MDS
13;random;10;0.0001;720121.1875;0.36748209351169425;9623.954525609139;-0.6882240073138723;kmeans;75;cbow;WMD;MDS
13;k-means++;10;0.0001;720613.625;0.3681895821588649;9616.856217092814;-0.6818102362271583;kmeans;75;cbow;WMD;MDS
12;random;10;0.0001;783930.9375;0.3654231391970673;9574.970816036912;-0.676356256846115;kmeans;75;cbow;WMD;MDS
12;k-means++;10;0.0001;783935.0625;0.3653899188450049;9574.895785137605;-0.6684539701018403;kmeans;75;cbow;WMD;MDS
9;random;10;0.0001;1051935.875;0.3736646006991197;9512.08752376256;-0.717010493179896;kmeans;75;cbow;WMD;MDS
9;k-means++;10;0.0001;1051959.75;0.37371618818694735;9511.92250706186;-0.7095242896261219;kmeans;75;cbow;WMD;MDS
11;k-means++;10;0.0001;863408.75;0.367210875935805;9476.667444738066;-0.6606767475936338;kmeans;75;cbow;WMD;MDS
11;random;10;0.0001;863508.0;0.3678401320139797;9475.578733011804;-0.6991222854252647;kmeans;75;cbow;WMD;MDS
10;random;10;0.0001;957613.0;0.37371720578433165;9391.055379564588;-0.7104347204335351;kmeans;75;cbow;WMD;MDS
10;k-means++;10;0.0001;958281.875;0.36474031811897123;9383.670040590989;-0.7222141450806617;kmeans;75;cbow;WMD;MDS
6;k-means++;10;0.0001;1599709.0;0.4046188651188049;9360.885618648428;-0.719328481251834;kmeans;75;cbow;WMD;MDS
6;random;10;0.0001;1599752.0;0.40478680023100266;9360.499555176184;-0.7144938280329077;kmeans;75;cbow;WMD;MDS
5;random;10;0.0001;1943354.125;0.3875604370534576;9213.15649193755;-0.7105416239577772;kmeans;75;cbow;WMD;MDS
