K;initialisation;nb_iter;tolerance;val_obj;silhouette;Cal-Harabasz;DBCV;clustering;perplexity;wordEmbedding;docEmbedding;docEmbedding2
3;k-means++;10;0.0001;869.2872710151252;0.3697225439746679;6463.645059739959;-0.8678996582246608;kmeans;;skipgram;Moyenne;TFIDF
3;random;10;0.0001;869.2874123414729;0.3697225439746679;6463.645059739959;-0.8678996582246608;kmeans;;skipgram;Moyenne;TFIDF
4;k-means++;10;0.0001;722.0233609728566;0.355204184175146;5833.105412772577;-0.8726063440597325;kmeans;;skipgram;Moyenne;TFIDF
4;random;10;0.0001;722.1021963883755;0.3537198826979376;5832.164745755533;-0.8708494473496493;kmeans;;skipgram;Moyenne;TFIDF
5;random;10;0.0001;604.1943784030791;0.29172273041332536;5690.425304240945;-0.8054678228560884;kmeans;;skipgram;Moyenne;TFIDF
5;k-means++;10;0.0001;604.1957925480554;0.2918999717575275;5690.417909927651;-0.8056801382647666;kmeans;;skipgram;Moyenne;TFIDF
6;k-means++;10;0.0001;552.9591892416317;0.2845144948831582;5149.614812436372;-0.7930063544101311;kmeans;;skipgram;Moyenne;TFIDF
6;random;10;0.0001;553.0829730463765;0.2803434592773893;5147.996983675442;-0.7965076524941991;kmeans;;skipgram;Moyenne;TFIDF
2;random;10;0.0001;1348.0976750174452;0.35881004307639164;4962.951366049177;-0.856826093731259;kmeans;;skipgram;Moyenne;TFIDF
2;k-means++;10;0.0001;1348.1150841415608;0.35704448735081307;4962.810696257355;-0.8626901941257135;kmeans;;skipgram;Moyenne;TFIDF
7;k-means++;10;0.0001;506.59071324112244;0.24048117594854168;4828.46061235287;-0.7793497084836504;kmeans;;skipgram;Moyenne;TFIDF
7;random;10;0.0001;506.59397488183566;0.24015133350448492;4828.409635473484;-0.779176961674411;kmeans;;skipgram;Moyenne;TFIDF
8;k-means++;10;0.0001;466.3784985493767;0.24660935650470173;4611.962887642805;-0.7837584642227787;kmeans;;skipgram;Moyenne;TFIDF
8;random;10;0.0001;466.4553893707854;0.24687228271180015;4611.043811788017;-0.7759326722587656;kmeans;;skipgram;Moyenne;TFIDF
9;k-means++;10;0.0001;431.83394464121784;0.2512178637327306;4452.749938611129;-0.768633056337939;kmeans;;skipgram;Moyenne;TFIDF
9;random;10;0.0001;432.68661497234416;0.24983121534719088;4441.623104832181;-0.7735647266578873;kmeans;;skipgram;Moyenne;TFIDF
10;k-means++;10;0.0001;404.0995964595667;0.24925951716236686;4301.56682102264;-0.7687045632141599;kmeans;;skipgram;Moyenne;TFIDF
10;random;10;0.0001;405.2928206563777;0.25866791579914555;4285.804844852787;-0.7267389479717145;kmeans;;skipgram;Moyenne;TFIDF
11;random;10;0.0001;382.64413836875764;0.2464849640957956;4141.268250016722;-0.7128320619992771;kmeans;;skipgram;Moyenne;TFIDF
11;k-means++;10;0.0001;382.6636751036717;0.24667895448070962;4141.060469226856;-0.7125511460910384;kmeans;;skipgram;Moyenne;TFIDF
12;k-means++;10;0.0001;363.8491556389765;0.2195290313900606;4003.408692167864;-0.6958396007521275;kmeans;;skipgram;Moyenne;TFIDF
12;random;10;0.0001;364.0049541396053;0.21595122758306207;4001.3264933549262;-0.7000993878549964;kmeans;;skipgram;Moyenne;TFIDF
13;k-means++;10;0.0001;349.1303508434868;0.216940511748335;3857.461342355918;-0.7054821558066962;kmeans;;skipgram;Moyenne;TFIDF
13;random;10;0.0001;349.68328322980136;0.2155595570631004;3850.0835912141983;-0.6972091010801253;kmeans;;skipgram;Moyenne;TFIDF
14;k-means++;10;0.0001;335.03878908140007;0.21641118874724055;3740.791113439118;-0.6989328008988507;kmeans;;skipgram;Moyenne;TFIDF
14;random;10;0.0001;337.7510443359929;0.213314699693508;3704.915316312472;-0.6714107095395376;kmeans;;skipgram;Moyenne;TFIDF
13;random;10;0.0001;2145338.5;0.3823081419604311;11198.140347306993;-0.6250867671894635;kmeans;50;skipgram;Moyenne;TFIDF
