K;initialisation;nb_iter;tolerance;val_obj;silhouette;Cal-Harabasz;DBCV;clustering;perplexity;wordEmbedding;docEmbedding;docEmbedding2
2;k-means++;10;0.0001;0.43196647955194645;0.09618774725884434;236.16643808643315;-0.5917061216271775;kmeans;;glove;Moyenne;TF
2;random;10;0.0001;0.4319664795519464;0.09618774725884434;236.16643808643315;-0.5917061216271775;kmeans;;glove;Moyenne;TF
3;random;10;0.0001;0.42620749123398183;0.0451155238798671;183.83547856425275;-0.7129100045217115;kmeans;;glove;Moyenne;TF
3;k-means++;10;0.0001;0.426212042719086;0.03739194969539301;183.78280119957978;-0.7162917153375106;kmeans;;glove;Moyenne;TF
4;k-means++;10;0.0001;0.42100659909826615;0.042471307149528396;163.16489309834537;-0.7037763408746944;kmeans;;glove;Moyenne;TF
4;random;10;0.0001;0.4210065990982661;0.042471307149528396;163.16489309834537;-0.7037763408746944;kmeans;;glove;Moyenne;TF
5;k-means++;10;0.0001;0.41709821580593187;0.03508678423650528;145.7527203426018;-0.6976694967396199;kmeans;;glove;Moyenne;TF
5;random;10;0.0001;0.4176644301851746;0.035753206763039495;142.33677175018542;-0.6940843344347396;kmeans;;glove;Moyenne;TF
6;k-means++;10;0.0001;0.41395347298153573;0.02683142681503128;131.90203316685458;-0.6868857604522128;kmeans;;glove;Moyenne;TF
6;random;10;0.0001;0.4147510389584646;0.035421070641390155;127.99660988401658;-0.6820773781963706;kmeans;;glove;Moyenne;TF
7;k-means++;10;0.0001;0.4102578530679331;0.03351313488763226;125.15055434363441;-0.6890271750342514;kmeans;;glove;Moyenne;TF
7;random;10;0.0001;0.41099764435089925;0.028917469886623175;122.07710194489019;-0.6795321037681961;kmeans;;glove;Moyenne;TF
8;k-means++;10;0.0001;0.40762390456648046;0.007934254362575343;116.71669732928947;-0.6855762467946342;kmeans;;glove;Moyenne;TF
8;random;10;0.0001;0.40773615252151957;0.020523943904995942;116.31122562405302;-0.6993484452453808;kmeans;;glove;Moyenne;TF
9;k-means++;10;0.0001;0.4048267697722986;0.021597581581088172;111.01999649525857;-0.6735275847271323;kmeans;;glove;Moyenne;TF
9;random;10;0.0001;0.40482906656640344;0.021267919077814678;111.01263502711139;-0.6697176629266115;kmeans;;glove;Moyenne;TF
10;random;10;0.0001;0.40158602293667206;0.015113178150045004;107.98045722377161;-0.6739411532133032;kmeans;;glove;Moyenne;TF
10;k-means++;10;0.0001;0.4016232702022998;0.02055311387532453;107.87264153956592;-0.6608107419629977;kmeans;;glove;Moyenne;TF
11;k-means++;10;0.0001;0.3997134082648133;0.019936243415086877;102.07337708226473;-0.6777168680627806;kmeans;;glove;Moyenne;TF
11;random;10;0.0001;0.4001023510163169;0.02154495535779147;101.05162009864254;-0.6776231288469576;kmeans;;glove;Moyenne;TF
12;k-means++;10;0.0001;0.3969357712534456;0.011235728929038295;99.47013698129511;-0.6974278489455148;kmeans;;glove;Moyenne;TF
12;random;10;0.0001;0.3977466954528239;0.0140333642166165;97.50840844419817;-0.6636267356240309;kmeans;;glove;Moyenne;TF
13;k-means++;10;0.0001;0.3947200000239824;0.014403676089466256;96.12152045400465;-0.6324447930463065;kmeans;;glove;Moyenne;TF
13;random;10;0.0001;0.3954522409782473;0.01772816379364723;94.4793702351526;-0.6561012509580603;kmeans;;glove;Moyenne;TF
14;k-means++;10;0.0001;0.3938703345269411;0.017406613670685942;90.48374870621973;-0.6273357777055095;kmeans;;glove;Moyenne;TF
14;random;10;0.0001;0.39392169690096557;0.01673323507733992;90.3767981608246;-0.6388412469986767;kmeans;;glove;Moyenne;TF
14;random;10;0.0001;1723869.375;0.34939551382348805;7902.875024736755;-0.7537776053620843;kmeans;50;glove;Moyenne;TF
14;k-means++;10;0.0001;1724157.625;0.3502602253914251;7901.3395933112;-0.751557988708312;kmeans;50;glove;Moyenne;TF
7;random;10;0.0001;3410389.25;0.3630098045375814;7879.091894992737;-0.8050133435006204;kmeans;50;glove;Moyenne;TF
7;k-means++;10;0.0001;3410551.0;0.3631379370424243;7878.887286899972;-0.805992841418134;kmeans;50;glove;Moyenne;TF
13;random;10;0.0001;1861348.0;0.35135487417397715;7871.53602271632;-0.7425323837817519;kmeans;50;glove;Moyenne;TF
13;k-means++;10;0.0001;1861572.0;0.351602660973773;7870.424346256233;-0.7429953252665153;kmeans;50;glove;Moyenne;TF
