models_filename;type_model;windows;dim_emb;tag_mse;ref_err_dis_cos;ref_rmse_dis_cos;ref_err_moy_freq;ref_rmse_freq
cbow_4_20.kv;cbow;4;20;0.06748739516379675;-0.6562880259926951;0.7001027435992286;0.14844260984578714;0.40032278577017466
cbow_10_300.kv;cbow;10;300;0.144210440841006;-0.7790082650133127;0.7967759809939298;0.1430861793029494;0.4062808215191234
cbow_8_140.kv;cbow;8;140;0.12860882877175162;-0.7632011294873319;0.7826214561513711;0.14778733836233;0.4058973333164635
skipgram_10_280.kv;skipgram;10;280;0.15422489514553156;-0.7480051974624013;0.767754952129037;0.31812279860273346;0.515386451923626
cbow_7_300.kv;cbow;7;300;0.14086596682419283;-0.7756281008945364;0.7938348905555649;0.14274057709109525;0.4032578845311855
glove_15_200.kv;glove;15;200;0.1267357091093339;0.2009807174304447;0.2663725542093243;0.2997255369350251;0.4906537801840087
glove_7_160.kv;glove;7;160;0.12739177301961768;0.20266281973214278;0.2715994687414967;0.30401084286565605;0.49053635732274536
glove_6_260.kv;glove;6;260;0.12617265042871845;0.2007884175359966;0.26517076763120706;0.294057418416076;0.48481910173295384
skipgram_8_1.kv;skipgram;8;1;0.18088797834509504;-0.7834775435932352;0.8195092194456932;-0.20233192670003183;0.33531914169757415
skipgram_15_240.kv;skipgram;15;240;0.15132945889458638;-0.7353811498700958;0.7559428565321329;0.30935516118144274;0.5052817467063373
skipgram_15_40.kv;skipgram;15;40;0.14396239963269383;-0.711928550382094;0.7342638067495392;0.2883650754430249;0.49734329930460364
skipgram_6_20.kv;skipgram;6;20;0.1429083606764761;-0.7357916459462911;0.7563712462907028;0.2782558070053891;0.501223411026261
glove_2_300.kv;glove;2;300;0.12590388679557865;0.19934320737428582;0.2638905411733989;0.28674768939081957;0.4800697564410884
glove_10_220.kv;glove;10;220;0.12652909651490316;0.20321008549774663;0.26739864921585565;0.3063036874464034;0.49324719966486397
glove_2_1.kv;glove;2;1;0.6241007138867681;0.18697346729323452;1.0187266790101621;0.03971962616822428;0.351117623285191
skipgram_4_300.kv;skipgram;4;300;0.1590235668888277;-0.7780398108307012;0.7954739746277089;0.26911269054551856;0.4914616116109825
skipgram_10_40.kv;skipgram;10;40;0.1462955684913164;-0.7247193415510189;0.7458555137397962;0.2925276441395393;0.5018641794119194
glove_7_300.kv;glove;7;300;0.12591917975787434;0.1977774394979077;0.2614238092263534;0.2806108276849981;0.46550537260143143
cbow_10_180.kv;cbow;10;180;0.13489524710720316;-0.7714548231143081;0.789877794477086;0.14493289018731964;0.40519735642285126
glove_4_1.kv;glove;4;1;0.6235430489103345;0.19008388719992195;1.0276600519994938;0.04076773754903433;0.35777596250631494
glove_4_180.kv;glove;4;180;0.127031218361792;0.2033136794997182;0.269785010780639;0.3017050785760543;0.4872323941286906
skipgram_10_300.kv;skipgram;10;300;0.1542141403745081;-0.7495121228331946;0.7690341989354432;0.31034715257691664;0.5094296362666944
glove_15_20.kv;glove;15;20;0.14919316271771066;0.20299380460032007;0.32458345511735137;0.2957478815714888;0.46536331622135063
skipgram_3_120.kv;skipgram;3;120;0.15473570174637208;-0.7783183018071504;0.7957186315797539;0.2186846444415375;0.46341236552782683
cbow_15_300.kv;cbow;15;300;0.14392476954657604;-0.7755797634829664;0.7942287128689361;0.14884271707937063;0.4094375755855513
cbow_4_100.kv;cbow;4;100;0.10789140296274928;-0.741335238411901;0.7632241207859973;0.14210710761632986;0.4007902981301028
cbow_5_80.kv;cbow;5;80;0.10815531090173935;-0.7338406482666534;0.7576535797448489;0.1481180021608213;0.40387364372157997
cbow_4_120.kv;cbow;4;120;0.11185322586478579;-0.7450828155637378;0.7682865075606907;0.14542908775550742;0.40491902505111704
skipgram_7_180.kv;skipgram;7;180;0.1551033456449934;-0.756233191058984;0.7754083274144117;0.29473005075830616;0.5062027907998651
cbow_15_15.kv;cbow;15;15;0.07748800062799747;-0.6569604520254347;0.7055577538145928;0.1598034750786891;0.4065714178836616
cbow_10_5.kv;cbow;10;5;0.076871492221167;-0.548730036912234;0.6571398728831924;0.17765891645631765;0.4149167950716874
glove_3_120.kv;glove;3;120;0.12836337324902755;0.19934702683786948;0.26539654541024377;0.28895292219589835;0.47094356537411275
cbow_10_10.kv;cbow;10;10;0.07014255762571736;-0.6138165258236873;0.6811770733894122;0.1683801430534763;0.4164691134323227
glove_7_1.kv;glove;7;1;0.6242138761590904;0.20563598673335895;1.0399774234808632;0.044073164311242245;0.3623502146234945
cbow_6_40.kv;cbow;6;40;0.092610479743778;-0.7107574074995497;0.7404719215660994;0.15019484535915983;0.40543266550305146
glove_6_10.kv;glove;6;10;0.1742021439258265;0.20223428820973932;0.4085272131621989;0.2920314465713515;0.48918872803119345
cbow_15_120.kv;cbow;15;120;0.12776953013548786;-0.7531780187832844;0.7789683813408166;0.14969703282736524;0.4061465808807814
glove_4_10.kv;glove;4;10;0.17405504806984798;0.2059892723456309;0.41148114648503364;0.2965065107257808;0.48582455595981733
skipgram_10_1.kv;skipgram;10;1;0.17656274415502315;-0.7865879634999225;0.8167289339128796;-0.2038673533491923;0.3311181363187101
glove_5_280.kv;glove;5;280;0.12602805661048955;0.19807898509462118;0.2631237689089234;0.2820457228496356;0.47985393980156255
skipgram_5_220.kv;skipgram;5;220;0.1577406173022633;-0.7703900430981551;0.788403845595551;0.2748215868955393;0.496966532620261
skipgram_4_220.kv;skipgram;4;220;0.15841251966561704;-0.777206796152636;0.7946621842031326;0.25375034923587997;0.4878443914239774
cbow_6_240.kv;cbow;6;240;0.1352301871497949;-0.7681810066681848;0.7900468364581968;0.1404424838786258;0.4034254788573857
glove_9_10.kv;glove;9;10;0.174183936307379;0.20943093578212404;0.4047650258620041;0.30380856867390493;0.49150637997782876
glove_9_260.kv;glove;9;260;0.12614688711794195;0.2011966988565451;0.2663962692644988;0.2926374616648014;0.4840999213506773
cbow_3_80.kv;cbow;3;80;0.09228882651606776;-0.7108459003801236;0.7397802345110583;0.145164233723993;0.4009755387908304
skipgram_15_1.kv;skipgram;15;1;0.17295307656139464;-0.7896983834066099;0.8175307228229604;-0.20234525014978788;0.3334308916614425
cbow_9_40.kv;cbow;9;40;0.09787114651971539;-0.6993010912958133;0.7391409078121368;0.15459360248316803;0.40532416591973863
cbow_3_60.kv;cbow;3;60;0.08505798782715347;-0.7011510379529887;0.7309639703239733;0.14918589684581457;0.4061806123923821
skipgram_4_100.kv;skipgram;4;100;0.15499906608224445;-0.7711334821918738;0.7888589565106798;0.24648018681899006;0.47297999057668366
glove_4_5.kv;glove;4;5;0.22408275265514677;0.22352540558841352;0.5277809288810315;0.3072726656104805;0.5058959542718272
