models_filename;type_model;windows;dim_emb;tag_mse;ref_err_dis_cos;ref_rmse_dis_cos;ref_err_moy_freq;ref_rmse_freq
skipgramm_9_150.kv;skipgramm;9;150;0.1535001226886772;;;;
glove_10_50.kv;glove;10;50;0.13315337151280152;;;;
skipgramm_8_50.kv;skipgramm;8;50;0.1490970850611499;;;;
glove_7_30.kv;glove;7;30;0.13910331346122973;;;;
skipgramm_8_10.kv;skipgramm;8;10;0.13584762100950307;;;;
skipgramm_15_70.kv;skipgramm;15;70;0.14712683091569198;;;;
cbow_15_190.kv;cbow;15;190;0.13675530186707033;;;;
cbow_7_30.kv;cbow;7;30;0.08797338092822911;;;;
glove_5_50.kv;glove;5;50;0.13260185927436058;;;;
skipgramm_4_30.kv;skipgramm;4;30;0.14392462446805074;;;;
cbow_10_10.kv;cbow;10;10;0.06792412569583006;;;;
glove_6_10.kv;glove;6;10;0.17350623454490094;;;;
skipgramm_6_30.kv;skipgramm;6;30;0.14698242108285872;;;;
skipgramm_7_150.kv;skipgramm;7;150;0.155464929383555;;;;
glove_4_10.kv;glove;4;10;0.1726173131086924;;;;
glove_9_110.kv;glove;9;110;0.12736128278572345;;;;
glove_10_170.kv;glove;10;170;0.12578751027340085;;;;
glove_9_10.kv;glove;9;10;0.17244559039439492;;;;
glove_8_170.kv;glove;8;170;0.12581893966139587;;;;
glove_3_110.kv;glove;3;110;0.1278890996469931;;;;
skipgramm_4_150.kv;skipgramm;4;150;0.15739144500087218;;;;
cbow_6_190.kv;cbow;6;190;0.13151365184870084;;;;
skipgramm_2_90.kv;skipgramm;2;90;0.14450472913550436;;;;
glove_6_90.kv;glove;6;90;0.12824643800333846;;;;
skipgramm_2_110.kv;skipgramm;2;110;0.14614587603542384;;;;
skipgramm_9_50.kv;skipgramm;9;50;0.14766819935419861;;;;
cbow_2_50.kv;cbow;2;50;0.06009162791019664;;;;
glove_8_70.kv;glove;8;70;0.12980636362323383;;;;
cbow_3_150.kv;cbow;3;150;0.10606008194081522;;;;
